codigo_provincia|codigo_poblacion|poblacion|codigo_distrito|codigo_sector|codigo_subsector|mesa|letra1|letra2|codigo_local|numero|local_electoral|dirección|dirección2|fecha|elecciones
08|019|BARCELONA|01|001||U|A|Z|080190017|1|CESIRE|AV DRASSANES 10 08001 BARCELONA||2023-07-23|generales
08|019|BARCELONA|01|002||U|A|Z|080190017|1|CESIRE|AV DRASSANES 10 08001 BARCELONA||2023-07-23|generales
08|019|BARCELONA|01|003||A|A|L|080190017|1|CESIRE|AV DRASSANES 10 08001 BARCELONA||2023-07-23|generales
08|019|BARCELONA|01|003||B|M|Z|080190017|1|CESIRE|AV DRASSANES 10 08001 BARCELONA||2023-07-23|generales
08|019|BARCELONA|01|004||A|A|L|080190003|1|CENTRE DE BARRI FOLCH I TORRES|C REINA AMALIA 31 08001 BARCELONA||2023-07-23|generales
08|019|BARCELONA|01|004||B|M|Z|080190003|1|CENTRE DE BARRI FOLCH I TORRES|C REINA AMALIA 31 08001 BARCELONA||2023-07-23|generales
08|019|BARCELONA|01|005||A|A|L|080190017|1|CESIRE|AV DRASSANES 10 08001 BARCELONA||2023-07-23|generales
08|019|BARCELONA|01|005||B|M|Z|080190017|1|CESIRE|AV DRASSANES 10 08001 BARCELONA||2023-07-23|generales
08|019|BARCELONA|01|006||U|A|Z|080190082|1|ESCOLA MASSANA|PL GARDUNYA 9 08001 BARCELONA||2023-07-23|generales
08|019|BARCELONA|01|007||U|A|Z|080190082|1|ESCOLA MASSANA|PL GARDUNYA 9 08001 BARCELONA||2023-07-23|generales
08|019|BARCELONA|01|008||A|A|L|080190003|1|CENTRE DE BARRI FOLCH I TORRES|C REINA AMALIA 31 08001 BARCELONA||2023-07-23|generales
08|019|BARCELONA|01|008||B|M|Z|080190003|1|CENTRE DE BARRI FOLCH I TORRES|C REINA AMALIA 31 08001 BARCELONA||2023-07-23|generales
08|019|BARCELONA|01|009||U|A|Z|080190003|1|CENTRE DE BARRI FOLCH I TORRES|C REINA AMALIA 31 08001 BARCELONA||2023-07-23|generales
08|019|BARCELONA|01|010||U|A|Z|080190003|1|CENTRE DE BARRI FOLCH I TORRES|C REINA AMALIA 31 08001 BARCELONA||2023-07-23|generales
08|019|BARCELONA|01|011||A|A|L|080190217|1|ESCOLA PIA DE SANT ANTONI|RONDA SANT PAU 72 08001 BARCELONA||2023-07-23|generales
08|019|BARCELONA|01|011||B|M|Z|080190217|1|ESCOLA PIA DE SANT ANTONI|RONDA SANT PAU 72 08001 BARCELONA||2023-07-23|generales
08|019|BARCELONA|01|012||U|A|Z|080190217|1|ESCOLA PIA DE SANT ANTONI|RONDA SANT PAU 72 08001 BARCELONA||2023-07-23|generales
08|019|BARCELONA|01|013||U|A|Z|080190217|1|ESCOLA PIA DE SANT ANTONI|RONDA SANT PAU 72 08001 BARCELONA||2023-07-23|generales
08|019|BARCELONA|01|014||U|A|Z|080190076|1|CONVENT ÀNGELS (SALA GRAN)|PL ANGELS (DELS) 5 08001 BARCELONA||2023-07-23|generales
08|019|BARCELONA|01|015||U|A|Z|080190217|1|ESCOLA PIA DE SANT ANTONI|RONDA SANT PAU 72 08001 BARCELONA||2023-07-23|generales
08|019|BARCELONA|01|016||U|A|Z|080190076|1|CONVENT ÀNGELS (SALA GRAN)|PL ANGELS (DELS) 5 08001 BARCELONA||2023-07-23|generales
08|019|BARCELONA|01|017||U|A|Z|080190076|1|CONVENT ÀNGELS (SALA GRAN)|PL ANGELS (DELS) 5 08001 BARCELONA||2023-07-23|generales
08|019|BARCELONA|01|018||U|A|Z|080190076|1|CONVENT ÀNGELS (SALA GRAN)|PL ANGELS (DELS) 5 08001 BARCELONA||2023-07-23|generales
08|019|BARCELONA|01|019||A|A|L|080190082|1|ESCOLA MASSANA|PL GARDUNYA 9 08001 BARCELONA||2023-07-23|generales
08|019|BARCELONA|01|019||B|M|Z|080190082|1|ESCOLA MASSANA|PL GARDUNYA 9 08001 BARCELONA||2023-07-23|generales
08|019|BARCELONA|01|020||A|A|L|080190076|1|CONVENT ÀNGELS (SALA GRAN)|PL ANGELS (DELS) 5 08001 BARCELONA||2023-07-23|generales
08|019|BARCELONA|01|020||B|M|Z|080190076|1|CONVENT ÀNGELS (SALA GRAN)|PL ANGELS (DELS) 5 08001 BARCELONA||2023-07-23|generales
08|019|BARCELONA|01|021||A|A|L|080190076|1|CONVENT ÀNGELS (SALA GRAN)|PL ANGELS (DELS) 5 08001 BARCELONA||2023-07-23|generales
08|019|BARCELONA|01|021||B|M|Z|080190076|1|CONVENT ÀNGELS (SALA GRAN)|PL ANGELS (DELS) 5 08001 BARCELONA||2023-07-23|generales
08|019|BARCELONA|01|022||U|A|Z|080190076|1|CONVENT ÀNGELS (SALA GRAN)|PL ANGELS (DELS) 5 08001 BARCELONA||2023-07-23|generales
08|019|BARCELONA|01|023||A|A|L|080190315|1|ESCOLA CERVANTES|C SANT PERE MES BAIX 31 08003 BARCELONA||2023-07-23|generales
08|019|BARCELONA|01|023||B|M|Z|080190315|1|ESCOLA CERVANTES|C SANT PERE MES BAIX 31 08003 BARCELONA||2023-07-23|generales
08|019|BARCELONA|01|025||U|A|Z|080190365|1|AJUNTAMENT BARCELONA SANT MIQUEL|PL SANT MIQUEL 4 08002 BARCELONA||2023-07-23|generales
08|019|BARCELONA|01|026||A|A|L|080190365|1|AJUNTAMENT BARCELONA SANT MIQUEL|PL SANT MIQUEL 4 08002 BARCELONA||2023-07-23|generales
08|019|BARCELONA|01|026||B|M|Z|080190365|1|AJUNTAMENT BARCELONA SANT MIQUEL|PL SANT MIQUEL 4 08002 BARCELONA||2023-07-23|generales
08|019|BARCELONA|01|027||U|A|Z|080190365|1|AJUNTAMENT BARCELONA SANT MIQUEL|PL SANT MIQUEL 4 08002 BARCELONA||2023-07-23|generales
08|019|BARCELONA|01|028||U|A|Z|080190365|1|AJUNTAMENT BARCELONA SANT MIQUEL|PL SANT MIQUEL 4 08002 BARCELONA||2023-07-23|generales
08|019|BARCELONA|01|029||U|A|Z|080190010|1|ESCOLA DRASSANES|C NOU DE SANT FRANCESC 11 08002 BARCELONA||2023-07-23|generales
08|019|BARCELONA|01|030||A|A|L|080190010|1|ESCOLA DRASSANES|C NOU DE SANT FRANCESC 11 08002 BARCELONA||2023-07-23|generales
08|019|BARCELONA|01|030||B|M|Z|080190010|1|ESCOLA DRASSANES|C NOU DE SANT FRANCESC 11 08002 BARCELONA||2023-07-23|generales
08|019|BARCELONA|01|031||U|A|Z|080190010|1|ESCOLA DRASSANES|C NOU DE SANT FRANCESC 11 08002 BARCELONA||2023-07-23|generales
08|019|BARCELONA|01|032||U|A|Z|080190011|1|ESCOLA MEDITERRÀNIA|PG MARITIM DE LA BARCELONETA-ORIOL BOHIG 5 08003 BARCELONA||2023-07-23|generales
08|019|BARCELONA|01|033||U|A|Z|080190011|1|ESCOLA MEDITERRÀNIA|PG MARITIM DE LA BARCELONETA-ORIOL BOHIG 5 08003 BARCELONA||2023-07-23|generales
08|019|BARCELONA|01|034||U|A|Z|080190011|1|ESCOLA MEDITERRÀNIA|PG MARITIM DE LA BARCELONETA-ORIOL BOHIG 5 08003 BARCELONA||2023-07-23|generales
08|019|BARCELONA|01|035||U|A|Z|080190011|1|ESCOLA MEDITERRÀNIA|PG MARITIM DE LA BARCELONETA-ORIOL BOHIG 5 08003 BARCELONA||2023-07-23|generales
08|019|BARCELONA|01|036||U|A|Z|080190043|1|CENTRE CÍVIC BARCELONETA|C CONRERIA 1 08003 BARCELONA||2023-07-23|generales
08|019|BARCELONA|01|037||U|A|Z|080190043|1|CENTRE CÍVIC BARCELONETA|C CONRERIA 1 08003 BARCELONA||2023-07-23|generales
08|019|BARCELONA|01|038||U|A|Z|080190043|1|CENTRE CÍVIC BARCELONETA|C CONRERIA 1 08003 BARCELONA||2023-07-23|generales
08|019|BARCELONA|01|039||U|A|Z|080190043|1|CENTRE CÍVIC BARCELONETA|C CONRERIA 1 08003 BARCELONA||2023-07-23|generales
08|019|BARCELONA|01|040||U|A|Z|080190064|1|CASAL INFANTIL BARCELONETA|C ANDREA DORIA 25 08003 BARCELONA||2023-07-23|generales
08|019|BARCELONA|01|041||U|A|Z|080190064|1|CASAL INFANTIL BARCELONETA|C ANDREA DORIA 25 08003 BARCELONA||2023-07-23|generales
08|019|BARCELONA|01|042||A|A|L|080190064|1|CASAL INFANTIL BARCELONETA|C ANDREA DORIA 25 08003 BARCELONA||2023-07-23|generales
08|019|BARCELONA|01|042||B|M|Z|080190064|1|CASAL INFANTIL BARCELONETA|C ANDREA DORIA 25 08003 BARCELONA||2023-07-23|generales
08|019|BARCELONA|01|043||U|A|Z|080190085|1|CENTRE CÍVIC CONVENT SANT AGUSTÍ|PL ACADEMIA (L') 1 08003 BARCELONA||2023-07-23|generales
08|019|BARCELONA|01|044||U|A|Z|080190085|1|CENTRE CÍVIC CONVENT SANT AGUSTÍ|PL ACADEMIA (L') 1 08003 BARCELONA||2023-07-23|generales
08|019|BARCELONA|01|045||U|A|Z|080190085|1|CENTRE CÍVIC CONVENT SANT AGUSTÍ|PL ACADEMIA (L') 1 08003 BARCELONA||2023-07-23|generales
08|019|BARCELONA|01|046||U|A|Z|080190365|1|AJUNTAMENT BARCELONA SANT MIQUEL|PL SANT MIQUEL 4 08002 BARCELONA||2023-07-23|generales
08|019|BARCELONA|01|047||U|A|Z|080190315|1|ESCOLA CERVANTES|C SANT PERE MES BAIX 31 08003 BARCELONA||2023-07-23|generales
08|019|BARCELONA|01|048||U|A|Z|080190085|1|CENTRE CÍVIC CONVENT SANT AGUSTÍ|PL ACADEMIA (L') 1 08003 BARCELONA||2023-07-23|generales
08|019|BARCELONA|01|049||U|A|Z|080190315|1|ESCOLA CERVANTES|C SANT PERE MES BAIX 31 08003 BARCELONA||2023-07-23|generales
08|019|BARCELONA|01|050||U|A|Z|080190315|1|ESCOLA CERVANTES|C SANT PERE MES BAIX 31 08003 BARCELONA||2023-07-23|generales
08|019|BARCELONA|01|051||U|A|Z|080190315|1|ESCOLA CERVANTES|C SANT PERE MES BAIX 31 08003 BARCELONA||2023-07-23|generales
08|019|BARCELONA|01|052||A|A|L|080190315|1|ESCOLA CERVANTES|C SANT PERE MES BAIX 31 08003 BARCELONA||2023-07-23|generales
08|019|BARCELONA|01|052||B|M|Z|080190315|1|ESCOLA CERVANTES|C SANT PERE MES BAIX 31 08003 BARCELONA||2023-07-23|generales
08|019|BARCELONA|01|053||A|A|L|080190085|1|CENTRE CÍVIC CONVENT SANT AGUSTÍ|PL ACADEMIA (L') 1 08003 BARCELONA||2023-07-23|generales
08|019|BARCELONA|01|053||B|M|Z|080190085|1|CENTRE CÍVIC CONVENT SANT AGUSTÍ|PL ACADEMIA (L') 1 08003 BARCELONA||2023-07-23|generales
