codi_districte|nom_districte|codi_barri|nom_barri|codi_aeb|codi_seccio_censal|Barcelona
01|Ciutat Vella|01|el Raval|001|001|Barcelona
01|Ciutat Vella|01|el Raval|001|002|Barcelona
01|Ciutat Vella|01|el Raval|002|003|Barcelona
01|Ciutat Vella|01|el Raval|002|004|Barcelona
01|Ciutat Vella|01|el Raval|003|005|Barcelona
01|Ciutat Vella|01|el Raval|003|006|Barcelona
01|Ciutat Vella|01|el Raval|003|007|Barcelona
01|Ciutat Vella|01|el Raval|004|008|Barcelona
01|Ciutat Vella|01|el Raval|004|009|Barcelona
01|Ciutat Vella|01|el Raval|004|010|Barcelona
01|Ciutat Vella|01|el Raval|005|011|Barcelona
01|Ciutat Vella|01|el Raval|005|012|Barcelona
01|Ciutat Vella|01|el Raval|005|013|Barcelona
01|Ciutat Vella|01|el Raval|006|014|Barcelona
01|Ciutat Vella|01|el Raval|006|015|Barcelona
01|Ciutat Vella|01|el Raval|006|016|Barcelona
01|Ciutat Vella|01|el Raval|006|017|Barcelona
01|Ciutat Vella|01|el Raval|007|018|Barcelona
01|Ciutat Vella|01|el Raval|007|019|Barcelona
01|Ciutat Vella|01|el Raval|007|020|Barcelona
01|Ciutat Vella|01|el Raval|008|021|Barcelona
01|Ciutat Vella|02|el Barri Gòtic|009|022|Barcelona
01|Ciutat Vella|02|el Barri Gòtic|009|023|Barcelona
01|Ciutat Vella|02|el Barri Gòtic|010|025|Barcelona
01|Ciutat Vella|02|el Barri Gòtic|010|026|Barcelona
01|Ciutat Vella|02|el Barri Gòtic|010|027|Barcelona
01|Ciutat Vella|02|el Barri Gòtic|011|028|Barcelona
01|Ciutat Vella|02|el Barri Gòtic|011|029|Barcelona
01|Ciutat Vella|02|el Barri Gòtic|012|030|Barcelona
01|Ciutat Vella|02|el Barri Gòtic|012|031|Barcelona
01|Ciutat Vella|03|la Barceloneta|013|032|Barcelona
01|Ciutat Vella|03|la Barceloneta|013|033|Barcelona
01|Ciutat Vella|03|la Barceloneta|013|034|Barcelona
01|Ciutat Vella|03|la Barceloneta|014|035|Barcelona
01|Ciutat Vella|03|la Barceloneta|014|036|Barcelona
01|Ciutat Vella|03|la Barceloneta|015|037|Barcelona
01|Ciutat Vella|03|la Barceloneta|015|038|Barcelona
01|Ciutat Vella|03|la Barceloneta|015|039|Barcelona
01|Ciutat Vella|03|la Barceloneta|015|040|Barcelona
01|Ciutat Vella|03|la Barceloneta|015|041|Barcelona
01|Ciutat Vella|03|la Barceloneta|015|042|Barcelona
01|Ciutat Vella|04|"Sant Pere| Santa Caterina i la Ribera"|016|043|Barcelona
01|Ciutat Vella|04|"Sant Pere| Santa Caterina i la Ribera"|016|044|Barcelona
01|Ciutat Vella|04|"Sant Pere| Santa Caterina i la Ribera"|016|045|Barcelona
01|Ciutat Vella|04|"Sant Pere| Santa Caterina i la Ribera"|016|046|Barcelona
01|Ciutat Vella|04|"Sant Pere| Santa Caterina i la Ribera"|017|047|Barcelona
01|Ciutat Vella|04|"Sant Pere| Santa Caterina i la Ribera"|017|048|Barcelona
01|Ciutat Vella|04|"Sant Pere| Santa Caterina i la Ribera"|017|049|Barcelona
01|Ciutat Vella|04|"Sant Pere| Santa Caterina i la Ribera"|018|050|Barcelona
01|Ciutat Vella|04|"Sant Pere| Santa Caterina i la Ribera"|018|051|Barcelona
01|Ciutat Vella|04|"Sant Pere| Santa Caterina i la Ribera"|018|052|Barcelona
01|Ciutat Vella|04|"Sant Pere| Santa Caterina i la Ribera"|019|053|Barcelona
01|Ciutat Vella|04|"Sant Pere| Santa Caterina i la Ribera"|019|054|Barcelona
01|Ciutat Vella|04|"Sant Pere| Santa Caterina i la Ribera"|019|055|Barcelona
02|Eixample|05|el Fort Pienc|020|001|Barcelona
02|Eixample|05|el Fort Pienc|020|002|Barcelona
02|Eixample|05|el Fort Pienc|020|003|Barcelona
02|Eixample|05|el Fort Pienc|020|004|Barcelona
02|Eixample|05|el Fort Pienc|020|005|Barcelona
02|Eixample|05|el Fort Pienc|020|006|Barcelona
02|Eixample|05|el Fort Pienc|020|007|Barcelona
02|Eixample|05|el Fort Pienc|020|008|Barcelona
02|Eixample|05|el Fort Pienc|020|009|Barcelona
02|Eixample|05|el Fort Pienc|021|010|Barcelona
02|Eixample|05|el Fort Pienc|021|011|Barcelona
02|Eixample|05|el Fort Pienc|021|012|Barcelona
02|Eixample|05|el Fort Pienc|021|013|Barcelona
02|Eixample|05|el Fort Pienc|022|014|Barcelona
02|Eixample|05|el Fort Pienc|022|015|Barcelona
02|Eixample|05|el Fort Pienc|022|016|Barcelona
02|Eixample|05|el Fort Pienc|022|017|Barcelona
02|Eixample|05|el Fort Pienc|022|018|Barcelona
02|Eixample|05|el Fort Pienc|022|019|Barcelona
02|Eixample|05|el Fort Pienc|022|020|Barcelona
02|Eixample|06|la Sagrada Família|023|021|Barcelona
02|Eixample|06|la Sagrada Família|023|022|Barcelona
02|Eixample|06|la Sagrada Família|023|023|Barcelona
02|Eixample|06|la Sagrada Família|023|024|Barcelona
02|Eixample|06|la Sagrada Família|024|025|Barcelona
02|Eixample|06|la Sagrada Família|024|026|Barcelona
02|Eixample|06|la Sagrada Família|024|027|Barcelona
02|Eixample|06|la Sagrada Família|024|028|Barcelona
02|Eixample|06|la Sagrada Família|024|029|Barcelona
02|Eixample|06|la Sagrada Família|024|030|Barcelona
02|Eixample|06|la Sagrada Família|024|031|Barcelona
02|Eixample|06|la Sagrada Família|024|032|Barcelona
02|Eixample|06|la Sagrada Família|025|033|Barcelona
02|Eixample|06|la Sagrada Família|025|034|Barcelona
02|Eixample|06|la Sagrada Família|025|035|Barcelona
02|Eixample|06|la Sagrada Família|025|036|Barcelona
02|Eixample|06|la Sagrada Família|025|037|Barcelona
02|Eixample|06|la Sagrada Família|025|038|Barcelona
02|Eixample|06|la Sagrada Família|025|039|Barcelona
02|Eixample|06|la Sagrada Família|025|040|Barcelona
02|Eixample|06|la Sagrada Família|026|041|Barcelona
02|Eixample|06|la Sagrada Família|026|042|Barcelona
02|Eixample|06|la Sagrada Família|026|043|Barcelona
02|Eixample|06|la Sagrada Família|026|044|Barcelona
02|Eixample|06|la Sagrada Família|026|045|Barcelona
02|Eixample|06|la Sagrada Família|026|046|Barcelona
02|Eixample|06|la Sagrada Família|026|047|Barcelona
02|Eixample|06|la Sagrada Família|026|048|Barcelona
02|Eixample|06|la Sagrada Família|027|049|Barcelona
02|Eixample|06|la Sagrada Família|027|050|Barcelona
02|Eixample|06|la Sagrada Família|027|051|Barcelona
02|Eixample|06|la Sagrada Família|027|052|Barcelona
02|Eixample|06|la Sagrada Família|027|053|Barcelona
02|Eixample|06|la Sagrada Família|027|054|Barcelona
02|Eixample|07|la Dreta de l'Eixample|028|055|Barcelona
02|Eixample|07|la Dreta de l'Eixample|028|056|Barcelona
02|Eixample|07|la Dreta de l'Eixample|028|057|Barcelona
02|Eixample|07|la Dreta de l'Eixample|028|058|Barcelona
02|Eixample|07|la Dreta de l'Eixample|028|059|Barcelona
02|Eixample|07|la Dreta de l'Eixample|028|060|Barcelona
02|Eixample|07|la Dreta de l'Eixample|029|061|Barcelona
02|Eixample|07|la Dreta de l'Eixample|029|062|Barcelona
02|Eixample|07|la Dreta de l'Eixample|029|063|Barcelona
02|Eixample|07|la Dreta de l'Eixample|029|064|Barcelona
02|Eixample|07|la Dreta de l'Eixample|029|065|Barcelona
