poblacion|comarca|provincia|comunidad|pais|codigo|junta
Alella|El Maresme|Barcelona|Cataluña|España|es|Maresme
Arenys de Mar|El Maresme|Barcelona|Cataluña|España|es|Maresme
Arenys de Munt|El Maresme|Barcelona|Cataluña|España|es|Maresme
Argentona|El Maresme|Barcelona|Cataluña|España|es|Maresme
Cabrera de Mar|El Maresme|Barcelona|Cataluña|España|es|Maresme
Cabrils|El Maresme|Barcelona|Cataluña|España|es|Maresme
Caldes d'Estrac|El Maresme|Barcelona|Cataluña|España|es|Maresme
Calella|El Maresme|Barcelona|Cataluña|España|es|Maresme
Canet de Mar|El Maresme|Barcelona|Cataluña|España|es|Maresme
Dosrius|El Maresme|Barcelona|Cataluña|España|es|Maresme
Malgrat de Mar|El Maresme|Barcelona|Cataluña|España|es|Maresme
El Masnou|El Maresme|Barcelona|Cataluña|España|es|Maresme
Mataró|El Maresme|Barcelona|Cataluña|España|es|Maresme
Montgat|El Maresme|Barcelona|Cataluña|España|es|Maresme
Òrrius|El Maresme|Barcelona|Cataluña|España|es|Maresme
Palafolls|El Maresme|Barcelona|Cataluña|España|es|Maresme
Pineda de Mar|El Maresme|Barcelona|Cataluña|España|es|Maresme
Premià de Dalt|El Maresme|Barcelona|Cataluña|España|es|Maresme
Premià de Mar|El Maresme|Barcelona|Cataluña|España|es|Maresme
Sant Andreu de Llavaneres|El Maresme|Barcelona|Cataluña|España|es|Maresme
Sant Cebrià de Vallalta|El Maresme|Barcelona|Cataluña|España|es|Maresme
Sant Iscle de Vallalta|El Maresme|Barcelona|Cataluña|España|es|Maresme
Sant Pol de Mar|El Maresme|Barcelona|Cataluña|España|es|Maresme
Sant Vicenç de Montalt|El Maresme|Barcelona|Cataluña|España|es|Maresme
Santa Susanna|El Maresme|Barcelona|Cataluña|España|es|Maresme
Teià|El Maresme|Barcelona|Cataluña|España|es|Maresme
Tiana|El Maresme|Barcelona|Cataluña|España|es|Maresme
Tordera|El Maresme|Barcelona|Cataluña|España|es|Maresme
Vilassar de Dalt|El Maresme|Barcelona|Cataluña|España|es|Maresme
Vilassar de Mar|El Maresme|Barcelona|Cataluña|España|es|Maresme
