poblacion|comarca|provincia|comunidad|pais|codigo|junta
Avinyonet del Penedès|Alt Penedès|Barcelona|Cataluña|España|es|Penedès
Les Cabanyes|Alt Penedès|Barcelona|Cataluña|España|es|Penedès
Castellet i la Gornal|Alt Penedès|Barcelona|Cataluña|España|es|Penedès
Castellví de La Marca|Alt Penedès|Barcelona|Cataluña|España|es|Penedès
Font-rubí|Alt Penedès|Barcelona|Cataluña|España|es|Penedès
Gelida|Alt Penedès|Barcelona|Cataluña|España|es|Penedès
La Granada|Alt Penedès|Barcelona|Cataluña|España|es|Penedès
Mediona|Alt Penedès|Barcelona|Cataluña|España|es|Penedès
Olèrdola|Alt Penedès|Barcelona|Cataluña|España|es|Penedès
Olesa De Bonesvalls|Alt Penedès|Barcelona|Cataluña|España|es|Penedès
Pacs Del Penedès|Alt Penedès|Barcelona|Cataluña|España|es|Penedès
El Pla Del Penedès|Alt Penedès|Barcelona|Cataluña|España|es|Penedès
Pontons|Alt Penedès|Barcelona|Cataluña|España|es|Penedès
Puigdàlber|Alt Penedès|Barcelona|Cataluña|España|es|Penedès
Sant Cugat Sesgarrigues|Alt Penedès|Barcelona|Cataluña|España|es|Penedès
Sant Llorenç d'hortons|Alt Penedès|Barcelona|Cataluña|España|es|Penedès
Sant Martí Sarroca|Alt Penedès|Barcelona|Cataluña|España|es|Penedès
Sant Pere de Riudebitlles|Alt Penedès|Barcelona|Cataluña|España|es|Penedès
Sant Quintí de Mediona|Alt Penedès|Barcelona|Cataluña|España|es|Penedès
Sant Sadurní D'anoia|Alt Penedès|Barcelona|Cataluña|España|es|Penedès
Santa Fe del Penedès|Alt Penedès|Barcelona|Cataluña|España|es|Penedès
Santa Margarida i Els Monjos|Alt Penedès|Barcelona|Cataluña|España|es|Penedès
Subirats|Alt Penedès|Barcelona|Cataluña|España|es|Penedès
Torrelavit|Alt Penedès|Barcelona|Cataluña|España|es|Penedès
Torrelles de Foix|Alt Penedès|Barcelona|Cataluña|España|es|Penedès
Vilafranca del Penedès|Alt Penedès|Barcelona|Cataluña|España|es|Penedès
Vilobí del Penedès|Alt Penedès|Barcelona|Cataluña|España|es|Penedès
Albinyana|Baix Penedès|Tarragona|Cataluña|España|es|Penedès
L'arboç|Baix Penedès|Tarragona|Cataluña|España|es|Penedès
Banyeres Del Penedès|Baix Penedès|Tarragona|Cataluña|España|es|Penedès
Bellvei|Baix Penedès|Tarragona|Cataluña|España|es|Penedès
La Bisbal Del Penedès|Baix Penedès|Tarragona|Cataluña|España|es|Penedès
Bonastre|Baix Penedès|Tarragona|Cataluña|España|es|Penedès
Calafell|Baix Penedès|Tarragona|Cataluña|España|es|Penedès
Cunit|Baix Penedès|Tarragona|Cataluña|España|es|Penedès
Llorenç Del Penedès|Baix Penedès|Tarragona|Cataluña|España|es|Penedès
Masllorenç|Baix Penedès|Tarragona|Cataluña|España|es|Penedès
El Montmell|Baix Penedès|Tarragona|Cataluña|España|es|Penedès
Sant Jaume Dels Domenys|Baix Penedès|Tarragona|Cataluña|España|es|Penedès
Santa Oliva|Baix Penedès|Tarragona|Cataluña|España|es|Penedès
El Vendrell|Baix Penedès|Tarragona|Cataluña|España|es|Penedès
