poblacion|comarca|provincia|comunidad|pais|codigo|junta
Badia del Vallès|Vallès_Occidental|Barcelona|Cataluña|España|es|Vallès
Barberà del Vallès|Vallès_Occidental|Barcelona|Cataluña|España|es|Vallès
Castellar del Vallès|Vallès_Occidental|Barcelona|Cataluña|España|es|Vallès
Castellbisbal|Vallès_Occidental|Barcelona|Cataluña|España|es|Vallès
Cerdanyola del Vallès|Vallès_Occidental|Barcelona|Cataluña|España|es|Vallès
Gallifa|Vallès_Occidental|Barcelona|Cataluña|España|es|Vallès
Matadepera|Vallès_Occidental|Barcelona|Cataluña|España|es|Vallès
Montcada i Reixac|Vallès_Occidental|Barcelona|Cataluña|España|es|Vallès
Palau-solità i Plegamans|Vallès_Occidental|Barcelona|Cataluña|España|es|Vallès
Polinyà|Vallès_Occidental|Barcelona|Cataluña|España|es|Vallès
Rellinars|Vallès_Occidental|Barcelona|Cataluña|España|es|Vallès
Ripollet|Vallès_Occidental|Barcelona|Cataluña|España|es|Vallès
Rubí|Vallès_Occidental|Barcelona|Cataluña|España|es|Vallès
Sabadell|Vallès_Occidental|Barcelona|Cataluña|España|es|Vallès
Sant Cugat del Vallès|Vallès_Occidental|Barcelona|Cataluña|España|es|Vallès
Sant Llorenç Savall|Vallès_Occidental|Barcelona|Cataluña|España|es|Vallès
Sant Quirze del Vallès|Vallès_Occidental|Barcelona|Cataluña|España|es|Vallès
Santa Perpètua de Mogoda|Vallès_Occidental|Barcelona|Cataluña|España|es|Vallès
Sentmenat|Vallès_Occidental|Barcelona|Cataluña|España|es|Vallès
Terrassa|Vallès_Occidental|Barcelona|Cataluña|España|es|Vallès
Ullastrell|Vallès_Occidental|Barcelona|Cataluña|España|es|Vallès
Vacarisses|Vallès_Occidental|Barcelona|Cataluña|España|es|Vallès
Viladecavalls|Vallès_Occidental|Barcelona|Cataluña|España|es|Vallès
