poblacion|comarca|provincia|comunidad|pais|codigo|junta
Aiguafreda|Vallès_Oriental|Barcelona|Cataluña|España|es|Vallès
l'Ametlla del Vallès|Vallès_Oriental|Barcelona|Cataluña|España|es|Vallès
Bigues i Riells del Fai|Vallès_Oriental|Barcelona|Cataluña|España|es|Vallès
Caldes de Montbui|Vallès_Oriental|Barcelona|Cataluña|España|es|Vallès
Campins|Vallès_Oriental|Barcelona|Cataluña|España|es|Vallès
Canovelles|Vallès_Oriental|Barcelona|Cataluña|España|es|Vallès
Cànoves i Samalús|Vallès_Oriental|Barcelona|Cataluña|España|es|Vallès
Cardedeu|Vallès_Oriental|Barcelona|Cataluña|España|es|Vallès
Figaró-Montmany|Vallès_Oriental|Barcelona|Cataluña|España|es|Vallès
Fogars de Montclús|Vallès_Oriental|Barcelona|Cataluña|España|es|Vallès
les Franqueses del Vallès|Vallès_Oriental|Barcelona|Cataluña|España|es|Vallès
la Garriga|Vallès_Oriental|Barcelona|Cataluña|España|es|Vallès
Granollers|Vallès_Oriental|Barcelona|Cataluña|España|es|Vallès
Gualba|Vallès_Oriental|Barcelona|Cataluña|España|es|Vallès
la Llagosta|Vallès_Oriental|Barcelona|Cataluña|España|es|Vallès
Lliçà d'Amunt|Vallès_Oriental|Barcelona|Cataluña|España|es|Vallès
Lliçà de Vall|Vallès_Oriental|Barcelona|Cataluña|España|es|Vallès
Llinars del Vallès|Vallès_Oriental|Barcelona|Cataluña|España|es|Vallès
Martorelles|Vallès_Oriental|Barcelona|Cataluña|España|es|Vallès
Mollet del Vallès|Vallès_Oriental|Barcelona|Cataluña|España|es|Vallès
Montmeló|Vallès_Oriental|Barcelona|Cataluña|España|es|Vallès
Montornès del Vallès|Vallès_Oriental|Barcelona|Cataluña|España|es|Vallès
Montseny|Vallès_Oriental|Barcelona|Cataluña|España|es|Vallès
Parets del Vallès|Vallès_Oriental|Barcelona|Cataluña|España|es|Vallès
la Roca del Vallès|Vallès_Oriental|Barcelona|Cataluña|España|es|Vallès
Sant Antoni de Vilamajor|Vallès_Oriental|Barcelona|Cataluña|España|es|Vallès
Sant Celoni|Vallès_Oriental|Barcelona|Cataluña|España|es|Vallès
Sant Esteve de Palautordera|Vallès_Oriental|Barcelona|Cataluña|España|es|Vallès
Sant Feliu de Codines|Vallès_Oriental|Barcelona|Cataluña|España|es|Vallès
Sant Fost de Campsentelles|Vallès_Oriental|Barcelona|Cataluña|España|es|Vallès
Sant Pere de Vilamajor|Vallès_Oriental|Barcelona|Cataluña|España|es|Vallès
Santa Eulàlia de Ronçana|Vallès_Oriental|Barcelona|Cataluña|España|es|Vallès
Santa Maria de Martorelles|Vallès_Oriental|Barcelona|Cataluña|España|es|Vallès
Santa Maria de Palautordera|Vallès_Oriental|Barcelona|Cataluña|España|es|Vallès
Tagamanent|Vallès_Oriental|Barcelona|Cataluña|España|es|Vallès
Vallgorguina|Vallès_Oriental|Barcelona|Cataluña|España|es|Vallès
Vallromanes|Vallès_Oriental|Barcelona|Cataluña|España|es|Vallès
Vilalba Sasserra|Vallès_Oriental|Barcelona|Cataluña|España|es|Vallès
Vilanova del Vallès|Vallès_Oriental|Barcelona|Cataluña|España|es|Vallès
