id|pais|poblacion|votos|votosTotales|porcentajeDeVoto|partidoGanador|comunidad|provincia
000000000000000000061b3e|España|Abla|4|747|0.54|PSOE|Andalucía|Almería
000000000000000000061ba2|España|Abrucena|0|787|0.00|PSOE|Andalucía|Almería
000000000000000000061c06|España|Adra|15|11748|0.13|PP|Andalucía|Almería
000000000000000000061c6a|España|Albanchez|0|293|0.00|PSOE|Andalucía|Almería
000000000000000000061cce|España|Alboloduy|1|397|0.25|PP|Andalucía|Almería
000000000000000000061d32|España|Albox|7|4616|0.15|PP|Andalucía|Almería
000000000000000000061d96|España|Alcolea|0|519|0.00|PP|Andalucía|Almería
000000000000000000061dfa|España|Alcóntar|0|396|0.00|PP|Andalucía|Almería
000000000000000000061e5e|España|Alcudia de Monteagud|1|96|1.04|PP|Andalucía|Almería
000000000000000000061ec2|España|Alhabia|0|432|0.00|PSOE|Andalucía|Almería
000000000000000000061f26|España|Alhama de Almería|3|2082|0.14|PSOE|Andalucía|Almería
000000000000000000061f8a|España|Alicún|0|157|0.00|PSOE|Andalucía|Almería
000000000000000000061fee|España|Almería|151|96965|0.16|PP|Andalucía|Almería
000000000000000000062052|España|Almócita|0|149|0.00|PSOE|Andalucía|Almería
0000000000000000000620b6|España|Alsodux|0|105|0.00|PSOE|Andalucía|Almería
00000000000000000006211a|España|Antas|4|1609|0.25|PP|Andalucía|Almería
00000000000000000006217e|España|Arboleas|1|883|0.11|PP|Andalucía|Almería
0000000000000000000621e2|España|Armuña de Almanzora|0|228|0.00|PP|Andalucía|Almería
000000000000000000062246|España|Bacares|0|176|0.00|PSOE|Andalucía|Almería
000000000000000000077bfa|España|Balanegra|0|1409|0.00|PP|Andalucía|Almería
0000000000000000000622aa|España|Bayárcal|0|195|0.00|PP|Andalucía|Almería
00000000000000000006230e|España|Bayarque|0|138|0.00|PP|Andalucía|Almería
000000000000000000062372|España|Bédar|0|255|0.00|PSOE|Andalucía|Almería
0000000000000000000623d6|España|Beires|0|114|0.00|PP|Andalucía|Almería
00000000000000000006243a|España|Benahadux|8|2468|0.32|PP|Andalucía|Almería
000000000000000000062502|España|Benitagla|0|45|0.00|PP|Andalucía|Almería
000000000000000000062566|España|Benizalón|1|140|0.71|PP|Andalucía|Almería
0000000000000000000625ca|España|Bentarique|0|171|0.00|PSOE|Andalucía|Almería
00000000000000000006262e|España|Berja|5|5967|0.08|PP|Andalucía|Almería
000000000000000000062692|España|Canjáyar|0|687|0.00|PSOE|Andalucía|Almería
0000000000000000000626f6|España|Cantoria|1|1733|0.06|PSOE|Andalucía|Almería
00000000000000000006275a|España|Carboneras|1|3931|0.03|PP|Andalucía|Almería
0000000000000000000627be|España|Castro de Filabres|2|73|2.74|PSOE|Andalucía|Almería
0000000000000000000628ea|España|Chercos|0|187|0.00|PP|Andalucía|Almería
00000000000000000006294e|España|Chirivel|1|936|0.11|PSOE|Andalucía|Almería
000000000000000000062822|España|Cóbdar|0|126|0.00|PP|Andalucía|Almería
000000000000000000062886|España|Cuevas del Almanzora|13|6115|0.21|PP|Andalucía|Almería
0000000000000000000629b2|España|Dalías|6|2208|0.27|PP|Andalucía|Almería
000000000000000000077b32|España|El Ejido|40|30980|0.13|PP|Andalucía|Almería
000000000000000000062ade|España|Enix|0|304|0.00|PP|Andalucía|Almería
000000000000000000062ba6|España|Felix|0|490|0.00|PP|Andalucía|Almería
000000000000000000062c6e|España|Fiñana|2|1328|0.15|PSOE|Andalucía|Almería
000000000000000000062c0a|España|Fines|0|1139|0.00|PP|Andalucía|Almería
000000000000000000062cd2|España|Fondón|0|699|0.00|PSOE|Andalucía|Almería
000000000000000000062d36|España|Gádor|4|1658|0.24|PP|Andalucía|Almería
000000000000000000062dfe|España|Garrucha|5|3981|0.13|PP|Andalucía|Almería
000000000000000000062e62|España|Gérgal|1|467|0.21|PSOE|Andalucía|Almería
000000000000000000062ec6|España|Huécija|0|377|0.00|PP|Andalucía|Almería
000000000000000000062f2a|España|Huércal de Almería|29|9382|0.31|PP|Andalucía|Almería
000000000000000000062f8e|España|Huércal-Overa|6|9296|0.06|PP|Andalucía|Almería
000000000000000000062ff2|España|Ìllar|0|277|0.00|PP|Andalucía|Almería
000000000000000000063056|España|Instinción|1|312|0.32|PSOE|Andalucía|Almería
000000000000000000077b96|España|La Mojonera|4|2890|0.14|PP|Andalucía|Almería
0000000000000000000630ba|España|Laroya|0|125|0.00|PP|Andalucía|Almería
000000000000000000077ace|España|Las Tres Villas|0|360|0.00|PP|Andalucía|Almería
00000000000000000006311e|España|Láujar de Andarax|0|961|0.00|PP|Andalucía|Almería
000000000000000000063182|España|Líjar|0|236|0.00|PSOE|Andalucía|Almería
000000000000000000062d9a|España|Los Gallardos|1|1027|0.10|PP|Andalucía|Almería
0000000000000000000631e6|España|Lubrín|0|674|0.00|PSOE|Andalucía|Almería
00000000000000000006324a|España|Lucainena de las Torres|0|365|0.00|PP|Andalucía|Almería
0000000000000000000632ae|España|Lúcar|0|495|0.00|PP|Andalucía|Almería
000000000000000000063312|España|Macael|4|3293|0.12|PP|Andalucía|Almería
000000000000000000063376|España|María|1|785|0.13|PP|Andalucía|Almería
0000000000000000000633da|España|Mojácar|6|2079|0.29|PP|Andalucía|Almería
00000000000000000006343e|España|Nacimiento|0|280|0.00|PSOE|Andalucía|Almería
0000000000000000000634a2|España|Níjar|10|9049|0.11|PP|Andalucía|Almería
000000000000000000063506|España|Ohanes|0|337|0.00|PSOE|Andalucía|Almería
00000000000000000006356a|España|Olula de Castro|1|136|0.74|PP|Andalucía|Almería
0000000000000000000635ce|España|Olula del Río|4|3614|0.11|PP|Andalucía|Almería
000000000000000000063632|España|Oria|3|1097|0.27|PP|Andalucía|Almería
000000000000000000063696|España|Padules|0|300|0.00|PSOE|Andalucía|Almería
0000000000000000000636fa|España|Partaloa|0|231|0.00|PP|Andalucía|Almería
00000000000000000006375e|España|Paterna del Río|0|243|0.00|PP|Andalucía|Almería
0000000000000000000637c2|España|Pechina|4|2016|0.20|PP|Andalucía|Almería
000000000000000000063826|España|Pulpí|4|4060|0.10|PP|Andalucía|Almería
00000000000000000006388a|España|Purchena|4|895|0.45|PSOE|Andalucía|Almería
0000000000000000000638ee|España|Rágol|0|234|0.00|PP|Andalucía|Almería
000000000000000000063952|España|Rioja|1|787|0.13|PP|Andalucía|Almería
0000000000000000000639b6|España|Roquetas de Mar|54|39092|0.14|PP|Andalucía|Almería
000000000000000000063a1a|España|Santa Cruz de Marchena|1|155|0.65|PP|Andalucía|Almería
000000000000000000063a7e|España|Santa Fe de Mondújar|0|287|0.00|PSOE|Andalucía|Almería
000000000000000000063ae2|España|Senés|0|189|0.00|PP|Andalucía|Almería
000000000000000000063b46|España|Serón|1|1349|0.07|PSOE|Andalucía|Almería
