Column1|CUSEC=poblacion(4)+distrito(2)+mesa(3)|VotosObtenidos|Unnamed: 0|VotosCandidaturas|VotosBlanco|VotosNulos|codigo_prov|codigo_mun|distrito|Comunidad autónoma|Provincia|Código de provincia|Municipio|Código de municipio|Tipo de elemento|Renta media por persona|Renta media por hogar|%FO|VotosObtenidosPSOE|%PSOE|Poblacion_es|%FO_distritos|renta|fecha|elecciones
3765|0800101001|0|3765|751|14|7|08|08001|0800101|Cataluña|Barcelona|08|Abrera|08001|sección|12551.0|33565.0|0|306|40.75|11875|0.17|uppermid_income|2023-07-23|generales
3766|0800101002|0|3766|914|4|6|08|08001|0800101|Cataluña|Barcelona|08|Abrera|08001|sección|11339.0|32081.0|0|416|45.51|11875|0.17|mid_income|2023-07-23|generales
3767|0800101003|3|3767|471|5|5|08|08001|0800101|Cataluña|Barcelona|08|Abrera|08001|sección|15069.0|44707.0|0.64|184|39.07|11875|0.17|uppermid_income|2023-07-23|generales
3768|0800101004|1|3768|995|10|9|08|08001|0800101|Cataluña|Barcelona|08|Abrera|08001|sección|14051.0|38130.0|0.1|355|35.68|11875|0.17|uppermid_income|2023-07-23|generales
3769|0800101005|3|3769|950|13|10|08|08001|0800101|Cataluña|Barcelona|08|Abrera|08001|sección|11955.0|33517.0|0.32|435|45.79|11875|0.17|uppermid_income|2023-07-23|generales
3770|0800101007|3|3770|495|11|7|08|08001|0800101|Cataluña|Barcelona|08|Abrera|08001|sección|12484.0|34311.0|0.61|179|36.16|11875|0.17|uppermid_income|2023-07-23|generales
3771|0800101008|1|3771|999|08|14|08|08001|0800101|Cataluña|Barcelona|08|Abrera|08001|sección|13924.0|38461.0|0.1|444|44.44|11875|0.17|uppermid_income|2023-07-23|generales
3772|0800101009|0|3772|0845|11|3|08|08001|0800101|Cataluña|Barcelona|08|Abrera|||||0|335|39.64|11875|0.17|Other|2023-07-23|generales
3773|0800201001|0|3773|162|4|3|08|08002|0800201|Cataluña|Barcelona|08|Aguilar de Segarra|08002|sección|14396.0|38635.0|0|22|13.58|280|0|uppermid_income|2023-07-23|generales
3774|0800301001|0|3774|503|3|3|08|08003|0800301|Cataluña|Barcelona|08|Alella|08003|sección|17103.0|46197.0|0|139|27.63|08898|0.14|uppermid_income|2023-07-23|generales
3775|0800301002|1|3775|1236|9|10|08|08003|0800301|Cataluña|Barcelona|08|Alella|08003|sección|20079.0|56482.0|0.08|334|27.02|08898|0.14|high_income|2023-07-23|generales
3776|0800301003|3|3776|1161|7|5|08|08003|0800301|Cataluña|Barcelona|08|Alella|08003|sección|21173.0|62184.0|0.26|315|27.13|08898|0.14|high_income|2023-07-23|generales
3777|0800301004|1|3777|1107|5|08|08|08003|0800301|Cataluña|Barcelona|08|Alella|08003|sección|18456.0|55015.0|0.09|240|21.68|08898|0.14|high_income|2023-07-23|generales
3778|0800301005|2|3778|0892|10|6|08|08003|0800301|Cataluña|Barcelona|08|Alella|08003|sección|||0.22|230|25.78|08898|0.14|Other|2023-07-23|generales
3779|0800401001|1|3779|145|7|1|08|08004|0800401|Cataluña|Barcelona|08|Alpens|08004|sección|13627.0|32991.0|0.69|22|15.17|261|0.69|uppermid_income|2023-07-23|generales
3780|0800501001|3|3780|1296|13|2|08|08005|0800501|Cataluña|Barcelona|08|Ametlla del Vallès L'|08005|sección|15659.0|46880.0|0.23|340|26.23|08463|0.11|uppermid_income|2023-07-23|generales
3781|0800501002|0|3781|943|5|10|08|08005|0800501|Cataluña|Barcelona|08|Ametlla del Vallès L'|08005|sección|17067.0|45317.0|0|223|23.65|08463|0.11|uppermid_income|2023-07-23|generales
3782|0800501003|1|3782|1415|9|4|08|08005|0800501|Cataluña|Barcelona|08|Ametlla del Vallès L'|08005|sección|17581.0|53209.0|0.07|349|24.66|08463|0.11|high_income|2023-07-23|generales
3783|0800501004|0|3783|623|3|08|08|08005|0800501|Cataluña|Barcelona|08|Ametlla del Vallès L'|08005|sección|16629.0|53134.0|0|188|30.18|08463|0.11|high_income|2023-07-23|generales
3784|0800501005|1|3784|416|4|08|08|08005|0800501|Cataluña|Barcelona|08|Ametlla del Vallès L'|08005|sección|14001.0|42356.0|0.24|115|27.64|08463|0.11|uppermid_income|2023-07-23|generales
3785|0800601001|2|3785|1261|6|17|08|08006|0800601|Cataluña|Barcelona|08|Arenys de Mar|08006|sección|12355.0|30071.0|0.16|377|29.9|14262|0.2|mid_income|2023-07-23|generales
3786|0800601002|4|3786|1096|08|14|08|08006|0800601|Cataluña|Barcelona|08|Arenys de Mar|08006|sección|12520.0|30852.0|0.36|273|24.91|14262|0.2|mid_income|2023-07-23|generales
3787|0800601003|0|3787|625|4|9|08|08006|0800601|Cataluña|Barcelona|08|Arenys de Mar|08006|sección|11929.0|30224.0|0|218|34.88|14262|0.2|mid_income|2023-07-23|generales
3788|0800601004|1|3788|570|4|3|08|08006|0800601|Cataluña|Barcelona|08|Arenys de Mar|08006|sección|15907.0|41192.0|0.18|148|25.96|14262|0.2|uppermid_income|2023-07-23|generales
3789|0800602001|0|3789|0812|3|08|08|08006|0800602|Cataluña|Barcelona|08|Arenys de Mar|08006|sección|11422.0|28334.0|0|284|34.98|14262|0.07|mid_income|2023-07-23|generales
3790|0800602002|1|3790|960|9|5|08|08006|0800602|Cataluña|Barcelona|08|Arenys de Mar|08006|sección|12763.0|31616.0|0.1|251|26.15|14262|0.07|mid_income|2023-07-23|generales
3791|0800602003|2|3791|932|7|5|08|08006|0800602|Cataluña|Barcelona|08|Arenys de Mar|08006|sección|14060.0|37315.0|0.21|259|27.79|14262|0.07|uppermid_income|2023-07-23|generales
3792|0800602004|0|3792|601|9|08|08|08006|0800602|Cataluña|Barcelona|08|Arenys de Mar|08006|sección|10757.0|30404.0|0|202|33.61|14262|0.07|mid_income|2023-07-23|generales
3793|0800602005|0|3793|0818|7|11|08|08006|0800602|Cataluña|Barcelona|08|Arenys de Mar|08006|sección|10950.0|29667.0|0|332|40.59|14262|0.07|mid_income|2023-07-23|generales
3794|0800701001|5|3794|0851|5|7|08|08007|0800701|Cataluña|Barcelona|08|Arenys de Munt|08007|sección|11678.0|31638.0|0.59|176|20.68|08579|0.54|mid_income|2023-07-23|generales
3795|0800701002|5|3795|505|6|2|08|08007|0800701|Cataluña|Barcelona|08|Arenys de Munt|08007|sección|11873.0|31657.0|0.99|132|26.14|08579|0.54|mid_income|2023-07-23|generales
3796|0800701003|3|3796|1049|08|9|08|08007|0800701|Cataluña|Barcelona|08|Arenys de Munt|08007|sección|||0.29|274|26.12|08579|0.54|Other|2023-07-23|generales
3797|0800702001|2|3797|1144|9|11|08|08007|0800702|Cataluña|Barcelona|08|Arenys de Munt|08007|sección|13820.0|38347.0|0.17|257|22.47|08579|0.23|uppermid_income|2023-07-23|generales
3798|0800702002|3|3798|1027|08|20|08|08007|0800702|Cataluña|Barcelona|08|Arenys de Munt|08007|sección|11540.0|29616.0|0.29|253|24.63|08579|0.23|mid_income|2023-07-23|generales
3799|0800801001|0|3799|109|5|2|08|08008|0800801|Cataluña|Barcelona|08|Argençola|08008|sección|12476.0|34122.0|0|22|20.18|207|0|uppermid_income|2023-07-23|generales
3800|0800901001|0|3800|445|3|3|08|08009|0800901|Cataluña|Barcelona|08|Argentona|08009|sección|14609.0|41804.0|0|98|22.02|12032|0.18|uppermid_income|2023-07-23|generales
3801|0800901002|1|3801|0884|17|23|08|08009|0800901|Cataluña|Barcelona|08|Argentona|08009|sección|15397.0|45407.0|0.11|257|29.07|12032|0.18|uppermid_income|2023-07-23|generales
3802|0800901003|1|3802|412|9|3|08|08009|0800901|Cataluña|Barcelona|08|Argentona|08009|sección|9767.0|28279.0|0.24|166|40.29|12032|0.18|mid_income|2023-07-23|generales
3803|0800901004|2|3803|917|13|13|08|08009|0800901|Cataluña|Barcelona|08|Argentona|08009|sección|12033.0|37345.0|0.22|254|27.7|12032|0.18|uppermid_income|2023-07-23|generales
3804|0800901005|2|3804|636|4|10|08|08009|0800901|Cataluña|Barcelona|08|Argentona|08009|sección|14685.0|44341.0|0.31|145|22.8|12032|0.18|uppermid_income|2023-07-23|generales
3805|0800901006|2|3805|1145|10|12|08|08009|0800901|Cataluña|Barcelona|08|Argentona|08009|sección|14165.0|39700.0|0.17|240|20.96|12032|0.18|uppermid_income|2023-07-23|generales
3806|0800902001|1|3806|641|4|4|08|08009|0800902|Cataluña|Barcelona|08|Argentona|08009|sección|11994.0|31811.0|0.16|192|29.95|12032|0.15|mid_income|2023-07-23|generales
3807|0800902002|2|3807|685|14|12|08|08009|0800902|Cataluña|Barcelona|08|Argentona|08009|sección|12922.0|32481.0|0.29|173|25.26|12032|0.15|mid_income|2023-07-23|generales
3808|0800902003|0|3808|640|3|12|08|08009|0800902|Cataluña|Barcelona|08|Argentona|08009|sección|||0|168|26.25|12032|0.15|Other|2023-07-23|generales
3809|0801001001|3|3809|655|3|6|08|08010|0801001|Cataluña|Barcelona|08|Artés|08010|sección|11734.0|30573.0|0.46|192|29.31|5248|0.46|mid_income|2023-07-23|generales
3810|0801002001|1|3810|771|08|3|08|08010|0801002|Cataluña|Barcelona|08|Artés|08010|sección|13131.0|34656.0|0.13|198|25.68|5248|0.2|uppermid_income|2023-07-23|generales
3811|0801002002|2|3811|420|6|9|08|08010|0801002|Cataluña|Barcelona|08|Artés|08010|sección|12377.0|31798.0|0.48|124|29.52|5248|0.2|mid_income|2023-07-23|generales
3812|0801002003|1|3812|0850|4|14|08|08010|0801002|Cataluña|Barcelona|08|Artés|08010|sección|13104.0|35555.0|0.12|206|24.24|5248|0.2|uppermid_income|2023-07-23|generales
3813|0801101001|1|3813|1066|10|20|08|08011|0801101|Cataluña|Barcelona|08|Avià|08011|sección|12550.0|33172.0|0.09|211|19.79|2115|0.09|uppermid_income|2023-07-23|generales
3814|0801201001|2|3814|1100|10|14|08|08012|0801201|Cataluña|Barcelona|08|Avinyó|08012|sección|12220.0|32940.0|0.18|276|25.09|2047|0.18|uppermid_income|2023-07-23|generales
3815|0801301001|1|3815|0880|11|19|08|08013|0801301|Cataluña|Barcelona|08|Avinyonet del Penedès|08013|sección|13116.0|33852.0|0.11|232|26.36|1554|0.11|uppermid_income|2023-07-23|generales
3816|0801401001|2|3816|1384|13|7|08|08014|0801401|Cataluña|Barcelona|08|Aiguafreda|08014|sección|13234.0|33503.0|0.14|383|27.67|2412|0.14|uppermid_income|2023-07-23|generales
3817|0801501001|2|3817|0879|6|6|08|08015|0801501|Cataluña|Barcelona|08|Badalona|08015|sección|18145.0|46364.0|0.23|234|26.62|188291|0.16|uppermid_income|2023-07-23|generales
3818|0801501002|2|3818|661|5|3|08|08015|0801501|Cataluña|Barcelona|08|Badalona|08015|sección|16478.0|39801.0|0.3|168|25.42|188291|0.16|uppermid_income|2023-07-23|generales
3819|0801501003|0|3819|551|7|3|08|08015|0801501|Cataluña|Barcelona|08|Badalona|08015|sección|17631.0|44189.0|0|106|19.24|188291|0.16|uppermid_income|2023-07-23|generales
3820|0801501004|2|3820|0804|9|08|08|08015|0801501|Cataluña|Barcelona|08|Badalona|08015|sección|17131.0|42011.0|0.25|165|20.52|188291|0.16|uppermid_income|2023-07-23|generales
3821|0801501005|0|3821|0842|9|4|08|08015|0801501|Cataluña|Barcelona|08|Badalona|08015|sección|16330.0|36737.0|0|207|24.58|188291|0.16|uppermid_income|2023-07-23|generales
3822|0801501007|1|3822|727|7|1|08|08015|0801501|Cataluña|Barcelona|08|Badalona|08015|sección|16744.0|40363.0|0.14|206|28.34|188291|0.16|uppermid_income|2023-07-23|generales
3823|0801502001|1|3823|740|5|4|08|08015|0801502|Cataluña|Barcelona|08|Badalona|08015|sección|12908.0|32270.0|0.14|274|37.03|188291|0.23|mid_income|2023-07-23|generales
3824|0801502002|0|3824|1055|7|08|08|08015|0801502|Cataluña|Barcelona|08|Badalona|08015|sección|15555.0|42223.0|0|308|29.19|188291|0.23|uppermid_income|2023-07-23|generales
3825|0801502003|1|3825|522|9|3|08|08015|0801502|Cataluña|Barcelona|08|Badalona|08015|sección|17303.0|39996.0|0.19|137|26.25|188291|0.23|uppermid_income|2023-07-23|generales
3826|0801502004|0|3826|1176|08|08|08|08015|0801502|Cataluña|Barcelona|08|Badalona|08015|sección|18965.0|48667.0|0|317|26.96|188291|0.23|high_income|2023-07-23|generales
3827|0801502005|1|3827|525|6|4|08|08015|0801502|Cataluña|Barcelona|08|Badalona|08015|sección|10082.0|25468.0|0.19|197|37.52|188291|0.23|mid_income|2023-07-23|generales
3828|0801502007|1|3828|465|5|4|08|08015|0801502|Cataluña|Barcelona|08|Badalona|08015|sección|9894.0|24448.0|0.22|229|49.25|188291|0.23|low_income|2023-07-23|generales
3829|0801502008|2|3829|1259|10|7|08|08015|0801502|Cataluña|Barcelona|08|Badalona|08015|sección|15466.0|38436.0|0.16|378|30.02|188291|0.23|uppermid_income|2023-07-23|generales
3830|0801502009|0|3830|368|1|9|08|08015|0801502|Cataluña|Barcelona|08|Badalona|08015|sección|7965.0|19518.0|0|189|51.36|188291|0.23|low_income|2023-07-23|generales
3831|0801502010|3|3831|616|5|1|08|08015|0801502|Cataluña|Barcelona|08|Badalona|08015|sección|9672.0|25542.0|0.49|265|43.02|188291|0.23|mid_income|2023-07-23|generales
3832|0801502011|4|3832|695|11|11|08|08015|0801502|Cataluña|Barcelona|08|Badalona|08015|sección|10624.0|27217.0|0.58|302|43.45|188291|0.23|mid_income|2023-07-23|generales
3833|0801502012|2|3833|469|4|1|08|08015|0801502|Cataluña|Barcelona|08|Badalona|08015|sección|10175.0|25896.0|0.43|203|43.28|188291|0.23|mid_income|2023-07-23|generales
3834|0801502013|5|3834|493|4|3|08|08015|0801502|Cataluña|Barcelona|08|Badalona|08015|sección|9327.0|24266.0|1.01|200|40.57|188291|0.23|low_income|2023-07-23|generales
3835|0801502015|0|3835|429|4|2|08|08015|0801502|Cataluña|Barcelona|08|Badalona|08015|sección|9897.0|23617.0|0|183|42.66|188291|0.23|low_income|2023-07-23|generales
3836|0801503001|4|3836|956|3|5|08|08015|0801503|Cataluña|Barcelona|08|Badalona|08015|sección|11693.0|29920.0|0.42|439|45.92|188291|0.25|mid_income|2023-07-23|generales
3837|0801503003|5|3837|989|9|5|08|08015|0801503|Cataluña|Barcelona|08|Badalona|08015|sección|12314.0|32248.0|0.51|396|40.04|188291|0.25|mid_income|2023-07-23|generales
3838|0801503004|2|3838|933|9|08|08|08015|0801503|Cataluña|Barcelona|08|Badalona|08015|sección|14373.0|40223.0|0.21|331|35.48|188291|0.25|uppermid_income|2023-07-23|generales
3839|0801503005|1|3839|758|4|4|08|08015|0801503|Cataluña|Barcelona|08|Badalona|08015|sección|11408.0|29302.0|0.13|296|39.05|188291|0.25|mid_income|2023-07-23|generales
3840|0801503006|1|3840|672|7|7|08|08015|0801503|Cataluña|Barcelona|08|Badalona|08015|sección|16149.0|42373.0|0.15|235|34.97|188291|0.25|uppermid_income|2023-07-23|generales
3841|0801503007|2|3841|761|7|4|08|08015|0801503|Cataluña|Barcelona|08|Badalona|08015|sección|16949.0|42836.0|0.26|206|27.07|188291|0.25|uppermid_income|2023-07-23|generales
3842|0801503008|0|3842|370|2|0|08|08015|0801503|Cataluña|Barcelona|08|Badalona|08015|sección|13518.0|33324.0|0|97|26.22|188291|0.25|uppermid_income|2023-07-23|generales
3843|0801503009|1|3843|966|9|4|08|08015|0801503|Cataluña|Barcelona|08|Badalona|08015|sección|14700.0|35184.0|0.1|265|27.43|188291|0.25|uppermid_income|2023-07-23|generales
3844|0801503010|2|3844|458|4|1|08|08015|0801503|Cataluña|Barcelona|08|Badalona|08015|sección|10899.0|26388.0|0.44|221|48.25|188291|0.25|mid_income|2023-07-23|generales
3845|0801503011|3|3845|656|12|1|08|08015|0801503|Cataluña|Barcelona|08|Badalona|08015|sección|13221.0|34451.0|0.46|243|37.04|188291|0.25|uppermid_income|2023-07-23|generales
3846|0801503013|2|3846|0802|16|5|08|08015|0801503|Cataluña|Barcelona|08|Badalona|08015|sección|17032.0|46550.0|0.25|272|33.92|188291|0.25|uppermid_income|2023-07-23|generales
3847|0801503014|1|3847|700|5|6|08|08015|0801503|Cataluña|Barcelona|08|Badalona|08015|sección|||0.14|274|39.14|188291|0.25|Other|2023-07-23|generales
3848|0801503015|1|3848|908|6|6|08|08015|0801503|Cataluña|Barcelona|08|Badalona|08015|sección|||0.11|315|34.69|188291|0.25|Other|2023-07-23|generales
3849|0801504001|7|3849|1023|7|2|08|08015|0801504|Cataluña|Barcelona|08|Badalona|08015|sección|10616.0|32059.0|0.68|445|43.5|188291|0.32|mid_income|2023-07-23|generales
3850|0801504002|1|3850|781|08|7|08|08015|0801504|Cataluña|Barcelona|08|Badalona|08015|sección|13100.0|33705.0|0.13|302|38.67|188291|0.32|uppermid_income|2023-07-23|generales
3851|0801504003|3|3851|776|4|6|08|08015|0801504|Cataluña|Barcelona|08|Badalona|08015|sección|13147.0|33281.0|0.39|293|37.76|188291|0.32|uppermid_income|2023-07-23|generales
3852|0801504004|4|3852|1186|9|7|08|08015|0801504|Cataluña|Barcelona|08|Badalona|08015|sección|12634.0|34276.0|0.34|482|40.64|188291|0.32|uppermid_income|2023-07-23|generales
3853|0801504005|4|3853|992|12|10|08|08015|0801504|Cataluña|Barcelona|08|Badalona|08015|sección|12412.0|31706.0|0.4|382|38.51|188291|0.32|mid_income|2023-07-23|generales
