Municipio; Número de votos; Porcentaje
A Baña ;5 ;0,22 
A Capela ;2 ;0,27 
A Coruña ;223 ;0,15 
A Laracha ;10 ;0,14 
A Pobra do Caramiñal ;7 ;0,12 
Abegondo ;12 ;0,33 
Ames ;35 ;0,18 
Aranga ;3 ;0,25 
Ares ;2 ;0,05 
Arteixo ;39 ;0,22 
Arzúa ;0 ;0 
As Pontes de García Rodríguez ;9 ;0,15 
As Somozas ;2 ;0,27 
Bergondo ;6 ;0,13 
Betanzos ;5 ;0,06 
Boimorto ;3 ;0,25 
Boiro ;18 ;0,16 
Boqueixón ;5 ;0,18 
Brión ;5 ;0,10 
Cabana de Bergantiños ;6 ;0,22 
Cabanas ;5 ;0,24 
Camariñas ;6 ;0,19 
Cambre ;27 ;0,18 
Carballo ;31 ;0,17 
Cariño ;1 ;0,04 
Carnota ;1 ;0,04 
Carral ;6 ;0,15 
Cedeira ;2 ;0,05 
Cee ;3 ;0,06 
Cerceda ;1 ;0,03 
Cerdido ;2 ;0,33 
Coirós ;0 ;0 
Corcubión ;1 ;0,09 
Coristanco ;1 ;0,02 
Culleredo ;31 ;0,17 
Curtis ;3 ;0,11 
Dodro ;1 ;0,05 
Dumbría ;2 ;0,11 
Fene ;6 ;0,07 
Ferrol ;56 ;0,15 
Fisterra ;2 ;0,07 
Frades ;1 ;0,06 
Irixoa ;2 ;0,22 
Laxe ;2 ;0,10 
Lousame ;1 ;0,05 
Malpica de Bergantiños ;1 ;0,02 
Mañón ;2 ;0,23 
Mazaricos ;3 ;0,12 
Melide ;7 ;0,15 
Mesía ;0 ;0 
Miño ;0 ;0 
Moeche ;4 ;0,49 
Monfero ;0 ;0 
Mugardos ;4 ;0,12 
Muros ;2 ;0,04 
Muxía ;3 ;0,10 
Narón ;50 ;0,23 
Neda ;3 ;0,09 
Negreira ;7 ;0,16 
Noia ;13 ;0,14 
O Pino ;2 ;0,06 
Oleiros ;27 ;0,11 
Ordes ;14 ;0,18 
Oroso ;4 ;0,08 
Ortigueira ;2 ;0,05 
Outes ;5 ;0,13 
Oza-Cesuras ;7 ;0,20 
Paderne ;3 ;0,17 
Padrón ;13 ;0,24 
Ponteceso ;1 ;0,03 
Pontedeume ;8 ;0,16 
Porto do Son ;3 ;0,05 
Rianxo ;15 ;0,22 
Ribeira ;26 ;0,18 
Rois ;2 ;0,07 
Sada ;11 ;0,11 
San Sadurniño ;0 ;0 
Santa Comba ;4 ;0,07 
Santiago de Compostela ;88 ;0,14 
Santiso ;1 ;0,10 
Sobrado ;0 ;0 
Teo ;16 ;0,13 
Toques ;1 ;0,12 
Tordoia ;0 ;0 
Touro ;0 ;0 
Trazo ;1 ;0,04 
Val do Dubra ;4 ;0,17 
Valdoviño ;4 ;0,09 
Vedra ;4 ;0,12 
Vilarmaior ;0 ;0 
Vilasantar ;0 ;0 
Vimianzo ;2 ;0,04 
Zas ;5 ;0,18 
