Municipio; Número de votos; Porcentaje
Abengibre ;1 ;0,17 
Alatoz ;1 ;0,28 
Albacete ;186 ;0,19 
Albatana ;3 ;0,64 
Alborea ;0 ;0 
Alcadozo ;1 ;0,21 
Alcalá del Júcar ;0 ;0 
Alcaraz ;1 ;0,12 
Almansa ;18 ;0,12 
Alpera ;1 ;0,06 
Ayna ;0 ;0 
Balazote ;4 ;0,26 
Balsa de Ves ;1 ;1 
Barrax ;4 ;0,34 
Bienservida ;4 ;1,08 
Bogarra ;0 ;0 
Bonete ;0 ;0 
Carcelén ;0 ;0 
Casas de Juan Núñez ;1 ;0,12 
Casas de Lázaro ;0 ;0 
Casas de Ves ;0 ;0 
Casas-Ibáñez ;5 ;0,19 
Caudete ;7 ;0,12 
Cenizate ;1 ;0,14 
Chinchilla de Monte-Aragón ;13 ;0,48 
Corral-Rubio ;3 ;1,34 
Cotillas ;0 ;0 
El Ballestero ;0 ;0 
El Bonillo ;4 ;0,22 
Elche de la Sierra ;4 ;0,18 
Férez ;0 ;0 
Fuensanta ;0 ;0 
Fuente-Álamo ;2 ;0,13 
Fuentealbilla ;1 ;0,09 
Golosalvo ;0 ;0 
Hellín ;14 ;0,09 
Higueruela ;1 ;0,12 
Hoya-Gonzalo ;0 ;0 
Jorquera ;1 ;0,40 
La Gineta ;3 ;0,19 
La Herrera ;0 ;0 
La Recueja ;0 ;0 
La Roda ;7 ;0,08 
Letur ;2 ;0,33 
Lezuza ;0 ;0 
Liétor ;1 ;0,13 
Madrigueras ;7 ;0,24 
Mahora ;2 ;0,21 
Masegoso ;0 ;0 
Minaya ;0 ;0 
Molinicos ;0 ;0 
Montalvos ;0 ;0 
Montealegre del Castillo ;1 ;0,08 
Motilleja ;0 ;0 
Munera ;8 ;0,37 
Navas de Jorquera ;0 ;0 
Nerpio ;0 ;0 
Ontur ;2 ;0,16 
Ossa de Montiel ;7 ;0,51 
Paterna del Madera ;0 ;0 
Peñas de San Pedro ;1 ;0,09 
Peñascosa ;0 ;0 
Pétrola ;2 ;0,43 
Povedilla ;0 ;0 
Pozo Cañada ;2 ;0,12 
Pozo-Lorente ;0 ;0 
Pozohondo ;1 ;0,09 
Pozuelo ;1 ;0,26 
Riópar ;2 ;0,22 
Robledo ;0 ;0 
Salobre ;0 ;0 
San Pedro ;1 ;0,11 
Socovos ;1 ;0,09 
Tarazona de la Mancha ;6 ;0,16 
Tobarra ;4 ;0,09 
Valdeganga ;6 ;0,43 
Vianos ;0 ;0 
Villa de Ves ;1 ;2,50 
Villalgordo del Júcar ;0 ;0 
Villamalea ;4 ;0,19 
Villapalacios ;0 ;0 
Villarrobledo ;15 ;0,11 
Villatoya ;0 ;0 
Villavaliente ;1 ;0,65 
Villaverde de Guadalimar ;0 ;0 
Viveros ;0 ;0 
Yeste ;2 ;0,12 
