Municipio; Número de votos; Porcentaje
Abla ;4 ;0,53 
Abrucena ;0 ;0 
Adra ;15 ;0,12 
Albanchez ;0 ;0 
Alboloduy ;1 ;0,25 
Albox ;7 ;0,15 
Alcolea ;0 ;0 
Alcóntar ;0 ;0 
Alcudia de Monteagud ;1 ;1,06 
Alhabia ;0 ;0 
Alhama de Almería ;3 ;0,14 
Alicún ;0 ;0 
Almería ;151 ;0,15 
Almócita ;0 ;0 
Alsodux ;0 ;0 
Antas ;4 ;0,25 
Arboleas ;1 ;0,11 
Armuña de Almanzora ;0 ;0 
Bacares ;0 ;0 
Balanegra ;0 ;0 
Bayárcal ;0 ;0 
Bayarque ;0 ;0 
Bédar ;0 ;0 
Beires ;0 ;0 
Benahadux ;8 ;0,32 
Benitagla ;0 ;0 
Benizalón ;1 ;0,71 
Bentarique ;0 ;0 
Berja ;5 ;0,08 
Canjáyar ;0 ;0 
Cantoria ;1 ;0,05 
Carboneras ;1 ;0,02 
Castro de Filabres ;2 ;2,73 
Chercos ;0 ;0 
Chirivel ;1 ;0,10 
Cóbdar ;0 ;0 
Cuevas del Almanzora ;13 ;0,21 
Dalías ;6 ;0,27 
El Ejido ;40 ;0,13 
Enix ;0 ;0 
Felix ;0 ;0 
Fiñana ;2 ;0,15 
Fines ;0 ;0 
Fondón ;0 ;0 
Gádor ;4 ;0,24 
Garrucha ;5 ;0,12 
Gérgal ;1 ;0,21 
Huécija ;0 ;0 
Huércal de Almería ;29 ;0,31 
Huércal-Overa ;6 ;0,06 
Ìllar ;0 ;0 
Instinción ;1 ;0,32 
La Mojonera ;4 ;0,13 
Laroya ;0 ;0 
Las Tres Villas ;0 ;0 
Láujar de Andarax ;0 ;0 
Líjar ;0 ;0 
Los Gallardos ;1 ;0,09 
Lubrín ;0 ;0 
Lucainena de las Torres ;0 ;0 
Lúcar ;0 ;0 
Macael ;4 ;0,12 
María ;1 ;0,13 
Mojácar ;6 ;0,29 
Nacimiento ;0 ;0 
Níjar ;10 ;0,11 
Ohanes ;0 ;0 
Olula de Castro ;1 ;0,73 
Olula del Río ;4 ;0,11 
Oria ;3 ;0,27 
Padules ;0 ;0 
Partaloa ;0 ;0 
Paterna del Río ;0 ;0 
Pechina ;4 ;0,20 
Pulpí ;4 ;0,09 
Purchena ;4 ;0,45 
Rágol ;0 ;0 
Rioja ;1 ;0,12 
Roquetas de Mar ;54 ;0,13 
Santa Cruz de Marchena ;1 ;0,66 
Santa Fe de Mondújar ;0 ;0 
Senés ;0 ;0 
Serón ;1 ;0,07 
Sierro ;0 ;0 
Somontín ;1 ;0,26 
Sorbas ;3 ;0,26 
Suﬂí ;0 ;0 
Tabernas ;1 ;0,05 
Taberno ;1 ;0,20 
Tahal ;3 ;1,25 
Terque ;0 ;0 
Tíjola ;3 ;0,14 
Turre ;2 ;0,16 
Turrillas ;1 ;0,57 
Uleila del Campo ;0 ;0 
Urrácal ;1 ;0,44 
Veleﬁque ;1 ;0,50 
Vélez-Blanco ;2 ;0,18 
Vélez-Rubio ;2 ;0,05 
Vera ;9 ;0,14 
Viator ;7 ;0,23 
Vícar ;17 ;0,17 
Zurgena ;3 ;0,29 
