Municipio; Número de votos; Porcentaje
Allande ;0 ;0 
Aller ;15 ;0,24 
Amieva ;0 ;0 
Avilés ;83 ;0,18 
Belmonte de Miranda ;2 ;0,22 
Bimenes ;0 ;0 
Boal ;0 ;0 
Cabrales ;2 ;0,16 
Cabranes ;0 ;0 
Candamo ;1 ;0,08 
Cangas de Onís ;6 ;0,16 
Cangas del Narcea ;11 ;0,17 
Caravia ;0 ;0 
Carreño ;16 ;0,26 
Caso ;0 ;0 
Castrillón ;25 ;0,18 
Castropol ;4 ;0,19 
Coaña ;6 ;0,29 
Colunga ;3 ;0,15 
Corvera de Asturias ;14 ;0,15 
Cudillero ;8 ;0,27 
Degaña ;1 ;0,20 
El Franco ;6 ;0,25 
Gijón ;388 ;0,24 
Gozón ;11 ;0,17 
Grado ;5 ;0,09 
Grandas de Salime ;0 ;0 
Ibias ;1 ;0,14 
Illano ;0 ;0 
Illas ;1 ;0,14 
Langreo ;36 ;0,17 
Las Regueras ;2 ;0,16 
Laviana ;24 ;0,32 
Lena ;10 ;0,16 
Llanera ;11 ;0,13 
Llanes ;11 ;0,13 
Mieres ;72 ;0,34 
Morcín ;1 ;0,06 
Muros de Nalón ;0 ;0 
Nava ;4 ;0,12 
Navia ;7 ;0,14 
Noreña ;7 ;0,22 
Onís ;0 ;0 
Oviedo ;206 ;0,16 
Parres ;2 ;0,06 
Peñamellera Alta ;1 ;0,26 
Peñamellera Baja ;0 ;0 
Pesoz ;0 ;0 
Piloña ;7 ;0,17 
Ponga ;0 ;0 
Pravia ;6 ;0,12 
Proaza ;0 ;0 
Quirós ;1 ;0,14 
Ribadedeva ;1 ;0,09 
Ribadesella ;8 ;0,23 
Ribera de Arriba ;2 ;0,19 
Riosa ;1 ;0,09 
Salas ;3 ;0,10 
San Martín de Oscos ;0 ;0 
San Martín del Rey Aurelio ;34 ;0,37 
San Tirso de Abres ;0 ;0 
Santa Eulalia de Oscos ;0 ;0 
Santo Adriano ;0 ;0 
Sariego ;1 ;0,12 
Siero ;61 ;0,20 
Sobrescobio ;1 ;0,16 
Somiedo ;0 ;0 
Soto del Barco ;4 ;0,16 
Tapia de Casariego ;2 ;0,08 
Taramundi ;0 ;0 
Teverga ;0 ;0 
Tineo ;4 ;0,08 
Valdés ;7 ;0,10 
Vegadeo ;3 ;0,13 
Villanueva de Oscos ;0 ;0 
Villaviciosa ;8 ;0,09 
Villayón ;1 ;0,13 
Yernes y Tameza ;0 ;0 
