Municipio; Número de votos; Porcentaje
Acedera ;0 ;0 
Aceuchal ;6 ;0,20 
Ahillones ;1 ;0,17 
Alange ;1 ;0,08 
Alburquerque ;8 ;0,27 
Alconchel ;0 ;0 
Alconera ;0 ;0 
Aljucén ;1 ;0,54 
Almendral ;2 ;0,25 
Almendralejo ;15 ;0,08 
Arroyo de San Serván ;1 ;0,04 
Atalaya ;0 ;0 
Azuaga ;6 ;0,13 
Badajoz ;124 ;0,15 
Barcarrota ;3 ;0,13 
Baterno ;2 ;1,10 
Benquerencia de la Serena ;0 ;0 
Berlanga ;2 ;0,14 
Bienvenida ;2 ;0,14 
Bodonal de la Sierra ;0 ;0 
Burguillos del Cerro ;0 ;0 
Cabeza del Buey ;1 ;0,03 
Cabeza la Vaca ;0 ;0 
Calamonte ;4 ;0,10 
Calera de León ;1 ;0,17 
Calzadilla de los Barros ;0 ;0 
Campanario ;4 ;0,11 
Campillo de Llerena ;0 ;0 
Capilla ;0 ;0 
Carmonita ;0 ;0 
Casas de Don Pedro ;1 ;0,10 
Casas de Reina ;0 ;0 
Castilblanco ;1 ;0,16 
Castuera ;1 ;0,02 
Cheles ;1 ;0,14 
Cordobilla de Lácara ;1 ;0,19 
Corte de Peleas ;1 ;0,13 
Cristina ;0 ;0 
Don Álvaro ;3 ;0,54 
Don Benito ;32 ;0,15 
El Carrascalejo ;0 ;0 
Entrín Bajo ;0 ;0 
Esparragalejo ;0 ;0 
Esparragosa de la Serena ;0 ;0 
Esparragosa de Lares ;0 ;0 
Feria ;0 ;0 
Fregenal de la Sierra ;2 ;0,06 
Fuenlabrada de los Montes ;0 ;0 
Fuente de Cantos ;3 ;0,10 
Fuente del Arco ;1 ;0,24 
Fuente del Maestre ;1 ;0,02 
Fuentes de León ;0 ;0 
Garbayuela ;0 ;0 
Garlitos ;0 ;0 
Granja de Torrehermosa ;1 ;0,08 
Guadiana ;1 ;0,06 
Guareña ;5 ;0,12 
Helechosa de los Montes ;0 ;0 
Herrera del Duque ;0 ;0 
Higuera de la Serena ;1 ;0,16 
Higuera de Llerena ;2 ;0,91 
Higuera de Vargas ;2 ;0,16 
Higuera la Real ;1 ;0,07 
Hinojosa del Valle ;0 ;0 
Hornachos ;5 ;0,24 
Jerez de los Caballeros ;5 ;0,09 
La Albuera ;2 ;0,17 
La Codosera ;1 ;0,09 
La Coronada ;1 ;0,07 
La Garrovilla ;1 ;0,07 
La Haba ;0 ;0 
La Lapa ;0 ;0 
La Morera ;0 ;0 
La Nava de Santiago ;1 ;0,17 
La Parra ;2 ;0,26 
La Roca de la Sierra ;1 ;0,11 
La Zarza ;0 ;0 
Llera ;0 ;0 
Llerena ;4 ;0,11 
Lobón ;0 ;0 
Los Santos de Maimona ;6 ;0,13 
Magacela ;0 ;0 
Maguilla ;0 ;0 
Malcocinado ;1 ;0,41 
Malpartida de la Serena ;1 ;0,27 
Manchita ;1 ;0,20 
Medellín ;3 ;0,21 
Medina de las Torres ;0 ;0 
Mengabril ;0 ;0 
Mérida ;37 ;0,11 
Mirandilla ;1 ;0,12 
Monesterio ;1 ;0,03 
Montemolín ;2 ;0,24 
Monterrubio de la Serena ;1 ;0,06 
Montijo ;16 ;0,18 
Navalvillar de Pela ;2 ;0,07 
Nogales ;0 ;0 
Oliva de la Frontera ;4 ;0,12 
Oliva de Mérida ;2 ;0,21 
Olivenza ;15 ;0,22 
