Municipio; Número de votos; Porcentaje
Abrera ;11 ;0,16 
Aguilar de Segarra ;0 ;0 
Aiguafreda ;2 ;0,14 
Alella ;7 ;0,14 
Alpens ;1 ;0,65 
Arenys de Mar ;10 ;0,12 
Arenys de Munt ;18 ;0,39 
Argençola ;0 ;0 
Argentona ;11 ;0,16 
Artés ;7 ;0,25 
Avià ;1 ;0,09 
Avinyó ;2 ;0,18 
Avinyonet del Penedès ;1 ;0,11 
Badalona ;277 ;0,28 
Badia del Vallès ;17 ;0,27 
Bagà ;2 ;0,16 
Balenyà ;6 ;0,32 
Balsareny ;3 ;0,18 
Barberà del Vallès ;69 ;0,40 
Barcelona ;1.285 ;0,17 
Begues ;10 ;0,25 
Bellprat ;0 ;0 
Berga ;3 ;0,04 
Bigues i Riells ;12 ;0,24 
Borredà ;0 ;0 
Cabrera d'Anoia ;2 ;0,25 
Cabrera de Mar ;2 ;0,07 
Cabrils ;3 ;0,08 
Calaf ;1 ;0,06 
Calders ;0 ;0 
Caldes d'Estrac ;4 ;0,26 
Caldes de Montbui ;16 ;0,17 
Calella ;18 ;0,21 
Calldetenes ;5 ;0,39 
Callús ;2 ;0,20 
Calonge de Segarra ;0 ;0 
Campins ;1 ;0,30 
Canet de Mar ;9 ;0,12 
Canovelles ;17 ;0,26 
Cànoves i Samalús ;2 ;0,12 
Canyelles ;4 ;0,16 
Capellades ;4 ;0,14 
Capolat ;0 ;0 
Cardedeu ;23 ;0,23 
Cardona ;1 ;0,04 
Carme ;0 ;0 
Casserres ;1 ;0,13 
Castell de l'Areny ;0 ;0 
Castellar de n'Hug ;0 ;0 
Castellar del Riu ;0 ;0 
Castellar del Vallès ;19 ;0,14 
Castellbell i el Vilar ;5 ;0,26 
Castellbisbal ;20 ;0,30 
Castellcir ;2 ;0,51 
Castelldefels ;49 ;0,17 
Castellet i la Gornal ;9 ;0,73 
Castellfollit de Riubregós ;0 ;0 
Castellfollit del Boix ;0 ;0 
Castellgalí ;4 ;0,35 
Castellnou de Bages ;0 ;0 
