Municipio; Número de votos; Porcentaje
Abadiño ;2 ;0,05 
Abanto y Ciérvana-Abanto Zierbena ;8 ;0,15 
Ajangiz ;0 ;0 
Alonsotegi ;4 ;0,24 
Amorebieta-Etxano ;18 ;0,17 
Amoroto ;0 ;0 
Arakaldo ;0 ;0 
Arantzazu ;0 ;0 
Areatza ;3 ;0,45 
Arrankudiaga-Zollo ;0 ;0 
Arratzu ;0 ;0 
Arrieta ;0 ;0 
Arrigorriaga ;6 ;0,09 
Artea ;1 ;0,21 
Artzentales ;1 ;0,24 
Atxondo ;1 ;0,13 
Aulesti ;0 ;0 
Bakio ;2 ;0,11 
Balmaseda ;3 ;0,07 
Barakaldo ;106 ;0,21 
Barrika ;1 ;0,12 
Basauri ;43 ;0,21 
Bedia ;0 ;0 
Berango ;5 ;0,12 
Bermeo ;6 ;0,07 
Berriatua ;0 ;0 
Berriz ;2 ;0,08 
Bilbao ;292 ;0,16 
Busturia ;0 ;0 
Derio ;5 ;0,13 
Dima ;1 ;0,11 
Durango ;21 ;0,13 
Ea ;2 ;0,38 
Elantxobe ;1 ;0,45 
Elorrio ;5 ;0,12 
Erandio ;17 ;0,13 
Ereño ;0 ;0 
Ermua ;17 ;0,20 
Errigoiti ;0 ;0 
Etxebarri ;9 ;0,14 
Etxebarria ;0 ;0 
Forua ;0 ;0 
Fruiz ;0 ;0 
Galdakao ;27 ;0,16 
Galdames ;3 ;0,60 
Gamiz-Fika ;0 ;0 
Garai ;0 ;0 
Gatika ;1 ;0,10 
Gautegiz Arteaga ;1 ;0,17 
Gernika-Lumo ;14 ;0,15 
Getxo ;44 ;0,09 
Gizaburuaga ;0 ;0 
Gordexola ;0 ;0 
Gorliz ;5 ;0,14 
Güeñes ;9 ;0,24 
Ibarrangelu ;0 ;0 
Igorre ;0 ;0 
Ispaster ;2 ;0,45 
Iurreta ;2 ;0,10 
Izurtza ;1 ;0,81 
Karrantza Harana/Valle de Carranza ;1 ;0,06 
Kortezubi ;0 ;0 
Lanestosa ;0 ;0 
Larrabetzu ;2 ;0,17 
Laukiz ;0 ;0 
Leioa ;26 ;0,14 
Lekeitio ;0 ;0 
Lemoa ;4 ;0,22 
Lemoiz ;0 ;0 
Lezama ;2 ;0,13 
Loiu ;0 ;0 
Mallabia ;0 ;0 
Mañaria ;0 ;0 
Markina-Xemein ;2 ;0,08 
Maruri-Jatabe ;4 ;0,61 
Meñaka ;0 ;0 
Mendata ;0 ;0 
Mendexa ;0 ;0 
Morga ;0 ;0 
Mundaka ;1 ;0,08 
Mungia ;9 ;0,09 
Munitibar-Arbatzegi Gerrikaitz ;0 ;0 
Murueta ;0 ;0 
Muskiz ;10 ;0,23 
Muxika ;1 ;0,12 
Nabarniz ;0 ;0 
Ondarroa ;3 ;0,06 
Orozko ;2 ;0,13 
Ortuella ;14 ;0,30 
Otxandio ;6 ;0,90 
Plentzia ;3 ;0,12 
Portugalete ;45 ;0,18 
Santurtzi ;33 ;0,13 
Sestao ;15 ;0,11 
Sondika ;1 ;0,03 
Sopela ;9 ;0,11 
Sopuerta ;1 ;0,07 
Sukarrieta ;0 ;0 
Trucios-Turtzioz ;0 ;0 
Ubide ;0 ;0 
Ugao-Miraballes ;3 ;0,13 
Urduliz ;7 ;0,23 
Urduña/Orduña ;3 ;0,13 
Valle de Trápaga-Trapagaran ;13 ;0,19 
Zaldibar ;0 ;0 
Zalla ;4 ;0,08 
Zamudio ;4 ;0,22 
Zaratamo ;1 ;0,11 
Zeanuri ;0 ;0 
Zeberio ;0 ;0 
Zierbena ;3 ;0,32 
Ziortza-Bolibar ;0 ;0 
