Municipio; Número de votos; Porcentaje
Abajas ;0 ;0 
Adrada de Haza ;1 ;0,75 
Aguas Cándidas ;0 ;0 
Aguilar de Bureba ;0 ;0 
Albillos ;0 ;0 
Alcocero de Mola ;0 ;0 
Alfoz de Bricia ;1 ;2,04 
Alfoz de Quintanadueñas ;4 ;0,34 
Alfoz de Santa Gadea ;0 ;0 
Altable ;0 ;0 
Ameyugo ;0 ;0 
Anguix ;0 ;0 
Aranda de Duero ;45 ;0,26 
Arandilla ;0 ;0 
Arauzo de Miel ;1 ;0,58 
Arauzo de Salce ;1 ;3,44 
Arauzo de Torre ;0 ;0 
Arcos ;1 ;0,10 
Arenillas de Riopisuerga ;0 ;0 
Arija ;0 ;0 
Arlanzón ;1 ;0,33 
Arraya de Oca ;0 ;0 
Atapuerca ;0 ;0 
Avellanosa de Muñó ;0 ;0 
Bahabón de Esgueva ;0 ;0 
Baños de Valdearados ;0 ;0 
Bañuelos de Bureba ;0 ;0 
Barbadillo de Herreros ;0 ;0 
Barbadillo del Mercado ;0 ;0 
Barbadillo del Pez ;0 ;0 
Barrio de Muñó ;0 ;0 
Barrios de Colina ;0 ;0 
Basconcillos del Tozo ;0 ;0 
Bascuñana ;0 ;0 
Belbimbre ;0 ;0 
Belorado ;1 ;0,10 
Berberana ;0 ;0 
Berlangas de Roa ;0 ;0 
Berzosa de Bureba ;0 ;0 
Bozoó ;0 ;0 
Brazacorta ;0 ;0 
Briviesca ;13 ;0,39 
Bugedo ;0 ;0 
Buniel ;3 ;0,93 
Burgos ;217 ;0,22 
Busto de Bureba ;2 ;1,75 
Cabañes de Esgueva ;0 ;0 
Cabezón de la Sierra ;0 ;0 
Caleruega ;0 ;0 
Campillo de Aranda ;0 ;0 
Campolara ;0 ;0 
Canicosa de la Sierra ;1 ;0,37 
Cantabrana ;0 ;0 
Carazo ;0 ;0 
Carcedo de Bureba ;0 ;0 
Carcedo de Burgos ;1 ;0,32 
Cardeñadijo ;1 ;0,12 
Cardeñajimeno ;2 ;0,29 
Cardeñuela Riopico ;0 ;0 
Carrias ;0 ;0 
Cascajares de Bureba ;0 ;0 
Cascajares de la Sierra ;0 ;0 
Castellanos de Castro ;0 ;0 
Castil de Peones ;0 ;0 
Castildelgado ;0 ;0 
Castrillo de la Reina ;0 ;0 
Castrillo de la Vega ;1 ;0,31 
Castrillo de Riopisuerga ;0 ;0 
Castrillo del Val ;1 ;0,19 
Castrillo Mota de Judíos ;0 ;0 
Castrojeriz ;1 ;0,20 
Cavia ;0 ;0 
Cayuela ;1 ;0,82 
Cebrecos ;0 ;0 
Celada del Camino ;0 ;0 
Cerezo de Río Tirón ;1 ;0,31 
Cerratón de Juarros ;1 ;2,63 
Ciadoncha ;0 ;0 
Cillaperlata ;0 ;0 
Cilleruelo de Abajo ;0 ;0 
Cilleruelo de Arriba ;0 ;0 
Ciruelos de Cervera ;0 ;0 
Cogollos ;1 ;0,29 
Condado de Treviño ;2 ;0,30 
Contreras ;0 ;0 
Coruña del Conde ;0 ;0 
Covarrubias ;0 ;0 
Cubillo del Campo ;2 ;3,33 
Cubo de Bureba ;1 ;1,75 
Cuevas de San Clemente ;0 ;0 
Encío ;0 ;0 
Espinosa de Cervera ;0 ;0 
Espinosa de los Monteros ;2 ;0,20 
Espinosa del Camino ;0 ;0 
Estépar ;0 ;0 
Fontioso ;0 ;0 
Frandovínez ;0 ;0 
Fresneda de la Sierra Tirón ;1 ;1,40 
Fresneña ;0 ;0 
Fresnillo de las Dueñas ;0 ;0 
Fresno de Río Tirón ;0 ;0 
Fresno de Rodilla ;0 ;0 
Frías ;0 ;0 
Fuentebureba ;0 ;0 
Fuentecén ;0 ;0 
Fuentelcésped ;0 ;0 
Fuentelisendo ;0 ;0 
Fuentemolinos ;0 ;0 
Fuentenebro ;0 ;0 
Fuentespina ;0 ;0 
Galbarros ;0 ;0 
Grijalba ;1 ;1,53 
Grisaleña ;0 ;0 
Gumiel de Izán ;0 ;0 
Gumiel de Mercado ;0 ;0 
Hacinas ;0 ;0 
Haza ;0 ;0 
Hontanas ;2 ;4,76 
Hontangas ;0 ;0 
Hontoria de la Cantera ;1 ;0,91 
Hontoria de Valdearados ;1 ;0,91 
Hontoria del Pinar ;1 ;0,23 
Hornillos del Camino ;0 ;0 
Hortigüela ;1 ;1,21 
Hoyales de Roa ;0 ;0 
Huérmeces ;0 ;0 
Huerta de Arriba ;1 ;0,95 
Huerta de Rey ;3 ;0,56 
Humada ;0 ;0 
Hurones ;0 ;0 
Ibeas de Juarros ;1 ;0,12 
Ibrillos ;0 ;0 
Iglesiarrubia ;1 ;2,56 
Iglesias ;0 ;0 
Isar ;0 ;0 
Itero del Castillo ;0 ;0 
Jaramillo de la Fuente ;1 ;2,63 
Jaramillo Quemado ;0 ;0 
Junta de Traslaloma ;0 ;0 
Junta de Villalba de Losa ;1 ;1,58 
Jurisdicción de Lara ;0 ;0 
Jurisdicción de San Zadornil ;1 ;2,08 
La Cueva de Roa ;0 ;0 
La Gallega ;0 ;0 
La Horra ;0 ;0 
La Puebla de Arganzón ;1 ;0,36 
La Revilla y Ahedo ;1 ;1,36 
La Sequera de Haza ;0 ;0 
La Vid de Bureba ;0 ;0 
La Vid y Barrios ;1 ;0,53 
Las Hormazas ;1 ;1,29 
Las Quintanillas ;2 ;0,78 
Lerma ;1 ;0,07 
Llano de Bureba ;0 ;0 
Los Altos ;0 ;0 
Los Ausines ;0 ;0 
Los Balbases ;0 ;0 
Los Barrios de Bureba ;0 ;0 
Madrigal del Monte ;0 ;0 
Madrigalejo del Monte ;2 ;1,92 
Mahamud ;1 ;1,11 
Mambrilla de Castrejón ;0 ;0 
Mambrillas de Lara ;1 ;2,43 
Mamolar ;0 ;0 
Manciles ;0 ;0 
Mazuela ;0 ;0 
Mecerreyes ;0 ;0 
Medina de Pomar ;3 ;0,09 
Melgar de Fernamental ;4 ;0,43 
Merindad de Cuesta-Urria ;0 ;0 
Merindad de Montija ;3 ;0,67 
Merindad de Río Ubierna ;8 ;0,87 
Merindad de Sotoscueva ;0 ;0 
Merindad de Valdeporres ;0 ;0 
Merindad de Valdivielso ;0 ;0 
Milagros ;0 ;0 
Miranda de Ebro ;45 ;0,25 
Miraveche ;1 ;1,44 
Modúbar de la Emparedada ;1 ;0,24 
Monasterio de la Sierra ;0 ;0 
Monasterio de Rodilla ;0 ;0 
Moncalvillo ;0 ;0 
Monterrubio de la Demanda ;0 ;0 
Montorio ;1 ;1,06 
Moradillo de Roa ;0 ;0 
Nava de Roa ;0 ;0 
Navas de Bureba ;0 ;0 
Nebreda ;0 ;0 
Neila ;0 ;0 
Olmedillo de Roa ;0 ;0 
Olmillos de Muñó ;0 ;0 
Oña ;1 ;0,19 
Oquillas ;0 ;0 
Orbaneja Riopico ;1 ;0,56 
Padilla de Abajo ;0 ;0 
Padilla de Arriba ;0 ;0 
Padrones de Bureba ;0 ;0 
Palacios de la Sierra ;0 ;0 
Palacios de Riopisuerga ;1 ;6,66 
Palazuelos de la Sierra ;0 ;0 
Palazuelos de Muñó ;0 ;0 
Pampliega ;2 ;0,90 
Pancorbo ;0 ;0 
Pardilla ;0 ;0 
Partido de la Sierra en Tobalina ;0 ;0 
Pedrosa de Duero ;2 ;0,88 
Pedrosa de Río Úrbel ;0 ;0 
Pedrosa del Páramo ;0 ;0 
Pedrosa del Príncipe ;1 ;0,74 
Peñaranda de Duero ;2 ;0,66 
Peral de Arlanza ;0 ;0 
Piérnigas ;0 ;0 
Pineda de la Sierra ;0 ;0 
Pineda Trasmonte ;0 ;0 
Pinilla de los Barruecos ;0 ;0 
Pinilla de los Moros ;0 ;0 
Pinilla Trasmonte ;1 ;0,97 
Poza de la Sal ;0 ;0 
Prádanos de Bureba ;1 ;2,32 
Pradoluengo ;5 ;0,66 
Presencio ;0 ;0 
Puentedura ;0 ;0 
Quemada ;0 ;0 
Quintana del Pidio ;0 ;0 
Quintanabureba ;0 ;0 
Quintanaélez ;0 ;0 
Quintanaortuño ;0 ;0 
Quintanapalla ;0 ;0 
Quintanar de la Sierra ;1 ;0,10 
Quintanavides ;0 ;0 
Quintanilla de la Mata ;1 ;1,31 
Quintanilla del Agua y Tordueles ;1 ;0,46 
Quintanilla del Coco ;0 ;0 
Quintanilla San García ;0 ;0 
Quintanilla Vivar ;0 ;0 
Rabanera del Pinar ;1 ;1,29 
Rábanos ;0 ;0 
Rabé de las Calzadas ;1 ;0,62 
Rebolledo de la Torre ;0 ;0 
Redecilla del Camino ;0 ;0 
Redecilla del Campo ;0 ;0 
Regumiel de la Sierra ;0 ;0 
Reinoso ;0 ;0 
Retuerta ;0 ;0 
Revilla del Campo ;0 ;0 
Revilla Vallejera ;0 ;0 
Revillarruz ;1 ;0,32 
Rezmondo ;0 ;0 
Riocavado de la Sierra ;0 ;0 
Roa ;0 ;0 
Rojas ;0 ;0 
Royuela de Río Franco ;0 ;0 
Rubena ;0 ;0 
Rublacedo de Abajo ;0 ;0 
Rucandio ;0 ;0 
Salas de Bureba ;0 ;0 
Salas de los Infantes ;3 ;0,28 
Saldaña de Burgos ;0 ;0 
Salinillas de Bureba ;0 ;0 
San Adrián de Juarros ;1 ;1,51 
San Juan del Monte ;0 ;0 
San Mamés de Burgos ;0 ;0 
San Martín de Rubiales ;0 ;0 
San Millán de Lara ;0 ;0 
San Vicente del Valle ;0 ;0 
Santa Cecilia ;0 ;0 
Santa Cruz de la Salceda ;0 ;0 
Santa Cruz del Valle Urbión ;0 ;0 
Santa Gadea del Cid ;0 ;0 
Santa Inés ;0 ;0 
Santa María del Campo ;0 ;0 
Santa María del Invierno ;0 ;0 
Santa María del Mercadillo ;0 ;0 
Santa María Rivarredonda ;0 ;0 
Santa Olalla de Bureba ;0 ;0 
Santibáñez de Esgueva ;0 ;0 
Santibáñez del Val ;0 ;0 
Santo Domingo de Silos ;0 ;0 
Sargentes de la Lora ;2 ;2,02 
Sarracín ;0 ;0 
Sasamón ;2 ;0,29 
Solarana ;0 ;0 
Sordillos ;0 ;0 
Sotillo de la Ribera ;3 ;1,06 
Sotragero ;0 ;0 
Sotresgudo ;0 ;0 
Susinos del Páramo ;0 ;0 
Tamarón ;0 ;0 
Tardajos ;1 ;0,21 
Tejada ;0 ;0 
Terradillos de Esgueva ;0 ;0 
Tinieblas de la Sierra ;0 ;0 
Tobar ;0 ;0 
Tordómar ;0 ;0 
Torrecilla del Monte ;0 ;0 
Torregalindo ;0 ;0 
Torrelara ;0 ;0 
Torrepadre ;0 ;0 
Torresandino ;1 ;0,22 
Tórtoles de Esgueva ;0 ;0 
Tosantos ;1 ;2,63 
Trespaderne ;0 ;0 
Tubilla del Agua ;0 ;0 
Tubilla del Lago ;0 ;0 
Úrbel del Castillo ;0 ;0 
Vadocondes ;0 ;0 
Valdeande ;0 ;0 
Valdezate ;2 ;2,32 
Valdorros ;1 ;0,50 
Vallarta de Bureba ;1 ;2,70 
Valle de las Navas ;1 ;0,26 
Valle de Losa ;0 ;0 
Valle de Manzanedo ;2 ;2,46 
Valle de Mena ;2 ;0,09 
Valle de Oca ;2 ;1,81 
Valle de Santibáñez ;3 ;0,86 
Valle de Sedano ;2 ;0,66 
Valle de Tobalina ;1 ;0,19 
Valle de Valdebezana ;0 ;0 
Valle de Valdelaguna ;0 ;0 
Valle de Valdelucio ;2 ;0,98 
Valle de Zamanzas ;0 ;0 
Vallejera ;0 ;0 
Valles de Palenzuela ;0 ;0 
Valluércanes ;0 ;0 
Valmala ;0 ;0 
Vileña ;0 ;0 
Villadiego ;2 ;0,21 
Villaescusa de Roa ;0 ;0 
Villaescusa la Sombría ;0 ;0 
Villaespasa ;0 ;0 
Villafranca Montes de Oca ;0 ;0 
Villafruela ;0 ;0 
Villagalijo ;0 ;0 
Villagonzalo Pedernales ;3 ;0,30 
Villahoz ;0 ;0 
Villalba de Duero ;0 ;0 
Villalbilla de Burgos ;6 ;0,74 
Villalbilla de Gumiel ;0 ;0 
Villaldemiro ;0 ;0 
Villalmanzo ;0 ;0 
Villamayor de los Montes ;0 ;0 
Villamayor de Treviño ;0 ;0 
Villambistia ;0 ;0 
Villamedianilla ;0 ;0 
Villamiel de la Sierra ;0 ;0 
Villangómez ;0 ;0 
Villanueva de Argaño ;0 ;0 
Villanueva de Carazo ;0 ;0 
Villanueva de Gumiel ;0 ;0 
Villanueva de Teba ;0 ;0 
Villaquirán de la Puebla ;0 ;0 
Villaquirán de los Infantes ;0 ;0 
Villarcayo de Merindad de Castilla la Vieja ;3 ;0,13 
Villariezo ;0 ;0 
Villasandino ;1 ;0,77 
Villasur de Herreros ;0 ;0 
Villatuelda ;0 ;0 
Villaverde del Monte ;0 ;0 
Villaverde-Mogina ;0 ;0 
Villayerno Morquillas ;0 ;0 
Villazopeque ;0 ;0 
Villegas ;0 ;0 
Villoruebo ;0 ;0 
Viloria de Rioja ;0 ;0 
Vilviestre del Pinar ;1 ;0,30 
Vizcaínos ;0 ;0 
Zael ;0 ;0 
Zarzosa de Río Pisuerga ;1 ;4,16 
Zazuar ;0 ;0 
Zuñeda ;0 ;0 
