Municipio; Número de votos; Porcentaje
Alfoz de Lloredo ;5 ;0,30 
Ampuero ;10 ;0,38 
Anievas ;0 ;0 
Arenas de Iguña ;1 ;0,08 
Argoños ;2 ;0,17 
Arnuero ;3 ;0,21 
Arredondo ;0 ;0 
Bárcena de Cicero ;6 ;0,22 
Bárcena de Pie de Concha ;1 ;0,21 
Bareyo ;2 ;0,15 
Cabezón de la Sal ;16 ;0,31 
Cabezón de Liébana ;2 ;0,52 
Cabuérniga ;1 ;0,15 
Camaleño ;2 ;0,31 
Camargo ;34 ;0,18 
Campoo de Enmedio ;6 ;0,25 
Campoo de Yuso ;0 ;0 
Cartes ;9 ;0,26 
Castañeda ;4 ;0,20 
Castro-Urdiales ;54 ;0,31 
Cieza ;0 ;0 
Cillorigo de Liébana ;0 ;0 
Colindres ;12 ;0,24 
Comillas ;2 ;0,14 
Corvera de Toranzo ;2 ;0,15 
El Astillero ;26 ;0,24 
Entrambasaguas ;6 ;0,18 
Escalante ;1 ;0,19 
Guriezo ;5 ;0,38 
Hazas de Cesto ;2 ;0,19 
Hermandad de Campoo de Suso ;5 ;0,44 
Herrerías ;1 ;0,23 
Lamasón ;0 ;0 
Laredo ;5 ;0,07 
Las Rozas de Valdearroyo ;0 ;0 
Liendo ;0 ;0 
Liérganes ;1 ;0,06 
Limpias ;1 ;0,08 
Los Corrales de Buelna ;3 ;0,04 
Los Tojos ;0 ;0 
Luena ;1 ;0,24 
Marina de Cudeyo ;12 ;0,35 
Mazcuerras ;3 ;0,21 
Medio Cudeyo ;13 ;0,27 
Meruelo ;2 ;0,15 
Miengo ;6 ;0,19 
Miera ;2 ;0,75 
Molledo ;1 ;0,10 
Noja ;0 ;0 
Penagos ;6 ;0,43 
Peñarrubia ;0 ;0 
Pesaguero ;0 ;0 
Pesquera ;0 ;0 
Piélagos ;29 ;0,18 
Polaciones ;0 ;0 
Polanco ;13 ;0,35 
Potes ;1 ;0,13 
Puente Viesgo ;2 ;0,11 
Ramales de la Victoria ;8 ;0,44 
Rasines ;1 ;0,17 
Reinosa ;14 ;0,26 
Reocín ;19 ;0,35 
Ribamontán al Mar ;4 ;0,13 
Ribamontán al Monte ;4 ;0,25 
Rionansa ;1 ;0,14 
Riotuerto ;3 ;0,28 
Ruente ;2 ;0,28 
Ruesga ;0 ;0 
Ruiloba ;2 ;0,40 
San Felices de Buelna ;9 ;0,60 
San Miguel de Aguayo ;0 ;0 
San Pedro del Romeral ;0 ;0 
San Roque de Riomiera ;0 ;0 
San Vicente de la Barquera ;5 ;0,20 
Santa Cruz de Bezana ;22 ;0,26 
Santa María de Cayón ;10 ;0,18 
Santander ;214 ;0,21 
Santillana del Mar ;10 ;0,37 
Santiurde de Reinosa ;1 ;0,66 
Santiurde de Toranzo ;1 ;0,08 
Santoña ;13 ;0,20 
Saro ;0 ;0 
Selaya ;3 ;0,25 
Soba ;1 ;0,15 
Solórzano ;0 ;0 
Suances ;8 ;0,14 
Torrelavega ;73 ;0,24 
Tresviso ;1 ;2,27 
Tudanca ;0 ;0 
Udías ;2 ;0,32 
Val de San Vicente ;2 ;0,11 
Valdáliga ;4 ;0,27 
Valdeolea ;1 ;0,17 
Valdeprado del Río ;0 ;0 
Valderredible ;3 ;0,44 
Valle de Villaverde ;1 ;0,66 
Vega de Liébana ;1 ;0,21 
Vega de Pas ;0 ;0 
Villacarriedo ;2 ;0,18 
Villaescusa ;4 ;0,15 
Villafufre ;1 ;0,15 
Voto ;1 ;0,05 
