Municipio; Número de votos; Porcentaje
Abenójar ;0 ;0 
Agudo ;0 ;0 
Alamillo ;0 ;0 
Albaladejo ;1 ;0,14 
Alcázar de San Juan ;33 ;0,18 
Alcoba ;1 ;0,24 
Alcolea de Calatrava ;4 ;0,44 
Alcubillas ;1 ;0,34 
Aldea del Rey ;0 ;0 
Alhambra ;1 ;0,16 
Almadén ;5 ;0,18 
Almadenejos ;0 ;0 
Almagro ;1 ;0,01 
Almedina ;0 ;0 
Almodóvar del Campo ;4 ;0,10 
Almuradiel ;1 ;0,21 
Anchuras ;0 ;0 
Arenales de San Gregorio ;0 ;0 
Arenas de San Juan ;0 ;0 
Argamasilla de Alba ;6 ;0,16 
Argamasilla de Calatrava ;4 ;0,11 
Arroba de los Montes ;0 ;0 
Ballesteros de Calatrava ;2 ;0,81 
Bolaños de Calatrava ;7 ;0,10 
Brazatortas ;0 ;0 
Cabezarados ;0 ;0 
Cabezarrubias del Puerto ;1 ;0,28 
Calzada de Calatrava ;4 ;0,18 
Campo de Criptana ;12 ;0,15 
Cañada de Calatrava ;0 ;0 
Caracuel de Calatrava ;0 ;0 
Carrión de Calatrava ;1 ;0,04 
Carrizosa ;2 ;0,25 
Castellar de Santiago ;2 ;0,16 
Chillón ;0 ;0 
Ciudad Real ;58 ;0,13 
Corral de Calatrava ;0 ;0 
Cózar ;2 ;0,34 
Daimiel ;23 ;0,22 
El Robledo ;0 ;0 
Fernán Caballero ;1 ;0,15 
Fontanarejo ;0 ;0 
Fuencaliente ;0 ;0 
Fuenllana ;0 ;0 
Fuente el Fresno ;0 ;0 
Granátula de Calatrava ;0 ;0 
Guadalmez ;0 ;0 
Herencia ;7 ;0,15 
Hinojosas de Calatrava ;3 ;0,80 
Horcajo de los Montes ;2 ;0,40 
La Solana ;5 ;0,05 
Las Labores ;0 ;0 
Llanos del Caudillo ;0 ;0 
Los Cortijos ;3 ;0,53 
Los Pozuelos de Calatrava ;0 ;0 
Luciana ;0 ;0 
Malagón ;9 ;0,20 
Manzanares ;17 ;0,16 
Membrilla ;1 ;0,02 
Mestanza ;0 ;0 
Miguelturra ;23 ;0,25 
Montiel ;1 ;0,11 
Moral de Calatrava ;3 ;0,10 
Navalpino ;1 ;0,68 
Navas de Estena ;1 ;0,52 
Pedro Muñoz ;6 ;0,15 
Picón ;0 ;0 
Piedrabuena ;9 ;0,34 
Poblete ;2 ;0,13 
Porzuna ;1 ;0,05 
Pozuelo de Calatrava ;0 ;0 
Puebla de Don Rodrigo ;1 ;0,13 
Puebla del Príncipe ;1 ;0,21 
Puerto Lápice ;0 ;0 
Puertollano ;55 ;0,22 
Retuerta del Bullaque ;0 ;0 
Ruidera ;0 ;0 
Saceruela ;0 ;0 
San Carlos del Valle ;1 ;0,13 
San Lorenzo de Calatrava ;0 ;0 
Santa Cruz de los Cáñamos ;0 ;0 
Santa Cruz de Mudela ;1 ;0,04 
Socuéllamos ;13 ;0,19 
Solana del Pino ;0 ;0 
Terrinches ;0 ;0 
Tomelloso ;35 ;0,19 
Torralba de Calatrava ;4 ;0,23 
Torre de Juan Abad ;0 ;0 
Torrenueva ;3 ;0,16 
Valdemanco del Esteras ;0 ;0 
Valdepeñas ;34 ;0,20 
Valenzuela de Calatrava ;2 ;0,49 
Villahermosa ;1 ;0,08 
Villamanrique ;1 ;0,13 
Villamayor de Calatrava ;0 ;0 
Villanueva de la Fuente ;0 ;0 
Villanueva de los Infantes ;7 ;0,24 
Villanueva de San Carlos ;0 ;0 
Villar del Pozo ;0 ;0 
Villarrubia de los Ojos ;7 ;0,12 
Villarta de San Juan ;1 ;0,05 
Viso del Marqués ;1 ;0,07 
