Municipio; Número de votos; Porcentaje
Abia de la Obispalía ;1 ;2,12 
Alarcón ;0 ;0 
Albaladejo del Cuende ;0 ;0 
Albalate de las Nogueras ;0 ;0 
Albendea ;0 ;0 
Alcalá de la Vega ;1 ;1,72 
Alcantud ;0 ;0 
Alcázar del Rey ;0 ;0 
Alcohujate ;0 ;0 
Alconchel de la Estrella ;0 ;0 
Algarra ;0 ;0 
Aliaguilla ;0 ;0 
Almendros ;0 ;0 
Almodóvar del Pinar ;0 ;0 
Almonacid del Marquesado ;0 ;0 
Altarejos ;0 ;0 
Arandilla del Arroyo ;0 ;0 
Arcas ;1 ;0,08 
Arcos de la Sierra ;0 ;0 
Arguisuelas ;0 ;0 
Arrancacepas ;0 ;0 
Atalaya del Cañavate ;0 ;0 
Barajas de Melo ;2 ;0,35 
Barchín del Hoyo ;1 ;1,14 
Bascuñana de San Pedro ;0 ;0 
Beamud ;0 ;0 
Belinchón ;2 ;0,77 
Belmonte ;0 ;0 
Belmontejo ;0 ;0 
Beteta ;1 ;0,53 
Boniches ;0 ;0 
Buciegas ;0 ;0 
Buenache de Alarcón ;0 ;0 
Buenache de la Sierra ;0 ;0 
Buendía ;0 ;0 
Campillo de Altobuey ;1 ;0,12 
Campillos-Paravientos ;0 ;0 
Campillos-Sierra ;0 ;0 
Campos del Paraíso ;0 ;0 
Cañada del Hoyo ;0 ;0 
Cañada Juncosa ;0 ;0 
Canalejas del Arroyo ;0 ;0 
Cañamares ;0 ;0 
Cañaveras ;1 ;0,58 
Cañaveruelas ;0 ;0 
Cañete ;1 ;0,23 
Cañizares ;0 ;0 
Carboneras de Guadazaón ;0 ;0 
Cardenete ;0 ;0 
Carrascosa ;0 ;0 
Carrascosa de Haro ;0 ;0 
Casas de Benítez ;0 ;0 
Casas de Fernando Alonso ;1 ;0,14 
Casas de Garcimolina ;0 ;0 
Casas de Guijarro ;0 ;0 
Casas de Haro ;2 ;0,36 
Casas de los Pinos ;0 ;0 
Casasimarro ;1 ;0,05 
Castejón ;1 ;1,07 
Castillejo de Iniesta ;0 ;0 
Castillejo-Sierra ;0 ;0 
Castillo de Garcimuñoz ;0 ;0 
Castillo-Albaráñez ;0 ;0 
Cervera del Llano ;0 ;0 
Chillarón de Cuenca ;1 ;0,23 
Chumillas ;0 ;0 
Cuenca ;77 ;0,26 
Cueva del Hierro ;0 ;0 
El Acebrón ;0 ;0 
El Cañavate ;0 ;0 
El Herrumblar ;0 ;0 
El Hito ;1 ;0,82 
El Pedernoso ;2 ;0,27 
El Peral ;0 ;0 
El Picazo ;0 ;0 
El Pozuelo ;0 ;0 
El Provencio ;0 ;0 
El Valle de Altomira ;0 ;0 
Enguídanos ;2 ;1,01 
Fresneda de Altarejos ;0 ;0 
Fresneda de la Sierra ;0 ;0 
Fuente de Pedro Naharro ;1 ;0,13 
Fuentelespino de Haro ;0 ;0 
Fuentelespino de Moya ;0 ;0 
Fuentenava de Jábaga ;2 ;0,51 
Fuentes ;0 ;0 
Fuertescusa ;0 ;0 
Gabaldón ;0 ;0 
Garaballa ;0 ;0 
Gascueña ;1 ;1,14 
Graja de Campalbo ;0 ;0 
Graja de Iniesta ;0 ;0 
Henarejos ;1 ;0,91 
Honrubia ;1 ;0,11 
Hontanaya ;0 ;0 
Hontecillas ;0 ;0 
Horcajo de Santiago ;4 ;0,19 
Huélamo ;0 ;0 
Huelves ;0 ;0 
Huérguina ;0 ;0 
Huerta de la Obispalía ;9 ;11,39 
Huerta del Marquesado ;0 ;0 
Huete ;2 ;0,19 
Iniesta ;1 ;0,04 
La Alberca de Záncara ;0 ;0 
La Almarcha ;1 ;0,35 
La Cierva ;0 ;0 
La Frontera ;1 ;1,02 
La Hinojosa ;0 ;0 
La Parra de las Vegas ;0 ;0 
La Peraleja ;0 ;0 
La Pesquera ;0 ;0 
Laguna del Marquesado ;0 ;0 
Lagunaseca ;0 ;0 
Landete ;0 ;0 
Las Majadas ;0 ;0 
Las Mesas ;0 ;0 
Las Pedroñeras ;5 ;0,14 
Las Valeras ;1 ;0,11 
Ledaña ;0 ;0 
Leganiel ;0 ;0 
Los Hinojosos ;0 ;0 
Los Valdecolmenas ;0 ;0 
Mariana ;0 ;0 
Masegosa ;0 ;0 
Minglanilla ;3 ;0,25 
Mira ;3 ;0,50 
Monreal del Llano ;0 ;0 
Montalbanejo ;0 ;0 
Montalbo ;1 ;0,23 
Monteagudo de las Salinas ;0 ;0 
Mota de Altarejos ;0 ;0 
Mota del Cuervo ;5 ;0,14 
Motilla del Palancar ;3 ;0,09 
Moya ;0 ;0 
Narboneta ;0 ;0 
Olivares de Júcar ;1 ;0,45 
Olmeda de la Cuesta ;0 ;0 
Olmeda del Rey ;0 ;0 
Olmedilla de Alarcón ;0 ;0 
Olmedilla de Eliz ;0 ;0 
Osa de la Vega ;0 ;0 
Pajarón ;0 ;0 
Pajaroncillo ;0 ;0 
Palomares del Campo ;0 ;0 
Palomera ;1 ;0,75 
Paracuellos ;0 ;0 
Paredes ;2 ;3,50 
Pinarejo ;0 ;0 
Pineda de Gigüela ;0 ;0 
Piqueras del Castillo ;0 ;0 
Portalrubio de Guadamejud ;0 ;0 
Portilla ;0 ;0 
Poyatos ;0 ;0 
Pozoamargo ;0 ;0 
Pozorrubielos de la Mancha ;1 ;0,78 
Pozorrubio de Santiago ;0 ;0 
Priego ;7 ;1,51 
Puebla de Almenara ;0 ;0 
Puebla del Salvador ;0 ;0 
Quintanar del Rey ;5 ;0,12 
Rada de Haro ;0 ;0 
Reíllo ;0 ;0 
Rozalén del Monte ;0 ;0 
Saceda-Trasierra ;0 ;0 
Saelices ;1 ;0,31 
Salinas del Manzano ;0 ;0 
Salmeroncillos ;0 ;0 
Salvacañete ;0 ;0 
San Clemente ;3 ;0,07 
San Lorenzo de la Parrilla ;1 ;0,15 
San Martín de Boniches ;0 ;0 
San Pedro Palmiches ;0 ;0 
Santa Cruz de Moya ;0 ;0 
Santa María de los Llanos ;0 ;0 
Santa María del Campo Rus ;0 ;0 
Santa María del Val ;0 ;0 
Sisante ;2 ;0,19 
Solera de Gabaldón ;0 ;0 
Sotorribas ;1 ;0,20 
Talayuelas ;0 ;0 
Tarancón ;24 ;0,33 
Tébar ;1 ;0,50 
Tejadillos ;0 ;0 
Tinajas ;0 ;0 
Torralba ;0 ;0 
Torrejoncillo del Rey ;0 ;0 
Torrubia del Campo ;0 ;0 
Torrubia del Castillo ;0 ;0 
Tragacete ;1 ;0,55 
Tresjuncos ;0 ;0 
Tribaldos ;0 ;0 
Uclés ;0 ;0 
Uña ;1 ;1,29 
Valdemeca ;0 ;0 
Valdemorillo de la Sierra ;0 ;0 
Valdemoro-Sierra ;0 ;0 
Valdeolivas ;0 ;0 
Valdetórtola ;0 ;0 
Valhermoso de la Fuente ;0 ;0 
Valsalobre ;0 ;0 
Valverde de Júcar ;0 ;0 
Valverdejo ;0 ;0 
Vara de Rey ;0 ;0 
Vega del Codorno ;0 ;0 
Vellisca ;0 ;0 
Villaconejos de Trabaque ;1 ;0,40 
Villaescusa de Haro ;0 ;0 
Villagarcía del Llano ;0 ;0 
Villalba de la Sierra ;0 ;0 
Villalba del Rey ;0 ;0 
Villalgordo del Marquesado ;0 ;0 
Villalpardo ;0 ;0 
Villamayor de Santiago ;3 ;0,20 
Villanueva de Guadamejud ;0 ;0 
Villanueva de la Jara ;0 ;0 
Villar de Cañas ;0 ;0 
Villar de Domingo García ;0 ;0 
Villar de la Encina ;1 ;0,97 
Villar de Olalla ;3 ;0,37 
Villar del Humo ;0 ;0 
Villar del Infantado ;0 ;0 
Villar y Velasco ;0 ;0 
Villarejo de Fuentes ;0 ;0 
Villarejo de la Peñuela ;0 ;0 
Villarejo-Periesteban ;0 ;0 
Villares del Saz ;1 ;0,33 
Villarrubio ;0 ;0 
Villarta ;0 ;0 
Villas de la Ventosa ;0 ;0 
Villaverde y Pasaconsol ;1 ;0,46 
Víllora ;0 ;0 
Vindel ;0 ;0 
Yémeda ;0 ;0 
Zafra de Záncara ;0 ;0 
Zafrilla ;0 ;0 
Zarza de Tajo ;0 ;0 
Zarzuela ;0 ;0 
