Municipio; Número de votos; Porcentaje
Abadía ;0 ;0 
Abertura ;0 ;0 
Acebo ;2 ;0,49 
Acehúche ;0 ;0 
Aceituna ;0 ;0 
Ahigal ;2 ;0,21 
Alagón del Río ;2 ;0,34 
Albalá ;0 ;0 
Alcántara ;2 ;0,21 
Alcollarín ;0 ;0 
Alcuéscar ;1 ;0,07 
Aldea del Cano ;0 ;0 
Aldeacentenera ;0 ;0 
Aldeanueva de la Vera ;0 ;0 
Aldeanueva del Camino ;0 ;0 
Aldehuela de Jerte ;0 ;0 
Alía ;0 ;0 
Aliseda ;0 ;0 
Almaraz ;2 ;0,19 
Almoharín ;2 ;0,16 
Arroyo de la Luz ;8 ;0,22 
Arroyomolinos ;1 ;0,16 
Arroyomolinos de la Vera ;0 ;0 
Baños de Montemayor ;1 ;0,20 
Barrado ;1 ;0,33 
Belvís de Monroy ;0 ;0 
Benquerencia ;0 ;0 
Berrocalejo ;0 ;0 
Berzocana ;0 ;0 
Bohonal de Ibor ;0 ;0 
Botija ;0 ;0 
Brozas ;0 ;0 
Cabañas del Castillo ;0 ;0 
Cabezabellosa ;0 ;0 
Cabezuela del Valle ;1 ;0,07 
Cabrero ;0 ;0 
Cáceres ;70 ;0,12 
Cachorrilla ;0 ;0 
Cadalso ;1 ;0,36 
Calzadilla ;1 ;0,31 
Caminomorisco ;1 ;0,12 
Campillo de Deleitosa ;0 ;0 
Campo Lugar ;1 ;0,17 
Cañamero ;6 ;0,59 
Cañaveral ;2 ;0,28 
Carbajo ;1 ;0,77 
Carcaboso ;0 ;0 
Carrascalejo ;0 ;0 
Casar de Cáceres ;7 ;0,23 
Casar de Palomero ;0 ;0 
Casares de las Hurdes ;0 ;0 
Casas de Don Antonio ;0 ;0 
Casas de Don Gómez ;0 ;0 
Casas de Millán ;0 ;0 
Casas de Miravete ;0 ;0 
Casas del Castañar ;1 ;0,24 
Casas del Monte ;0 ;0 
Casatejada ;0 ;0 
Casillas de Coria ;0 ;0 
Castañar de Ibor ;0 ;0 
Ceclavín ;0 ;0 
Cedillo ;0 ;0 
Cerezo ;0 ;0 
Cilleros ;1 ;0,09 
Collado de la Vera ;0 ;0 
Conquista de la Sierra ;0 ;0 
Coria ;9 ;0,12 
Cuacos de Yuste ;2 ;0,38 
Deleitosa ;0 ;0 
Descargamaría ;0 ;0 
El Gordo ;0 ;0 
El Torno ;0 ;0 
Eljas ;0 ;0 
Escurial ;0 ;0 
Fresnedoso de Ibor ;0 ;0 
Galisteo ;0 ;0 
Garciaz ;0 ;0 
Garganta la Olla ;0 ;0 
Gargantilla ;0 ;0 
Gargüera ;0 ;0 
Garrovillas de Alconétar ;2 ;0,15 
Garvín ;0 ;0 
Gata ;1 ;0,12 
Guadalupe ;1 ;0,08 
Guijo de Coria ;0 ;0 
Guijo de Galisteo ;2 ;0,21 
Guijo de Granadilla ;0 ;0 
Guijo de Santa Bárbara ;0 ;0 
Herguijuela ;0 ;0 
Hernán-Pérez ;0 ;0 
Herrera de Alcántara ;0 ;0 
Herreruela ;0 ;0 
Hervás ;4 ;0,17 
Higuera ;0 ;0 
Hinojal ;1 ;0,32 
Holguera ;0 ;0 
Hoyos ;0 ;0 
Huélaga ;0 ;0 
Ibahernando ;1 ;0,26 
Jaraicejo ;0 ;0 
Jaraíz de la Vera ;2 ;0,05 
Jarandilla de la Vera ;0 ;0 
Jarilla ;0 ;0 
Jerte ;1 ;0,12 
La Aldea del Obispo ;0 ;0 
La Cumbre ;2 ;0,34 
La Garganta ;0 ;0 
La Granja ;0 ;0 
La Pesga ;1 ;0,14 
Ladrillar ;1 ;0,74 
Logrosán ;3 ;0,27 
Losar de la Vera ;4 ;0,25 
Madrigal de la Vera ;0 ;0 
Madrigalejo ;1 ;0,09 
Madroñera ;5 ;0,32 
Majadas ;4 ;0,61 
Malpartida de Cáceres ;3 ;0,11 
Malpartida de Plasencia ;4 ;0,14 
Marchagaz ;0 ;0 
Mata de Alcántara ;0 ;0 
Membrío ;1 ;0,23 
Mesas de Ibor ;0 ;0 
Miajadas ;10 ;0,18 
Millanes ;0 ;0 
Mirabel ;0 ;0 
Mohedas de Granadilla ;2 ;0,30 
Monroy ;1 ;0,17 
Montánchez ;1 ;0,10 
Montehermoso ;4 ;0,12 
Moraleja ;4 ;0,10 
Morcillo ;1 ;0,39 
Navaconcejo ;0 ;0 
Navalmoral de la Mata ;10 ;0,11 
Navalvillar de Ibor ;0 ;0 
Navas del Madroño ;1 ;0,11 
Navezuelas ;0 ;0 
Nuñomoral ;1 ;0,11 
Oliva de Plasencia ;0 ;0 
Palomero ;1 ;0,31 
Pasarón de la Vera ;2 ;0,50 
Pedroso de Acim ;0 ;0 
Peraleda de la Mata ;1 ;0,12 
Peraleda de San Román ;0 ;0 
Perales del Puerto ;1 ;0,17 
Pescueza ;0 ;0 
Piedras Albas ;0 ;0 
Pinofranqueado ;2 ;0,19 
Piornal ;4 ;0,42 
Plasencia ;34 ;0,15 
Plasenzuela ;0 ;0 
Portaje ;1 ;0,37 
Portezuelo ;0 ;0 
Pozuelo de Zarzón ;0 ;0 
Pueblonuevo de Miramontes ;0 ;0 
Puerto de Santa Cruz ;1 ;0,52 
Rebollar ;0 ;0 
Riolobos ;0 ;0 
Robledillo de Gata ;1 ;1,29 
Robledillo de la Vera ;1 ;0,58 
Robledillo de Trujillo ;0 ;0 
Robledollano ;0 ;0 
Romangordo ;0 ;0 
Rosalejo ;2 ;0,25 
Ruanes ;0 ;0 
Salorino ;0 ;0 
Salvatierra de Santiago ;0 ;0 
San Martín de Trevejo ;0 ;0 
Santa Ana ;1 ;0,44 
Santa Cruz de la Sierra ;0 ;0 
Santa Cruz de Paniagua ;0 ;0 
Santa Marta de Magasca ;0 ;0 
Santiago de Alcántara ;1 ;0,28 
Santiago del Campo ;3 ;1,59 
Santibáñez el Alto ;0 ;0 
Santibáñez el Bajo ;1 ;0,20 
Saucedilla ;0 ;0 
Segura de Toro ;0 ;0 
Serradilla ;3 ;0,31 
Serrejón ;0 ;0 
Sierra de Fuentes ;5 ;0,37 
Talaván ;0 ;0 
Talaveruela de la Vera ;0 ;0 
Talayuela ;3 ;0,10 
Tejeda de Tiétar ;0 ;0 
Tiétar ;2 ;0,38 
Toril ;0 ;0 
Tornavacas ;1 ;0,14 
Torre de Don Miguel ;1 ;0,35 
Torre de Santa María ;2 ;0,57 
Torrecilla de los Ángeles ;0 ;0 
Torrecillas de la Tiesa ;0 ;0 
Torrejón el Rubio ;0 ;0 
Torrejoncillo ;5 ;0,27 
Torremenga ;2 ;0,50 
Torremocha ;0 ;0 
Torreorgaz ;2 ;0,17 
Torrequemada ;0 ;0 
Trujillo ;6 ;0,11 
Valdastillas ;0 ;0 
Valdecañas de Tajo ;0 ;0 
Valdefuentes ;0 ;0 
Valdehúncar ;0 ;0 
Valdelacasa de Tajo ;0 ;0 
Valdemorales ;0 ;0 
Valdeobispo ;0 ;0 
Valencia de Alcántara ;2 ;0,06 
Valverde de la Vera ;0 ;0 
Valverde del Fresno ;5 ;0,41 
Vegaviana ;0 ;0 
Viandar de la Vera ;0 ;0 
Villa del Campo ;0 ;0 
Villa del Rey ;0 ;0 
Villamesías ;1 ;0,56 
Villamiel ;0 ;0 
Villanueva de la Sierra ;0 ;0 
Villanueva de la Vera ;3 ;0,25 
Villar de Plasencia ;0 ;0 
Villar del Pedroso ;2 ;0,51 
Villasbuenas de Gata ;0 ;0 
Zarza de Granadilla ;0 ;0 
Zarza de Montánchez ;0 ;0 
Zarza la Mayor ;2 ;0,28 
Zorita ;3 ;0,41 
