Municipio; Número de votos; Porcentaje
Alcalá de los Gazules ;3 ;0,10 
Alcalá del Valle ;2 ;0,06 
Algar ;0 ;0 
Algeciras ;83 ;0,15 
Algodonales ;9 ;0,30 
Arcos de la Frontera ;32 ;0,20 
Barbate ;28 ;0,26 
Benalup-Casas Viejas ;4 ;0,10 
Benaocaz ;3 ;0,66 
Bornos ;5 ;0,12 
Cádiz ;126 ;0,18 
Castellar de la Frontera ;1 ;0,06 
Chiclana de la Frontera ;78 ;0,18 
Chipiona ;21 ;0,21 
Conil de la Frontera ;20 ;0,17 
El Bosque ;2 ;0,17 
El Gastor ;0 ;0 
El Puerto de Santa María ;91 ;0,19 
Espera ;1 ;0,04 
Grazalema ;2 ;0,15 
Jerez de la Frontera ;226 ;0,20 
Jimena de la Frontera ;5 ;0,15 
La Línea de la Concepción ;62 ;0,25 
Los Barrios ;16 ;0,13 
Medina Sidonia ;5 ;0,07 
Olvera ;9 ;0,20 
Paterna de Rivera ;8 ;0,26 
Prado del Rey ;11 ;0,32 
Puerto Real ;54 ;0,23 
Puerto Serrano ;4 ;0,14 
Rota ;29 ;0,18 
San Fernando ;108 ;0,21 
San José del Valle ;2 ;0,08 
San Martín del Tesorillo ;3 ;0,26 
San Roque ;26 ;0,18 
Sanlúcar de Barrameda ;60 ;0,18 
Setenil de las Bodegas ;2 ;0,13 
Tarifa ;22 ;0,25 
Torre Alháquime ;0 ;0 
Trebujena ;7 ;0,16 
Ubrique ;20 ;0,20 
Vejer de la Frontera ;7 ;0,10 
Villaluenga del Rosario ;2 ;0,60 
Villamartín ;7 ;0,10 
Zahara ;3 ;0,37 
