Municipio; Número de votos; Porcentaje
Adamuz ;2 ;0,08 
Aguilar de la Frontera ;17 ;0,22 
Alcaracejos ;1 ;0,10 
Almedinilla ;0 ;0 
Almodóvar del Río ;7 ;0,17 
Añora ;0 ;0 
Baena ;9 ;0,08 
Belalcázar ;1 ;0,05 
Belmez ;4 ;0,23 
Benamejí ;2 ;0,07 
Bujalance ;5 ;0,11 
Cabra ;24 ;0,20 
Cañete de las Torres ;3 ;0,15 
Carcabuey ;3 ;0,20 
Cardeña ;2 ;0,21 
Castro del Río ;4 ;0,08 
Conquista ;0 ;0 
Córdoba ;306 ;0,16 
Doña Mencía ;6 ;0,20 
Dos Torres ;1 ;0,06 
El Carpio ;6 ;0,22 
El Guijo ;1 ;0,45 
El Viso ;1 ;0,05 
Encinas Reales ;2 ;0,13 
Espejo ;2 ;0,08 
Espiel ;1 ;0,07 
Fernán-Núñez ;9 ;0,15 
Fuente Carreteros ;0 ;0 
Fuente la Lancha ;1 ;0,39 
Fuente Obejuna ;1 ;0,03 
Fuente Palmera ;5 ;0,08 
Fuente-Tójar ;1 ;0,21 
Guadalcázar ;2 ;0,23 
Hinojosa del Duque ;7 ;0,16 
Hornachuelos ;7 ;0,27 
Iznájar ;3 ;0,13 
La Carlota ;13 ;0,15 
La Granjuela ;0 ;0 
La Guijarrosa ;1 ;0,12 
La Rambla ;7 ;0,14 
La Victoria ;1 ;0,07 
Los Blázquez ;0 ;0 
Lucena ;26 ;0,11 
Luque ;5 ;0,27 
Montalbán de Córdoba ;7 ;0,24 
Montemayor ;2 ;0,09 
Montilla ;41 ;0,29 
Montoro ;4 ;0,07 
Monturque ;2 ;0,16 
Moriles ;4 ;0,17 
Nueva Carteya ;9 ;0,28 
Obejo ;3 ;0,24 
Palenciana ;4 ;0,45 
Palma del Río ;21 ;0,18 
Pedro Abad ;0 ;0 
Pedroche ;3 ;0,30 
Peñarroya-Pueblonuevo ;6 ;0,10 
Posadas ;3 ;0,07 
Pozoblanco ;9 ;0,08 
Priego de Córdoba ;13 ;0,10 
Puente Genil ;30 ;0,19 
Rute ;7 ;0,12 
San Sebastián de los Ballesteros ;0 ;0 
Santa Eufemia ;2 ;0,38 
Santaella ;6 ;0,22 
Torrecampo ;0 ;0 
Valenzuela ;0 ;0 
Valsequillo ;0 ;0 
Villa del Río ;6 ;0,14 
Villafranca de Córdoba ;4 ;0,14 
Villaharta ;2 ;0,51 
Villanueva de Córdoba ;2 ;0,04 
Villanueva del Duque ;1 ;0,11 
Villanueva del Rey ;0 ;0 
Villaralto ;1 ;0,13 
Villaviciosa de Córdoba ;0 ;0 
Zuheros ;1 ;0,25 
