Municipio; Número de votos; Porcentaje
Abaltzisketa ;0 ;0 
Aduna ;0 ;0 
Aia ;1 ;0,10 
Aizarnazabal ;0 ;0 
Albiztur ;0 ;0 
Alegia ;0 ;0 
Alkiza ;0 ;0 
Altzaga ;0 ;0 
Altzo ;0 ;0 
Amezketa ;0 ;0 
Andoain ;14 ;0,19 
Anoeta ;0 ;0 
Antzuola ;0 ;0 
Arama ;0 ;0 
Aretxabaleta ;3 ;0,07 
Arrasate/Mondragón ;16 ;0,14 
Asteasu ;0 ;0 
Astigarraga ;10 ;0,26 
Ataun ;0 ;0 
Azkoitia ;9 ;0,16 
Azpeitia ;10 ;0,14 
Baliarrain ;0 ;0 
Beasain ;5 ;0,08 
Beizama ;0 ;0 
Belauntza ;0 ;0 
Berastegi ;0 ;0 
Bergara ;14 ;0,17 
Berrobi ;0 ;0 
Bidania-Goiatz ;0 ;0 
Deba ;2 ;0,06 
Donostia/San Sebastián ;134 ;0,13 
Eibar ;22 ;0,15 
Elduain ;2 ;1,94 
Elgeta ;1 ;0,16 
Elgoibar ;8 ;0,13 
Errenteria ;38 ;0,19 
Errezil ;0 ;0 
Eskoriatza ;3 ;0,14 
Ezkio-Itsaso ;0 ;0 
Gabiria ;0 ;0 
Gaintza ;0 ;0 
Gaztelu ;0 ;0 
Getaria ;1 ;0,06 
Hernani ;11 ;0,10 
Hernialde ;0 ;0 
Hondarribia ;17 ;0,18 
Ibarra ;2 ;0,10 
Idiazabal ;0 ;0 
Ikaztegieta ;0 ;0 
Irun ;62 ;0,20 
Irura ;1 ;0,13 
Itsasondo ;1 ;0,34 
Larraul ;0 ;0 
Lasarte-Oria ;17 ;0,18 
Lazkao ;1 ;0,03 
Leaburu ;0 ;0 
Legazpi ;1 ;0,02 
Legorreta ;0 ;0 
Leintz-Gatzaga ;0 ;0 
Lezo ;5 ;0,15 
Lizartza ;0 ;0 
Mendaro ;2 ;0,21 
Mutiloa ;0 ;0 
Mutriku ;3 ;0,11 
Oiartzun ;3 ;0,05 
Olaberria ;0 ;0 
Oñati ;2 ;0,03 
Ordizia ;7 ;0,14 
Orendain ;0 ;0 
Orexa ;0 ;0 
Orio ;6 ;0,19 
Ormaiztegi ;5 ;0,81 
Pasaia ;18 ;0,23 
Segura ;0 ;0 
Soraluze - Placencia de las Armas ;2 ;0,10 
Tolosa ;10 ;0,10 
Urnieta ;6 ;0,19 
Urretxu ;1 ;0,02 
Usurbil ;3 ;0,09 
Villabona ;3 ;0,10 
Zaldibia ;1 ;0,12 
Zarautz ;10 ;0,07 
Zegama ;1 ;0,12 
Zerain ;0 ;0 
Zestoa ;2 ;0,11 
Zizurkil ;0 ;0 
Zumaia ;8 ;0,15 
Zumarraga ;6 ;0,12 
