Municipio; Número de votos; Porcentaje
Agullana ;0 ;0 
Aiguaviva ;0 ;0 
Albanyà ;1 ;1,49 
Albons ;0 ;0 
Alp ;1 ;0,12 
Amer ;2 ;0,17 
Anglès ;3 ;0,14 
Arbúcies ;3 ;0,11 
Argelaguer ;0 ;0 
Avinyonet de Puigventós ;0 ;0 
Banyoles ;6 ;0,07 
Bàscara ;0 ;0 
Begur ;4 ;0,20 
Bellcaire d'Empordà ;0 ;0 
Besalú ;2 ;0,16 
Bescanó ;1 ;0,04 
Beuda ;0 ;0 
Biure ;2 ;1,50 
Blanes ;44 ;0,24 
Boadella i les Escaules ;0 ;0 
Bolvir ;0 ;0 
Bordils ;0 ;0 
Borrassà ;0 ;0 
Breda ;1 ;0,05 
Brunyola i Sant Martí Sapresa ;1 ;0,48 
Cabanelles ;1 ;0,97 
Cabanes ;0 ;0 
Cadaqués ;1 ;0,09 
Caldes de Malavella ;9 ;0,25 
Calonge i Sant Antoni ;5 ;0,10 
Camós ;0 ;0 
Campdevànol ;11 ;0,66 
Campelles ;0 ;0 
Campllong ;0 ;0 
Camprodon ;1 ;0,08 
Canet d'Adri ;0 ;0 
Cantallops ;0 ;0 
Capmany ;2 ;0,69 
Cassà de la Selva ;4 ;0,08 
Castell-Platja d'Aro ;6 ;0,14 
Castellfollit de la Roca ;0 ;0 
Castelló d'Empúries ;3 ;0,10 
Celrà ;3 ;0,13 
Cervià de Ter ;0 ;0 
Cistella ;0 ;0 
Colera ;0 ;0 
Colomers ;0 ;0 
Corçà ;0 ;0 
Cornellà del Terri ;4 ;0,35 
Crespià ;0 ;0 
Cruïlles, Monells i Sant Sadurní de l'Heura ;2 ;0,31 
Darnius ;2 ;0,75 
Das ;1 ;0,71 
El Far d'Empordà ;0 ;0 
El Port de la Selva ;0 ;0 
Espinelves ;1 ;0,70 
Espolla ;0 ;0 
Esponellà ;0 ;0 
Figueres ;34 ;0,22 
Flaçà ;2 ;0,42 
Foixà ;0 ;0 
Fontanals de Cerdanya ;0 ;0 
Fontanilles ;0 ;0 
Fontcoberta ;1 ;0,12 
Forallac ;3 ;0,34 
Fornells de la Selva ;0 ;0 
Fortià ;0 ;0 
Garrigàs ;1 ;0,38 
Garrigoles ;2 ;1,96 
Garriguella ;0 ;0 
Ger ;1 ;0,39 
Girona ;61 ;0,14 
Gombrèn ;0 ;0 
Gualta ;0 ;0 
Guils de Cerdanya ;1 ;0,33 
Hostalric ;6 ;0,30 
Isòvol ;0 ;0 
Jafre ;0 ;0 
Juià ;0 ;0 
L'Armentera ;0 ;0 
L'Escala ;4 ;0,11 
La Bisbal d'Empordà ;9 ;0,20 
La Cellera de Ter ;0 ;0 
La Jonquera ;4 ;0,39 
La Pera ;0 ;0 
La Selva de Mar ;0 ;0 
La Tallada d'Empordà ;0 ;0 
La Vajol ;0 ;0 
La Vall d'en Bas ;1 ;0,05 
La Vall de Bianya ;0 ;0 
Les Llosses ;0 ;0 
Les Planes d'Hostoles ;0 ;0 
Les Preses ;3 ;0,31 
Lladó ;0 ;0 
Llagostera ;4 ;0,10 
Llambilles ;0 ;0 
Llanars ;1 ;0,42 
Llançà ;2 ;0,08 
Llers ;1 ;0,16 
Llívia ;0 ;0 
Lloret de Mar ;29 ;0,24 
Maçanet de Cabrenys ;1 ;0,26 
Maçanet de la Selva ;13 ;0,40 
Madremanya ;0 ;0 
Maià de Montcal ;0 ;0 
Masarac ;2 ;1,51 
Massanes ;2 ;0,54 
Meranges ;0 ;0 
Mieres ;1 ;0,66 
Mollet de Peralada ;0 ;0 
Molló ;0 ;0 
Mont-ras ;0 ;0 
Montagut i Oix ;6 ;1,28 
Navata ;0 ;0 
Ogassa ;0 ;0 
Olot ;12 ;0,08 
Ordis ;0 ;0 
Osor ;1 ;0,43 
Palafrugell ;27 ;0,30 
Palamós ;11 ;0,13 
Palau de Santa Eulàlia ;0 ;0 
Palau-sator ;0 ;0 
Palau-saverdera ;0 ;0 
Palol de Revardit ;0 ;0 
Pals ;2 ;0,18 
Pardines ;0 ;0 
Parlavà ;0 ;0 
Pau ;0 ;0 
Pedret i Marzà ;0 ;0 
Peralada ;1 ;0,09 
Planoles ;1 ;0,61 
Pont de Molins ;0 ;0 
Pontós ;1 ;0,63 
Porqueres ;1 ;0,04 
Portbou ;1 ;0,16 
Puigcerdà ;4 ;0,11 
Quart ;0 ;0 
Queralbs ;1 ;0,75 
Rabós ;0 ;0 
Regencós ;0 ;0 
Ribes de Freser ;2 ;0,22 
Riells i Viabrea ;3 ;0,14 
Ripoll ;14 ;0,30 
Riudarenes ;1 ;0,10 
Riudaura ;1 ;0,39 
Riudellots de la Selva ;1 ;0,09 
Riumors ;0 ;0 
Roses ;10 ;0,15 
Rupià ;0 ;0 
Sales de Llierca ;1 ;1,25 
Salt ;27 ;0,31 
Sant Andreu Salou ;0 ;0 
Sant Aniol de Finestres ;0 ;0 
Sant Climent Sescebes ;1 ;0,33 
Sant Feliu de Buixalleu ;0 ;0 
Sant Feliu de Guíxols ;6 ;0,06 
Sant Feliu de Pallerols ;0 ;0 
Sant Ferriol ;0 ;0 
Sant Gregori ;1 ;0,04 
Sant Hilari Sacalm ;15 ;0,65 
Sant Jaume de Llierca ;0 ;0 
Sant Joan de les Abadesses ;1 ;0,05 
Sant Joan de Mollet ;0 ;0 
Sant Joan les Fonts ;2 ;0,14 
Sant Jordi Desvalls ;1 ;0,23 
Sant Julià de Ramis ;6 ;0,34 
Sant Julià del Llor i Bonmatí ;0 ;0 
Sant Llorenç de la Muga ;0 ;0 
Sant Martí de Llémena ;0 ;0 
Sant Martí Vell ;0 ;0 
Sant Miquel de Campmajor ;0 ;0 
Sant Miquel de Fluvià ;0 ;0 
Sant Mori ;0 ;0 
Sant Pau de Segúries ;0 ;0 
Sant Pere Pescador ;0 ;0 
Santa Coloma de Farners ;10 ;0,18 
Santa Cristina d'Aro ;2 ;0,08 
Santa Llogaia d'Àlguema ;0 ;0 
Santa Pau ;1 ;0,12 
Sarrià de Ter ;5 ;0,18 
Saus, Camallera i Llampaies ;1 ;0,22 
Serinyà ;1 ;0,18 
Serra de Daró ;0 ;0 
Setcases ;0 ;0 
Sils ;3 ;0,10 
Siurana ;0 ;0 
Susqueda ;1 ;1,92 
Terrades ;0 ;0 
Torrent ;0 ;0 
Torroella de Fluvià ;1 ;0,33 
Torroella de Montgrí ;8 ;0,18 
Tortellà ;2 ;0,48 
Toses ;0 ;0 
Tossa de Mar ;1 ;0,04 
Ullà ;2 ;0,47 
Ullastret ;0 ;0 
Ultramort ;0 ;0 
Urús ;0 ;0 
Vall-llobrega ;0 ;0 
Vallfogona de Ripollès ;0 ;0 
Ventalló ;0 ;0 
Verges ;0 ;0 
Vidrà ;0 ;0 
