Municipio; Número de votos; Porcentaje
Agrón ;0 ;0 
Alamedilla ;0 ;0 
Albolote ;13 ;0,12 
Albondón ;0 ;0 
Albuñán ;0 ;0 
Albuñol ;2 ;0,07 
Albuñuelas ;0 ;0 
Aldeire ;2 ;0,50 
Alfacar ;4 ;0,12 
Algarinejo ;0 ;0 
Alhama de Granada ;3 ;0,11 
Alhendín ;4 ;0,07 
Alicún de Ortega ;0 ;0 
Almegíjar ;0 ;0 
Almuñécar ;12 ;0,09 
Alpujarra de la Sierra ;0 ;0 
Alquife ;0 ;0 
Arenas del Rey ;0 ;0 
Armilla ;14 ;0,10 
Atarfe ;16 ;0,16 
Baza ;12 ;0,10 
Beas de Granada ;0 ;0 
Beas de Guadix ;0 ;0 
Benalúa ;0 ;0 
Benalúa de las Villas ;0 ;0 
Benamaurel ;2 ;0,17 
Bérchules ;1 ;0,24 
Bubión ;1 ;0,54 
Busquístar ;0 ;0 
Cacín ;0 ;0 
Cádiar ;1 ;0,10 
Cájar ;2 ;0,06 
Calicasas ;0 ;0 
Campotéjar ;1 ;0,12 
Cáñar ;0 ;0 
Caniles ;4 ;0,16 
Capileira ;1 ;0,29 
Carataunas ;0 ;0 
Cástaras ;0 ;0 
Castilléjar ;1 ;0,14 
Castril ;3 ;0,28 
Cenes de la Vega ;6 ;0,14 
Chauchina ;4 ;0,13 
Chimeneas ;0 ;0 
Churriana de la Vega ;15 ;0,17 
Cijuela ;8 ;0,43 
Cogollos de Guadix ;0 ;0 
Cogollos de la Vega ;5 ;0,44 
Colomera ;1 ;0,13 
Cortes de Baza ;0 ;0 
Cortes y Graena ;2 ;0,32 
Cuevas del Campo ;0 ;0 
Cúllar ;6 ;0,25 
Cúllar Vega ;4 ;0,09 
Darro ;0 ;0 
Dehesas de Guadix ;1 ;0,35 
Dehesas Viejas ;1 ;0,23 
Deifontes ;2 ;0,14 
Diezma ;0 ;0 
Dílar ;2 ;0,15 
Dólar ;0 ;0 
Domingo Pérez de Granada ;0 ;0 
Dúdar ;1 ;0,42 
Dúrcal ;12 ;0,30 
El Pinar ;0 ;0 
El Valle ;0 ;0 
Escúzar ;2 ;0,42 
Ferreira ;0 ;0 
Fonelas ;2 ;0,41 
Fornes ;2 ;0,63 
Freila ;0 ;0 
Fuente Vaqueros ;2 ;0,07 
Galera ;0 ;0 
Gobernador ;0 ;0 
Gójar ;1 ;0,03 
Gor ;0 ;0 
Gorafe ;0 ;0 
Granada ;142 ;0,10 
Guadahortuna ;0 ;0 
Guadix ;17 ;0,17 
Gualchos ;3 ;0,16 
Güéjar Sierra ;0 ;0 
Güevéjar ;3 ;0,20 
Huélago ;1 ;0,51 
Huéneja ;0 ;0 
Huéscar ;4 ;0,10 
Huétor de Santillán ;0 ;0 
Huétor Tájar ;7 ;0,12 
Huétor Vega ;16 ;0,22 
Íllora ;7 ;0,12 
Ítrabo ;0 ;0 
Iznalloz ;3 ;0,12 
Játar ;2 ;0,80 
Jayena ;0 ;0 
Jérez del Marquesado ;0 ;0 
Jete ;0 ;0 
Jun ;2 ;0,09 
Juviles ;0 ;0 
La Calahorra ;0 ;0 
La Malahá ;3 ;0,29 
La Peza ;1 ;0,16 
La Taha ;1 ;0,29 
La Zubia ;14 ;0,12 
Láchar ;1 ;0,05 
Lanjarón ;3 ;0,15 
Lanteira ;0 ;0 
Las Gabias ;16 ;0,13 
Lecrín ;5 ;0,39 
Lentegí ;0 ;0 
Lobras ;0 ;0 
Loja ;17 ;0,15 
Los Guájares ;0 ;0 
Lugros ;0 ;0 
Lújar ;0 ;0 
Maracena ;19 ;0,15 
Marchal ;3 ;1,23 
Moclín ;1 ;0,04 
Molvízar ;2 ;0,12 
Monachil ;6 ;0,13 
Montefrío ;2 ;0,07 
Montejícar ;1 ;0,07 
Montillana ;1 ;0,14 
Moraleda de Zafayona ;0 ;0 
Morelábor ;0 ;0 
Motril ;42 ;0,14 
Murtas ;0 ;0 
Nevada ;0 ;0 
Nigüelas ;3 ;0,43 
Nívar ;0 ;0 
Ogíjares ;11 ;0,12 
Orce ;0 ;0 
Órgiva ;6 ;0,27 
Otívar ;1 ;0,15 
Padul ;8 ;0,15 
Pampaneira ;1 ;0,55 
Pedro Martínez ;0 ;0 
Peligros ;19 ;0,29 
Píñar ;0 ;0 
Pinos Genil ;0 ;0 
Pinos Puente ;2 ;0,04 
Polícar ;0 ;0 
Polopos ;1 ;0,15 
Pórtugos ;1 ;0,41 
Puebla de Don Fadrique ;1 ;0,08 
Pulianas ;4 ;0,13 
Purullena ;3 ;0,24 
Quéntar ;0 ;0 
Rubite ;0 ;0 
Salar ;2 ;0,13 
Salobreña ;17 ;0,26 
Santa Cruz del Comercio ;0 ;0 
Santa Fe ;10 ;0,12 
Soportújar ;0 ;0 
Sorvilán ;0 ;0 
Torre-Cardela ;1 ;0,19 
Torrenueva Costa ;0 ;0 
Torvizcón ;0 ;0 
Trevélez ;0 ;0 
Turón ;0 ;0 
Ugíjar ;0 ;0 
Valderrubio ;0 ;0 
Valle del Zalabí ;1 ;0,07 
Válor ;1 ;0,25 
Vegas del Genil ;8 ;0,13 
Vélez de Benaudalla ;4 ;0,24 
Ventas de Huelma ;1 ;0,24 
Villa de Otura ;6 ;0,13 
Villamena ;2 ;0,35 
Villanueva de las Torres ;0 ;0 
Villanueva Mesía ;1 ;0,08 
Víznar ;0 ;0 
Zafarraya ;0 ;0 
Zagra ;0 ;0 
Zújar ;4 ;0,30 
