Municipio; Número de votos; Porcentaje
Abánades ;0 ;0 
Ablanque ;0 ;0 
Adobes ;0 ;0 
Alaminos ;0 ;0 
Alarilla ;0 ;0 
Albalate de Zorita ;2 ;0,31 
Albares ;1 ;0,31 
Albendiego ;0 ;0 
Alcocer ;0 ;0 
Alcolea de las Peñas ;0 ;0 
Alcolea del Pinar ;0 ;0 
Alcoroches ;0 ;0 
Aldeanueva de Guadalajara ;1 ;1,23 
Algar de Mesa ;0 ;0 
Algora ;0 ;0 
Alhóndiga ;0 ;0 
Alique ;0 ;0 
Almadrones ;1 ;2,08 
Almoguera ;2 ;0,26 
Almonacid de Zorita ;0 ;0 
Alocén ;0 ;0 
Alovera ;16 ;0,24 
Alustante ;0 ;0 
Angón ;0 ;0 
Anguita ;0 ;0 
Anquela del Ducado ;0 ;0 
Anquela del Pedregal ;0 ;0 
Aranzueque ;1 ;0,50 
Arbancón ;0 ;0 
Arbeteta ;0 ;0 
Argecilla ;0 ;0 
Armallones ;0 ;0 
Armuña de Tajuña ;1 ;0,75 
Arroyo de las Fraguas ;0 ;0 
Atanzón ;0 ;0 
Atienza ;0 ;0 
Auñón ;0 ;0 
Azuqueca de Henares ;45 ;0,28 
Baides ;0 ;0 
Baños de Tajo ;0 ;0 
Bañuelos ;0 ;0 
Barriopedro ;0 ;0 
Berninches ;0 ;0 
Brihuega ;4 ;0,26 
Budia ;0 ;0 
Bujalaro ;0 ;0 
Bustares ;0 ;0 
Cabanillas del Campo ;10 ;0,16 
Campillo de Dueñas ;0 ;0 
Campillo de Ranas ;0 ;0 
Campisábalos ;1 ;1,51 
Cañizar ;1 ;1,63 
Canredondo ;0 ;0 
Cantalojas ;1 ;1,17 
Casa de Uceda ;0 ;0 
Casas de San Galindo ;0 ;0 
Caspueñas ;0 ;0 
Castejón de Henares ;0 ;0 
Castellar de la Muela ;0 ;0 
Castilforte ;0 ;0 
Castilnuevo ;0 ;0 
Cendejas de Enmedio ;0 ;0 
Cendejas de la Torre ;0 ;0 
Centenera ;0 ;0 
Checa ;0 ;0 
Chequilla ;0 ;0 
Chillarón del Rey ;1 ;1,66 
Chiloeches ;1 ;0,04 
Cifuentes ;0 ;0 
Cincovillas ;0 ;0 
Ciruelas ;1 ;1,16 
Ciruelos del Pinar ;0 ;0 
Cobeta ;0 ;0 
Cogollor ;0 ;0 
Cogolludo ;1 ;0,32 
Condemios de Abajo ;0 ;0 
Condemios de Arriba ;0 ;0 
Congostrina ;0 ;0 
Copernal ;0 ;0 
Corduente ;1 ;0,53 
Driebes ;3 ;1,22 
Durón ;0 ;0 
El Cardoso de la Sierra ;0 ;0 
El Casar ;10 ;0,15 
El Cubillo de Uceda ;1 ;1,31 
El Olivar ;0 ;0 
El Ordial ;0 ;0 
El Pedregal ;0 ;0 
El Pobo de Dueñas ;0 ;0 
El Recuenco ;0 ;0 
El Sotillo ;0 ;0 
Embid ;0 ;0 
Escamilla ;0 ;0 
Escariche ;0 ;0 
Escopete ;3 ;5,35 
Espinosa de Henares ;0 ;0 
Esplegares ;0 ;0 
Establés ;0 ;0 
Estriégana ;0 ;0 
Fontanar ;4 ;0,32 
Fuembellida ;0 ;0 
Fuencemillán ;1 ;1,44 
Fuentelahiguera de Albatages ;0 ;0 
Fuentelencina ;1 ;0,49 
Fuentelsaz ;0 ;0 
Fuentelviejo ;0 ;0 
Fuentenovilla ;0 ;0 
Gajanejos ;0 ;0 
Galápagos ;3 ;0,21 
Galve de Sorbe ;0 ;0 
Gascueña de Bornova ;0 ;0 
Guadalajara ;104 ;0,22 
Henche ;0 ;0 
Heras de Ayuso ;0 ;0 
Herrería ;0 ;0 
Hiendelaencina ;0 ;0 
Hijes ;0 ;0 
Hita ;1 ;0,51 
Hombrados ;0 ;0 
Hontoba ;0 ;0 
Horche ;3 ;0,21 
Hortezuela de Océn ;0 ;0 
Huérmeces del Cerro ;0 ;0 
Huertahernando ;0 ;0 
Hueva ;0 ;0 
Humanes ;2 ;0,24 
Illana ;0 ;0 
Iniéstola ;0 ;0 
Irueste ;0 ;0 
Jadraque ;0 ;0 
Jirueque ;0 ;0 
La Bodera ;0 ;0 
La Huerce ;0 ;0 
La Mierla ;0 ;0 
La Miñosa ;0 ;0 
La Olmeda de Jadraque ;0 ;0 
La Toba ;0 ;0 
La Yunta ;0 ;0 
Las Inviernas ;0 ;0 
Las Navas de Jadraque ;0 ;0 
Ledanca ;0 ;0 
Loranca de Tajuña ;2 ;0,29 
Lupiana ;0 ;0 
Luzaga ;0 ;0 
Luzón ;0 ;0 
Majaelrayo ;1 ;2,77 
Málaga del Fresno ;1 ;0,91 
Malaguilla ;0 ;0 
Mandayona ;3 ;1,60 
Mantiel ;0 ;0 
Maranchón ;0 ;0 
Marchamalo ;6 ;0,14 
Masegoso de Tajuña ;0 ;0 
Matarrubia ;0 ;0 
Matillas ;0 ;0 
Mazarete ;0 ;0 
Mazuecos ;0 ;0 
Medranda ;0 ;0 
Megina ;0 ;0 
Membrillera ;0 ;0 
Miedes de Atienza ;0 ;0 
Millana ;0 ;0 
Milmarcos ;0 ;0 
Mirabueno ;0 ;0 
Miralrío ;0 ;0 
Mochales ;0 ;0 
Mohernando ;0 ;0 
Molina de Aragón ;1 ;0,05 
Monasterio ;0 ;0 
Mondéjar ;1 ;0,07 
Montarrón ;0 ;0 
Moratilla de los Meleros ;0 ;0 
Morenilla ;0 ;0 
Muduex ;0 ;0 
