Municipio; Número de votos; Porcentaje
Alájar ;0 ;0 
Aljaraque ;0 ;0 
Almonaster la Real ;0 ;0 
Almonte ;0 ;0 
Alosno ;0 ;0 
Aracena ;0 ;0 
Aroche ;0 ;0 
Arroyomolinos de León ;0 ;0 
Ayamonte ;0 ;0 
Beas ;0 ;0 
Berrocal ;0 ;0 
Bollullos Par del Condado ;0 ;0 
Bonares ;0 ;0 
Cabezas Rubias ;0 ;0 
Cala ;0 ;0 
Calañas ;0 ;0 
Campofrío ;0 ;0 
Cañaveral de León ;0 ;0 
Cartaya ;0 ;0 
Castaño del Robledo ;0 ;0 
Chucena ;0 ;0 
Corteconcepción ;0 ;0 
Cortegana ;0 ;0 
Cortelazor ;0 ;0 
Cumbres de Enmedio ;0 ;0 
Cumbres de San Bartolomé ;0 ;0 
Cumbres Mayores ;0 ;0 
El Almendro ;0 ;0 
El Campillo ;0 ;0 
El Cerro de Andévalo ;0 ;0 
El Granado ;0 ;0 
Encinasola ;0 ;0 
Escacena del Campo ;0 ;0 
Fuenteheridos ;0 ;0 
Galaroza ;0 ;0 
Gibraleón ;0 ;0 
Higuera de la Sierra ;0 ;0 
Hinojales ;0 ;0 
Hinojos ;0 ;0 
Huelva ;0 ;0 
Isla Cristina ;0 ;0 
Jabugo ;0 ;0 
La Granada de Río-Tinto ;0 ;0 
La Nava ;0 ;0 
La Palma del Condado ;0 ;0 
La Zarza-Perrunal ;0 ;0 
Lepe ;0 ;0 
Linares de la Sierra ;0 ;0 
Los Marines ;0 ;0 
Lucena del Puerto ;0 ;0 
Manzanilla ;0 ;0 
Minas de Riotinto ;0 ;0 
Moguer ;0 ;0 
Nerva ;0 ;0 
Niebla ;0 ;0 
Palos de la Frontera ;0 ;0 
Paterna del Campo ;0 ;0 
Paymogo ;0 ;0 
Puebla de Guzmán ;0 ;0 
Puerto Moral ;0 ;0 
Punta Umbría ;0 ;0 
Rociana del Condado ;0 ;0 
Rosal de la Frontera ;0 ;0 
San Bartolomé de la Torre ;0 ;0 
San Juan del Puerto ;0 ;0 
San Silvestre de Guzmán ;0 ;0 
Sanlúcar de Guadiana ;0 ;0 
Santa Ana la Real ;0 ;0 
Santa Bárbara de Casa ;0 ;0 
Santa Olalla del Cala ;0 ;0 
Trigueros ;0 ;0 
Valdelarco ;0 ;0 
Valverde del Camino ;0 ;0 
Villablanca ;0 ;0 
Villalba del Alcor ;0 ;0 
Villanueva de las Cruces ;0 ;0 
Villanueva de los Castillejos ;0 ;0 
Villarrasa ;0 ;0 
Zalamea la Real ;0 ;0 
Zufre ;0 ;0 
