Municipio; Número de votos; Porcentaje
Abiego ;0 ;0 
Abizanda ;1 ;1,12 
Adahuesca ;0 ;0 
Agüero ;0 ;0 
Aínsa-Sobrarbe ;2 ;0,18 
Aisa ;0 ;0 
Albalate de Cinca ;1 ;0,18 
Albalatillo ;0 ;0 
Albelda ;1 ;0,24 
Albero Alto ;0 ;0 
Albero Bajo ;0 ;0 
Alberuela de Tubo ;0 ;0 
Alcalá de Gurrea ;1 ;0,58 
Alcalá del Obispo ;0 ;0 
Alcampell ;0 ;0 
Alcolea de Cinca ;1 ;0,15 
Alcubierre ;0 ;0 
Alerre ;0 ;0 
Alfántega ;0 ;0 
Almudévar ;8 ;0,58 
Almunia de San Juan ;1 ;0,22 
Almuniente ;0 ;0 
Alquézar ;0 ;0 
Altorricón ;0 ;0 
Angüés ;0 ;0 
Ansó ;1 ;0,35 
Antillón ;0 ;0 
Aragüés del Puerto ;0 ;0 
Arén ;0 ;0 
Argavieso ;0 ;0 
Arguis ;1 ;0,86 
Ayerbe ;0 ;0 
Azanuy-Alins ;0 ;0 
Azara ;0 ;0 
Azlor ;0 ;0 
Baélls ;1 ;1,66 
Bailo ;0 ;0 
Baldellou ;4 ;6,77 
Ballobar ;0 ;0 
Banastás ;0 ;0 
Barbastro ;39 ;0,43 
Barbués ;0 ;0 
Barbuñales ;0 ;0 
Bárcabo ;0 ;0 
Belver de Cinca ;2 ;0,29 
Benabarre ;0 ;0 
Benasque ;0 ;0 
Beranuy ;0 ;0 
Berbegal ;0 ;0 
Bielsa ;8 ;2,76 
Bierge ;0 ;0 
Biescas ;5 ;0,56 
Binaced ;1 ;0,11 
Binéfar ;6 ;0,13 
Bisaurri ;0 ;0 
Biscarrués ;0 ;0 
Blecua y Torres ;0 ;0 
Boltaña ;0 ;0 
Bonansa ;0 ;0 
Borau ;0 ;0 
Broto ;1 ;0,28 
Caldearenas ;0 ;0 
Campo ;0 ;0 
Camporrélls ;0 ;0 
Canal de Berdún ;1 ;0,43 
Candasnos ;1 ;0,39 
Canfranc ;2 ;0,56 
Capdesaso ;0 ;0 
Capella ;0 ;0 
Casbas de Huesca ;0 ;0 
Castejón de Monegros ;0 ;0 
Castejón de Sos ;4 ;0,83 
Castejón del Puente ;0 ;0 
Castelﬂorite ;0 ;0 
Castiello de Jaca ;0 ;0 
Castigaleu ;0 ;0 
Castillazuelo ;0 ;0 
Castillonroy ;0 ;0 
Chalamera ;0 ;0 
Chía ;0 ;0 
Chimillas ;2 ;0,78 
Colungo ;1 ;1,28 
El Grado ;0 ;0 
El Pueyo de Araguás ;0 ;0 
Esplús ;0 ;0 
Estada ;0 ;0 
Estadilla ;3 ;0,59 
Estopiñán del Castillo ;0 ;0 
Fago ;0 ;0 
Fanlo ;0 ;0 
Fiscal ;0 ;0 
Fonz ;0 ;0 
Foradada del Toscar ;0 ;0 
Fraga ;8 ;0,12 
Gistaín ;0 ;0 
Grañén ;2 ;0,21 
Graus ;4 ;0,23 
Gurrea de Gállego ;2 ;0,22 
Hoz de Jaca ;0 ;0 
Hoz y Costean ;0 ;0 
Huerto ;1 ;0,79 
Huesca ;66 ;0,23 
Ibieca ;0 ;0 
Igriés ;0 ;0 
Ilche ;0 ;0 
Isábena ;0 ;0 
Jaca ;16 ;0,22 
Jasa ;0 ;0 
La Fueva ;1 ;0,26 
La Puebla de Castro ;1 ;0,41 
La Sotonera ;1 ;0,16 
Labuerda ;0 ;0 
Laluenga ;0 ;0 
Lalueza ;0 ;0 
Lanaja ;0 ;0 
Laperdiguera ;0 ;0 
Las Peñas de Riglos ;0 ;0 
Lascellas-Ponzano ;0 ;0 
Lascuarre ;0 ;0 
Laspaúles ;0 ;0 
Laspuña ;1 ;0,51 
Loarre ;0 ;0 
Loporzano ;1 ;0,25 
Loscorrales ;0 ;0 
Lupiñén-Ortilla ;0 ;0 
Monesma y Cajigar ;0 ;0 
Monﬂorite-Lascasas ;0 ;0 
Montanuy ;0 ;0 
Monzón ;13 ;0,15 
Naval ;0 ;0 
Novales ;0 ;0 
Nueno ;0 ;0 
Olvena ;0 ;0 
Ontiñena ;1 ;0,30 
Osso de Cinca ;0 ;0 
Palo ;0 ;0 
Panticosa ;0 ;0 
Peñalba ;3 ;0,80 
Peralta de Alcofea ;1 ;0,26 
Peralta de Calasanz ;0 ;0 
Peraltilla ;0 ;0 
Perarrúa ;0 ;0 
Pertusa ;0 ;0 
Piracés ;0 ;0 
Plan ;2 ;1,12 
Poleñino ;0 ;0 
Pozán de Vero ;0 ;0 
Puente de Montañana ;0 ;0 
Puente la Reina de Jaca ;0 ;0 
Puértolas ;0 ;0 
Pueyo de Santa Cruz ;1 ;0,49 
Quicena ;0 ;0 
Robres ;2 ;0,58 
Sabiñánigo ;9 ;0,19 
Sahún ;0 ;0 
Salas Altas ;0 ;0 
Salas Bajas ;0 ;0 
Salillas ;0 ;0 
Sallent de Gállego ;2 ;0,21 
San Esteban de Litera ;0 ;0 
San Juan de Plan ;0 ;0 
San Miguel del Cinca ;1 ;0,19 
Sangarrén ;1 ;0,77 
Santa Cilia ;1 ;0,62 
Santa Cruz de la Serós ;0 ;0 
Santa María de Dulcis ;0 ;0 
Santaliestra y San Quílez ;0 ;0 
Sariñena ;4 ;0,19 
Secastilla ;0 ;0 
Seira ;0 ;0 
Sena ;0 ;0 
Senés de Alcubierre ;0 ;0 
Sesa ;2 ;1,68 
Sesué ;0 ;0 
Siétamo ;0 ;0 
Sopeira ;0 ;0 
Tamarite de Litera ;3 ;0,17 
Tardienta ;1 ;0,18 
Tella-Sin ;0 ;0 
Tierz ;1 ;0,22 
Tolva ;0 ;0 
Torla-Ordesa ;1 ;0,41 
Torralba de Aragón ;0 ;0 
Torre la Ribera ;0 ;0 
Torrente de Cinca ;0 ;0 
Torres de Alcanadre ;0 ;0 
Torres de Barbués ;0 ;0 
Tramaced ;0 ;0 
Valfarta ;0 ;0 
Valle de Bardají ;0 ;0 
Valle de Hecho ;0 ;0 
Valle de Lierp ;0 ;0 
Velilla de Cinca ;0 ;0 
Vencillón ;0 ;0 
Viacamp y Litera ;0 ;0 
Vicién ;0 ;0 
Villanova ;0 ;0 
Villanúa ;0 ;0 
Villanueva de Sigena ;0 ;0 
Yebra de Basa ;0 ;0 
Yésero ;0 ;0 
Zaidín ;0 ;0 
