Municipio; Número de votos; Porcentaje
Alaior ;8 ;0,17 
Alaró ;0 ;0 
Alcúdia ;13 ;0,17 
Algaida ;11 ;0,36 
Andratx ;11 ;0,24 
Ariany ;0 ;0 
Artà ;8 ;0,21 
Banyalbufar ;1 ;0,31 
Binissalem ;3 ;0,06 
Búger ;1 ;0,18 
Bunyola ;5 ;0,12 
Calvià ;35 ;0,18 
Campanet ;1 ;0,06 
Campos ;5 ;0,09 
Capdepera ;6 ;0,13 
Ciutadella de Menorca ;21 ;0,14 
Consell ;0 ;0 
Costitx ;2 ;0,27 
Deià ;0 ;0 
Eivissa ;46 ;0,24 
Es Castell ;11 ;0,29 
Es Mercadal ;4 ;0,16 
Es Migjorn Gran ;0 ;0 
Escorca ;0 ;0 
Esporles ;6 ;0,21 
Estellencs ;1 ;0,54 
Felanitx ;14 ;0,18 
Ferreries ;5 ;0,18 
Formentera ;8 ;0,19 
Fornalutx ;4 ;1,05 
Inca ;57 ;0,39 
Lloret de Vistalegre ;0 ;0 
Lloseta ;7 ;0,21 
Llubí ;0 ;0 
Llucmajor ;21 ;0,12 
Manacor ;30 ;0,17 
Mancor de la Vall ;2 ;0,21 
Maó ;28 ;0,20 
Maria de la Salut ;3 ;0,24 
Marratxí ;46 ;0,21 
Montuïri ;2 ;0,12 
Muro ;5 ;0,14 
Palma ;365 ;0,20 
Petra ;2 ;0,12 
Pollença ;11 ;0,15 
Porreres ;4 ;0,16 
Puigpunyent ;3 ;0,28 
Sa Pobla ;11 ;0,18 
Sant Antoni de Portmany ;24 ;0,24 
Sant Joan ;5 ;0,48 
Sant Joan de Labritja ;3 ;0,13 
Sant Josep de sa Talaia ;29 ;0,27 
Sant Llorenç des Cardassar ;10 ;0,28 
Sant Lluís ;10 ;0,29 
Santa Eugènia ;2 ;0,20 
Santa Eulària des Riu ;45 ;0,32 
Santa Margalida ;11 ;0,21 
Santa María del Camí ;8 ;0,20 
Santanyí ;9 ;0,18 
Selva ;3 ;0,13 
Sencelles ;7 ;0,37 
Ses Salines ;5 ;0,22 
Sineu ;2 ;0,09 
Sóller ;11 ;0,18 
Son Servera ;10 ;0,22 
Valldemossa ;1 ;0,09 
Vilafranca de Bonany ;1 ;0,05 
