Municipio; Número de votos; Porcentaje
Albanchez de Mágina ;1 ;0,14 
Alcalá la Real ;13 ;0,10 
Alcaudete ;7 ;0,11 
Aldeaquemada ;2 ;0,58 
Andújar ;19 ;0,09 
Arjona ;3 ;0,08 
Arjonilla ;3 ;0,13 
Arquillos ;2 ;0,20 
Arroyo del Ojanco ;0 ;0 
Baeza ;11 ;0,11 
Bailén ;10 ;0,10 
Baños de la Encina ;2 ;0,12 
Beas de Segura ;5 ;0,18 
Bedmar y Garcíez ;0 ;0 
Begíjar ;2 ;0,10 
Bélmez de la Moraleda ;0 ;0 
Benatae ;2 ;0,66 
Cabra del Santo Cristo ;2 ;0,17 
Cambil ;5 ;0,31 
Campillo de Arenas ;0 ;0 
Canena ;1 ;0,07 
Carboneros ;0 ;0 
Cárcheles ;0 ;0 
Castellar ;2 ;0,10 
Castillo de Locubín ;1 ;0,04 
Cazalilla ;0 ;0 
Cazorla ;1 ;0,02 
Chiclana de Segura ;0 ;0 
Chilluévar ;0 ;0 
Escañuela ;0 ;0 
Espeluy ;0 ;0 
Frailes ;0 ;0 
Fuensanta de Martos ;2 ;0,10 
Fuerte del Rey ;1 ;0,11 
Génave ;1 ;0,26 
Guarromán ;1 ;0,07 
Higuera de Calatrava ;0 ;0 
Hinojares ;0 ;0 
Hornos ;0 ;0 
Huelma ;2 ;0,05 
Huesa ;0 ;0 
Ibros ;4 ;0,21 
Iznatoraf ;0 ;0 
Jabalquinto ;0 ;0 
Jaén ;88 ;0,13 
Jamilena ;4 ;0,19 
Jimena ;0 ;0 
Jódar ;9 ;0,15 
La Carolina ;15 ;0,17 
La Guardia de Jaén ;1 ;0,03 
La Iruela ;0 ;0 
La Puerta de Segura ;2 ;0,14 
Lahiguera ;2 ;0,17 
Larva ;0 ;0 
Linares ;54 ;0,17 
Lopera ;2 ;0,09 
Los Villares ;3 ;0,08 
Lupión ;0 ;0 
Mancha Real ;4 ;0,05 
Marmolejo ;6 ;0,14 
Martos ;13 ;0,09 
Mengíbar ;3 ;0,05 
Montizón ;0 ;0 
Navas de San Juan ;2 ;0,07 
Noalejo ;1 ;0,07 
Orcera ;1 ;0,08 
Peal de Becerro ;4 ;0,11 
Pegalajar ;2 ;0,10 
Porcuna ;3 ;0,07 
Pozo Alcón ;2 ;0,08 
Puente de Génave ;1 ;0,07 
Quesada ;1 ;0,03 
Rus ;1 ;0,04 
Sabiote ;3 ;0,11 
Santa Elena ;1 ;0,15 
Santiago de Calatrava ;0 ;0 
Santiago-Pontones ;0 ;0 
Santisteban del Puerto ;4 ;0,14 
Santo Tomé ;1 ;0,07 
Segura de la Sierra ;2 ;0,19 
Siles ;1 ;0,07 
Sorihuela del Guadalimar ;2 ;0,32 
Torreblascopedro ;0 ;0 
Torredelcampo ;9 ;0,11 
Torredonjimeno ;8 ;0,09 
Torreperogil ;4 ;0,09 
Torres ;0 ;0 
Torres de Albánchez ;0 ;0 
Úbeda ;21 ;0,10 
Valdepeñas de Jaén ;2 ;0,09 
Vilches ;2 ;0,07 
Villacarrillo ;3 ;0,04 
Villanueva de la Reina ;1 ;0,05 
Villanueva del Arzobispo ;0 ;0 
Villardompardo ;0 ;0 
Villarrodrigo ;2 ;0,78 
Villatorres ;4 ;0,15 
