Municipio; Número de votos; Porcentaje
Ábalos ;0 ;0 
Agoncillo ;2 ;0,31 
Aguilar del Río Alhama ;0 ;0 
Ajamil de Cameros ;0 ;0 
Albelda de Iregua ;1 ;0,05 
Alberite ;3 ;0,20 
Alcanadre ;0 ;0 
Aldeanueva de Ebro ;4 ;0,29 
Alesanco ;1 ;0,33 
Alesón ;0 ;0 
Alfaro ;9 ;0,18 
Almarza de Cameros ;0 ;0 
Anguciana ;4 ;1,55 
Anguiano ;0 ;0 
Arenzana de Abajo ;0 ;0 
Arenzana de Arriba ;0 ;0 
Arnedillo ;1 ;0,35 
Arnedo ;4 ;0,05 
Arrúbal ;1 ;0,35 
Ausejo ;0 ;0 
Autol ;2 ;0,09 
Azofra ;0 ;0 
Badarán ;0 ;0 
Bañares ;0 ;0 
Baños de Río Tobía ;0 ;0 
Baños de Rioja ;0 ;0 
Berceo ;0 ;0 
Bergasa ;0 ;0 
Bergasillas Bajera ;0 ;0 
Bezares ;0 ;0 
Bobadilla ;0 ;0 
Brieva de Cameros ;1 ;2,63 
Briñas ;0 ;0 
Briones ;2 ;0,41 
Cabezón de Cameros ;0 ;0 
Calahorra ;30 ;0,25 
Camprovín ;0 ;0 
Canales de la Sierra ;0 ;0 
Cañas ;1 ;2,17 
Canillas de Río Tuerto ;0 ;0 
Cárdenas ;0 ;0 
Casalarreina ;0 ;0 
Castañares de Rioja ;0 ;0 
Castroviejo ;0 ;0 
Cellorigo ;0 ;0 
Cenicero ;1 ;0,08 
Cervera del Río Alhama ;2 ;0,13 
Cidamón ;0 ;0 
Cihuri ;0 ;0 
Cirueña ;0 ;0 
Clavijo ;0 ;0 
Cordovín ;0 ;0 
Corera ;0 ;0 
Cornago ;0 ;0 
Corporales ;0 ;0 
Cuzcurrita de Río Tirón ;1 ;0,30 
Daroca de Rioja ;0 ;0 
El Rasillo de Cameros ;0 ;0 
El Redal ;0 ;0 
El Villar de Arnedo ;0 ;0 
Enciso ;0 ;0 
Entrena ;4 ;0,46 
Estollo ;0 ;0 
Ezcaray ;1 ;0,08 
Foncea ;0 ;0 
Fonzaleche ;0 ;0 
Fuenmayor ;3 ;0,17 
Galbárruli ;0 ;0 
Galilea ;0 ;0 
Gallinero de Cameros ;0 ;0 
Gimileo ;1 ;1,63 
Grañón ;0 ;0 
Grávalos ;0 ;0 
Haro ;11 ;0,17 
Herce ;0 ;0 
Herramélluri ;0 ;0 
Hervías ;0 ;0 
Hormilla ;1 ;0,38 
Hormilleja ;0 ;0 
Hornillos de Cameros ;0 ;0 
Hornos de Moncalvillo ;0 ;0 
Huércanos ;0 ;0 
Igea ;0 ;0 
Jalón de Cameros ;0 ;0 
Laguna de Cameros ;0 ;0 
Lagunilla del Jubera ;1 ;0,35 
Lardero ;14 ;0,24 
Ledesma de la Cogolla ;0 ;0 
Leiva ;0 ;0 
Leza de Río Leza ;0 ;0 
Logroño ;135 ;0,16 
Lumbreras ;0 ;0 
Manjarrés ;0 ;0 
Mansilla de la Sierra ;0 ;0 
Manzanares de Rioja ;0 ;0 
Matute ;0 ;0 
