Municipio; Número de votos; Porcentaje
Acebedo ;0 ;0 
Algadefe ;0 ;0 
Alija del Infantado ;0 ;0 
Almanza ;1 ;0,25 
Ardón ;0 ;0 
Arganza ;3 ;0,56 
Astorga ;9 ;0,14 
Balboa ;0 ;0 
Barjas ;1 ;0,96 
Bembibre ;7 ;0,14 
Benavides ;1 ;0,06 
Benuza ;0 ;0 
Bercianos del Páramo ;0 ;0 
Bercianos del Real Camino ;0 ;0 
Berlanga del Bierzo ;0 ;0 
Boca de Huérgano ;0 ;0 
Boñar ;3 ;0,25 
Borrenes ;0 ;0 
Brazuelo ;0 ;0 
Burón ;0 ;0 
Bustillo del Páramo ;1 ;0,13 
Cabañas Raras ;2 ;0,22 
Cabreros del Río ;0 ;0 
Cabrillanes ;0 ;0 
Cacabelos ;5 ;0,17 
Calzada del Coto ;0 ;0 
Campazas ;0 ;0 
Campo de Villavidel ;0 ;0 
Camponaraya ;7 ;0,27 
Candín ;0 ;0 
Cármenes ;0 ;0 
Carracedelo ;2 ;0,09 
Carrizo ;2 ;0,13 
Carrocera ;0 ;0 
Carucedo ;0 ;0 
Castilfalé ;0 ;0 
Castrillo de Cabrera ;0 ;0 
Castrillo de la Valduerna ;0 ;0 
Castrocalbón ;1 ;0,15 
Castrocontrigo ;0 ;0 
Castropodame ;2 ;0,19 
Castrotierra de Valmadrigal ;0 ;0 
Cea ;0 ;0 
Cebanico ;0 ;0 
Cebrones del Río ;0 ;0 
Chozas de Abajo ;0 ;0 
Cimanes de la Vega ;0 ;0 
Cimanes del Tejar ;0 ;0 
Cistierna ;1 ;0,05 
Congosto ;1 ;0,10 
Corbillos de los Oteros ;0 ;0 
Corullón ;1 ;0,18 
Crémenes ;0 ;0 
Cuadros ;0 ;0 
Cubillas de los Oteros ;0 ;0 
Cubillas de Rueda ;0 ;0 
Cubillos del Sil ;5 ;0,46 
Destriana ;1 ;0,37 
El Burgo Ranero ;0 ;0 
Encinedo ;0 ;0 
Escobar de Campos ;0 ;0 
Fabero ;5 ;0,18 
Folgoso de la Ribera ;1 ;0,15 
Fresno de la Vega ;0 ;0 
Fuentes de Carbajal ;0 ;0 
Garrafe de Torío ;0 ;0 
Gordaliza del Pino ;0 ;0 
Gordoncillo ;1 ;0,44 
Gradefes ;0 ;0 
Grajal de Campos ;1 ;0,65 
Gusendos de los Oteros ;0 ;0 
Hospital de Órbigo ;3 ;0,44 
Igüeña ;1 ;0,14 
Izagre ;0 ;0 
Joarilla de las Matas ;0 ;0 
La Antigua ;1 ;0,42 
La Bañeza ;118 ;2,18 
La Ercina ;1 ;0,31 
La Pola de Gordón ;1 ;0,05 
La Robla ;3 ;0,12 
La Vecilla ;0 ;0 
Laguna Dalga ;3 ;0,72 
Laguna de Negrillos ;0 ;0 
Las Omañas ;3 ;1,75 
León ;91 ;0,12 
Llamas de la Ribera ;0 ;0 
