Municipio; Número de votos; Porcentaje
Abella de la Conca ;0 ;0 
Àger ;0 ;0 
Agramunt ;5 ;0,22 
Aitona ;1 ;0,10 
Alàs i Cerc ;0 ;0 
Albatàrrec ;1 ;0,11 
Albesa ;0 ;0 
Alcanó ;0 ;0 
Alcarràs ;5 ;0,16 
Alcoletge ;7 ;0,50 
Alfarràs ;0 ;0 
Alfés ;1 ;0,69 
Algerri ;0 ;0 
Alguaire ;0 ;0 
Alins ;0 ;0 
Almacelles ;4 ;0,15 
Almatret ;2 ;1,14 
Almenar ;1 ;0,06 
Alòs de Balaguer ;0 ;0 
Alpicat ;3 ;0,09 
Alt Àneu ;0 ;0 
Anglesola ;0 ;0 
Arbeca ;1 ;0,09 
Arres ;0 ;0 
Arsèguel ;0 ;0 
Artesa de Lleida ;0 ;0 
Artesa de Segre ;0 ;0 
Aspa ;1 ;1,04 
Baix Pallars ;0 ;0 
Balaguer ;6 ;0,09 
Barbens ;0 ;0 
Bassella ;1 ;0,79 
Bausen ;0 ;0 
Belianes ;0 ;0 
Bell-lloc d'Urgell ;1 ;0,09 
Bellaguarda ;1 ;0,59 
Bellcaire d'Urgell ;1 ;0,15 
Bellmunt d'Urgell ;1 ;1,03 
Bellpuig ;0 ;0 
Bellver de Cerdanya ;0 ;0 
Bellvís ;1 ;0,10 
Benavent de Segrià ;1 ;0,13 
Biosca ;0 ;0 
Bossòst ;2 ;0,36 
Bovera ;0 ;0 
Cabanabona ;0 ;0 
Cabó ;1 ;2,27 
Camarasa ;0 ;0 
Canejan ;0 ;0 
Castell de Mur ;0 ;0 
Castellar de la Ribera ;0 ;0 
Castelldans ;2 ;0,46 
Castellnou de Seana ;0 ;0 
Castelló de Farfanya ;0 ;0 
Castellserà ;1 ;0,19 
Cava ;0 ;0 
Cervera ;3 ;0,08 
Cervià de les Garrigues ;1 ;0,30 
Ciutadilla ;0 ;0 
Clariana de Cardener ;0 ;0 
Coll de Nargó ;0 ;0 
Conca de Dalt ;0 ;0 
Corbins ;0 ;0 
Cubells ;0 ;0 
El Cogul ;0 ;0 
El Palau d'Anglesola ;1 ;0,09 
El Poal ;0 ;0 
El Pont de Bar ;0 ;0 
El Pont de Suert ;1 ;0,08 
El Soleràs ;0 ;0 
El Vilosell ;0 ;0 
Els Alamús ;0 ;0 
Els Omellons ;1 ;0,86 
Els Omells de na Gaia ;1 ;1,36 
Els Plans de Sió ;0 ;0 
Els Torms ;0 ;0 
Es Bòrdes ;0 ;0 
Espot ;1 ;0,51 
Estamariu ;0 ;0 
Estaràs ;0 ;0 
Esterri d'Àneu ;0 ;0 
Esterri de Cardós ;0 ;0 
Farrera ;0 ;0 
Fígols i Alinyà ;0 ;0 
Fondarella ;1 ;0,25 
Foradada ;1 ;1,12 
Fulleda ;0 ;0 
Gavet de la Conca ;0 ;0 
Gimenells i el Pla de la Font ;1 ;0,17 
Golmés ;1 ;0,12 
Gósol ;0 ;0 
Granyanella ;1 ;1,20 
Granyena de les Garrigues ;0 ;0 
Granyena de Segarra ;0 ;0 
Guimerà ;2 ;1,43 
Guissona ;4 ;0,23 
Guixers ;0 ;0 
Isona i Conca Dellà ;0 ;0 
Ivars d'Urgell ;0 ;0 
Ivars de Noguera ;0 ;0 
Ivorra ;0 ;0 
Josa i Tuixén ;0 ;0 
Juncosa ;1 ;0,47 
Juneda ;1 ;0,07 
L'Albagés ;0 ;0 
L'Albi ;0 ;0 
L'Espluga Calba ;0 ;0 
La Baronia de Rialb ;0 ;0 
La Coma i la Pedra ;0 ;0 
La Floresta ;0 ;0 
La Fuliola ;2 ;0,40 
La Granadella ;1 ;0,28 
La Granja d'Escarp ;1 ;0,24 
La Guingueta d'Àneu ;0 ;0 
La Molsosa ;0 ;0 
La Pobla de Cérvoles ;1 ;0,75 
La Pobla de Segur ;1 ;0,07 
La Portella ;0 ;0 
La Sentiu de Sió ;1 ;0,40 
La Seu d'Urgell ;6 ;0,12 
La Torre de Cabdella ;0 ;0 
La Vall de Boí ;2 ;0,34 
La Vansa i Fórnols ;1 ;1,08 
Les ;1 ;0,25 
Les Avellanes i Santa Linya ;0 ;0 
Les Borges Blanques ;3 ;0,11 
Les Oluges ;0 ;0 
Les Valls d'Aguilar ;0 ;0 
Les Valls de Valira ;0 ;0 
Linyola ;0 ;0 
Lladorre ;0 ;0 
Lladurs ;0 ;0 
Llardecans ;0 ;0 
Llavorsí ;0 ;0 
Lleida ;83 ;0,14 
Lles de Cerdanya ;0 ;0 
Llimiana ;0 ;0 
Llobera ;1 ;0,93 
Maials ;1 ;0,25 
Maldà ;1 ;0,77 
Massalcoreig ;0 ;0 
Massoteres ;0 ;0 
Menàrguens ;1 ;0,25 
Miralcamp ;0 ;0 
Mollerussa ;6 ;0,11 
Montellà i Martinet ;0 ;0 
Montferrer i Castellbò ;0 ;0 
Montgai ;0 ;0 
Montoliu de Lleida ;0 ;0 
Montoliu de Segarra ;0 ;0 
Montornès de Segarra ;0 ;0 
Nalec ;0 ;0 
Naut Aran ;1 ;0,10 
Navès ;2 ;1,32 
Odèn ;0 ;0 
Oliana ;0 ;0 
Oliola ;0 ;0 
Olius ;0 ;0 
Organyà ;0 ;0 
Os de Balaguer ;0 ;0 
Ossó de Sió ;0 ;0 
Penelles ;0 ;0 
Peramola ;0 ;0 
Pinell de Solsonès ;0 ;0 
Pinós ;0 ;0 
Ponts ;1 ;0,09 
Prats i Sansor ;0 ;0 
Preixana ;0 ;0 
Preixens ;4 ;1,95 
Prullans ;0 ;0 
Puiggròs ;0 ;0 
Puigverd d'Agramunt ;0 ;0 
Puigverd de Lleida ;0 ;0 
Rialp ;2 ;0,60 
Ribera d'Ondara ;0 ;0 
Ribera d'Urgellet ;0 ;0 
Riner ;0 ;0 
Riu de Cerdanya ;1 ;1,49 
Rosselló ;0 ;0 
Salàs de Pallars ;0 ;0 
Sanaüja ;0 ;0 
Sant Esteve de la Sarga ;0 ;0 
Sant Guim de Freixenet ;1 ;0,19 
Sant Guim de la Plana ;0 ;0 
Sant Llorenç de Morunys ;3 ;0,57 
Sant Martí de Riucorb ;0 ;0 
Sant Ramon ;0 ;0 
Sarroca de Bellera ;0 ;0 
Sarroca de Lleida ;0 ;0 
Senterada ;0 ;0 
Seròs ;0 ;0 
Sidamon ;2 ;0,55 
Solsona ;6 ;0,15 
Soriguera ;1 ;0,45 
Sort ;1 ;0,09 
Soses ;1 ;0,14 
Sudanell ;1 ;0,23 
Sunyer ;0 ;0 
Talarn ;1 ;0,37 
Talavera ;1 ;0,60 
Tàrrega ;8 ;0,12 
Tarrés ;0 ;0 
Tarroja de Segarra ;0 ;0 
Térmens ;1 ;0,15 
Tírvia ;0 ;0 
Tiurana ;0 ;0 
Torà ;2 ;0,34 
Tornabous ;0 ;0 
Torre-serona ;0 ;0 
Torrebesses ;0 ;0 
Torrefarrera ;0 ;0 
Torrefeta i Florejacs ;0 ;0 
Torregrossa ;0 ;0 
Torrelameu ;1 ;0,29 
Torres de Segre ;1 ;0,11 
Tremp ;8 ;0,31 
Vall de Cardós ;0 ;0 
Vallbona de les Monges ;1 ;0,72 
Vallfogona de Balaguer ;0 ;0 
Verdú ;0 ;0 
