Municipio; Número de votos; Porcentaje
A Fonsagrada ;0 ;0 
A Pastoriza ;0 ;0 
A Pobra do Brollón ;2 ;0,18 
A Pontenova ;0 ;0 
Abadín ;0 ;0 
Alfoz ;0 ;0 
Antas de Ulla ;0 ;0 
As Nogais ;0 ;0 
Baleira ;1 ;0,14 
Baralla ;1 ;0,06 
Barreiros ;1 ;0,05 
Becerreá ;1 ;0,06 
Begonte ;2 ;0,09 
Bóveda ;2 ;0,21 
Burela ;6 ;0,12 
Carballedo ;1 ;0,06 
Castro de Rei ;5 ;0,17 
Castroverde ;0 ;0 
Cervantes ;0 ;0 
Cervo ;3 ;0,10 
Chantada ;4 ;0,08 
Cospeito ;3 ;0,11 
Folgoso do Courel ;0 ;0 
Foz ;9 ;0,14 
Friol ;0 ;0 
Guitiriz ;2 ;0,06 
Guntín ;5 ;0,27 
Láncara ;0 ;0 
Lourenzá ;1 ;0,07 
Lugo ;82 ;0,14 
Meira ;2 ;0,18 
Mondoñedo ;4 ;0,19 
Monforte de Lemos ;11 ;0,10 
Monterroso ;1 ;0,04 
Muras ;1 ;0,26 
Navia de Suarna ;0 ;0 
Negueira de Muñiz ;0 ;0 
O Corgo ;0 ;0 
O Incio ;0 ;0 
O Páramo ;0 ;0 
O Saviñao ;2 ;0,08 
O Valadouro ;0 ;0 
O Vicedo ;1 ;0,09 
Ourol ;3 ;0,45 
Outeiro de Rei ;0 ;0 
Palas de Rei ;0 ;0 
Pantón ;2 ;0,12 
Paradela ;2 ;0,17 
Pedraﬁta do Cebreiro ;0 ;0 
Pol ;1 ;0,09 
Portomarín ;1 ;0,10 
Quiroga ;0 ;0 
Rábade ;2 ;0,23 
Ribadeo ;4 ;0,06 
Ribas de Sil ;0 ;0 
Ribeira de Piquín ;0 ;0 
Riotorto ;0 ;0 
Samos ;0 ;0 
Sarria ;5 ;0,06 
Sober ;2 ;0,14 
Taboada ;0 ;0 
Trabada ;1 ;0,12 
Triacastela ;0 ;0 
Vilalba ;12 ;0,14 
Viveiro ;12 ;0,13 
Xermade ;1 ;0,09 
Xove ;4 ;0,19 
