Municipio; Número de votos; Porcentaje
Ajalvir ;8 ;0,34 
Alameda del Valle ;0 ;0 
Alcalá de Henares ;280 ;0,27 
Alcobendas ;128 ;0,21 
Alcorcón ;211 ;0,22 
Aldea del Fresno ;3 ;0,19 
Algete ;21 ;0,18 
Alpedrete ;16 ;0,18 
Ambite ;3 ;0,87 
Anchuelo ;2 ;0,28 
Aranjuez ;58 ;0,19 
Arganda del Rey ;73 ;0,27 
Arroyomolinos ;38 ;0,20 
Batres ;2 ;0,18 
Becerril de la Sierra ;8 ;0,22 
Belmonte de Tajo ;0 ;0 
Berzosa del Lozoya ;0 ;0 
Boadilla del Monte ;38 ;0,10 
Braojos ;1 ;0,66 
Brea de Tajo ;0 ;0 
Brunete ;5 ;0,09 
Buitrago del Lozoya ;2 ;0,23 
Bustarviejo ;10 ;0,64 
Cabanillas de la Sierra ;4 ;0,73 
Cadalso de los Vidrios ;2 ;0,11 
Camarma de Esteruelas ;4 ;0,09 
Campo Real ;7 ;0,21 
Canencia ;2 ;0,66 
Carabaña ;3 ;0,28 
Casarrubuelos ;1 ;0,04 
Cenicientos ;2 ;0,16 
Cercedilla ;9 ;0,21 
Cervera de Buitrago ;3 ;2,75 
Chapinería ;2 ;0,14 
Chinchón ;5 ;0,17 
Ciempozuelos ;31 ;0,27 
Cobeña ;6 ;0,15 
Collado Mediano ;8 ;0,19 
Collado Villalba ;81 ;0,25 
Colmenar de Oreja ;7 ;0,16 
Colmenar del Arroyo ;4 ;0,38 
Colmenar Viejo ;71 ;0,25 
Colmenarejo ;9 ;0,17 
Corpa ;1 ;0,22 
Coslada ;115 ;0,27 
Cubas de la Sagra ;7 ;0,19 
Daganzo de Arriba ;17 ;0,28 
El Álamo ;8 ;0,16 
El Atazar ;0 ;0 
El Berrueco ;4 ;0,93 
El Boalo ;8 ;0,17 
El Escorial ;27 ;0,28 
El Molar ;11 ;0,28 
El Vellón ;6 ;0,60 
Estremera ;0 ;0 
Fresnedillas de la Oliva ;0 ;0 
Fresno de Torote ;3 ;0,23 
Fuenlabrada ;297 ;0,29 
Fuente el Saz de Jarama ;7 ;0,19 
Fuentidueña de Tajo ;0 ;0 
Galapagar ;34 ;0,18 
Garganta de los Montes ;1 ;0,36 
Gargantilla del Lozoya y Pinilla de Buitrago ;0 ;0 
Gascones ;0 ;0 
Getafe ;248 ;0,24 
Griñón ;17 ;0,28 
Guadalix de la Sierra ;12 ;0,32 
Guadarrama ;19 ;0,20 
Horcajo de la Sierra-Aoslos ;0 ;0 
