Municipio; Número de votos; Porcentaje
Abanilla ;3 ;0,08 
Abarán ;19 ;0,28 
Águilas ;18 ;0,10 
Albudeite ;2 ;0,23 
Alcantarilla ;33 ;0,15 
Aledo ;1 ;0,12 
Alguazas ;12 ;0,26 
Alhama de Murcia ;33 ;0,31 
Archena ;15 ;0,15 
Beniel ;6 ;0,11 
Blanca ;5 ;0,14 
Bullas ;10 ;0,14 
Calasparra ;2 ;0,03 
Campos del Río ;13 ;1,11 
Caravaca de la Cruz ;16 ;0,11 
Cartagena ;203 ;0,19 
Cehegín ;11 ;0,13 
Ceutí ;8 ;0,12 
Cieza ;23 ;0,12 
Fortuna ;10 ;0,20 
Fuente Álamo de Murcia ;5 ;0,07 
Jumilla ;23 ;0,20 
La Unión ;14 ;0,15 
Las Torres de Cotillas ;17 ;0,14 
Librilla ;10 ;0,33 
Lorca ;55 ;0,12 
Lorquí ;5 ;0,13 
Los Alcázares ;10 ;0,16 
Mazarrón ;14 ;0,12 
Molina de Segura ;63 ;0,16 
Moratalla ;3 ;0,06 
Mula ;10 ;0,11 
Murcia ;369 ;0,15 
Ojós ;0 ;0 
Pliego ;1 ;0,04 
Puerto Lumbreras ;11 ;0,14 
Ricote ;1 ;0,12 
San Javier ;23 ;0,15 
San Pedro del Pinatar ;13 ;0,11 
Santomera ;17 ;0,21 
Torre-Pacheco ;13 ;0,08 
Totana ;25 ;0,17 
Ulea ;0 ;0 
Villanueva del Río Segura ;1 ;0,05 
Yecla ;36 ;0,18 
