Municipio; Número de votos; Porcentaje
Alameda ;5 ;0,16 
Alcaucín ;1 ;0,11 
Alfarnate ;3 ;0,44 
Alfarnatejo ;1 ;0,42 
Algarrobo ;4 ;0,12 
Algatocín ;0 ;0 
Alhaurín de la Torre ;64 ;0,28 
Alhaurín el Grande ;23 ;0,21 
Almáchar ;5 ;0,53 
Almargen ;0 ;0 
Almogía ;2 ;0,10 
Álora ;22 ;0,32 
Alozaina ;0 ;0 
Alpandeire ;0 ;0 
Antequera ;34 ;0,15 
Árchez ;0 ;0 
Archidona ;3 ;0,06 
Ardales ;2 ;0,14 
Arenas ;2 ;0,31 
Arriate ;2 ;0,08 
Atajate ;0 ;0 
Benadalid ;0 ;0 
Benahavís ;2 ;0,12 
Benalauría ;0 ;0 
Benalmádena ;50 ;0,17 
Benamargosa ;1 ;0,14 
Benamocarra ;1 ;0,06 
Benaoján ;0 ;0 
Benarrabá ;1 ;0,39 
Campillos ;7 ;0,14 
Cañete la Real ;0 ;0 
Canillas de Aceituno ;1 ;0,12 
Canillas de Albaida ;1 ;0,27 
Carratraca ;0 ;0 
Cartajima ;0 ;0 
Cártama ;31 ;0,24 
Casabermeja ;3 ;0,14 
Casarabonela ;2 ;0,14 
Casares ;3 ;0,10 
Coín ;17 ;0,16 
Colmenar ;4 ;0,24 
Comares ;0 ;0 
Cómpeta ;0 ;0 
Cortes de la Frontera ;4 ;0,24 
Cuevas Bajas ;4 ;0,49 
Cuevas de San Marcos ;3 ;0,14 
Cuevas del Becerro ;3 ;0,30 
Cútar ;1 ;0,44 
El Borge ;1 ;0,17 
El Burgo ;2 ;0,20 
Estepona ;74 ;0,25 
Faraján ;0 ;0 
Frigiliana ;0 ;0 
Fuengirola ;66 ;0,22 
Fuente de Piedra ;6 ;0,40 
Gaucín ;1 ;0,13 
Genalguacil ;0 ;0 
Guaro ;1 ;0,10 
Humilladero ;6 ;0,31 
Igualeja ;1 ;0,20 
Istán ;20 ;2,62 
Iznate ;0 ;0 
Jimera de Líbar ;2 ;0,74 
Jubrique ;0 ;0 
Júzcar ;0 ;0 
Macharaviaya ;0 ;0 
Málaga ;705 ;0,24 
Manilva ;13 ;0,24 
Marbella ;108 ;0,19 
Mijas ;63 ;0,20 
Moclinejo ;1 ;0,16 
Mollina ;3 ;0,12 
Monda ;1 ;0,08 
Montecorto ;1 ;0,29 
Montejaque ;0 ;0 
Nerja ;10 ;0,12 
Ojén ;3 ;0,18 
Parauta ;0 ;0 
Periana ;1 ;0,06 
Pizarra ;7 ;0,13 
Pujerra ;1 ;0,45 
Rincón de la Victoria ;227 ;0,84 
Riogordo ;3 ;0,20 
Ronda ;24 ;0,13 
Salares ;0 ;0 
Sayalonga ;2 ;0,40 
Sedella ;0 ;0 
Serrato ;0 ;0 
Sierra de Yeguas ;4 ;0,21 
Teba ;7 ;0,31 
Tolox ;1 ;0,08 
Torremolinos ;220 ;0,72 
Torrox ;15 ;0,21 
Totalán ;0 ;0 
Valle de Abdalajís ;0 ;0 
Vélez-Málaga ;64 ;0,15 
Villanueva de Algaidas ;4 ;0,17 
Villanueva de la Concepción ;1 ;0,05 
Villanueva de Tapia ;0 ;0 
Villanueva del Rosario ;7 ;0,36 
Villanueva del Trabuco ;3 ;0,10 
Viñuela ;0 ;0 
Yunquera ;3 ;0,18 
