Municipio; Número de votos; Porcentaje
Abáigar ;0 ;0 
Abárzuza/Abartzuza ;0 ;0 
Abaurregaina/Abaurrea Alta ;0 ;0 
Abaurrepea/Abaurrea Baja ;0 ;0 
Aberin ;1 ;0,54 
Ablitas ;6 ;0,43 
Adiós ;0 ;0 
Aguilar de Codés ;0 ;0 
Aibar/Oibar ;2 ;0,43 
Allín/Allin ;2 ;0,40 
Allo ;0 ;0 
Altsasu/Alsasua ;5 ;0,13 
Améscoa Baja ;1 ;0,24 
Ancín/Antzin ;0 ;0 
Andosilla ;8 ;0,57 
Añorbe ;0 ;0 
Ansoáin/Antsoain ;11 ;0,19 
Anue ;1 ;0,38 
Aoiz/Agoitz ;5 ;0,37 
Araitz ;0 ;0 
Arakil ;1 ;0,18 
Aranarache/Aranaratxe ;0 ;0 
Aranguren ;12 ;0,18 
Arano ;0 ;0 
Arantza ;0 ;0 
Aras ;0 ;0 
Arbizu ;0 ;0 
Arce/Artzi ;0 ;0 
Arellano ;1 ;1,07 
Areso ;0 ;0 
Arguedas ;1 ;0,08 
Aria ;0 ;0 
Aribe ;0 ;0 
Armañanzas ;0 ;0 
Arróniz ;2 ;0,33 
Arruazu ;0 ;0 
Artajona ;3 ;0,31 
Artazu ;0 ;0 
Atez/Atetz ;0 ;0 
Auritz/Burguete ;0 ;0 
Ayegui/Aiegi ;6 ;0,51 
Azagra ;4 ;0,21 
Azuelo ;0 ;0 
Bakaiku ;0 ;0 
Barañain ;24 ;0,22 
Barásoain ;2 ;0,57 
Barbarin ;0 ;0 
Bargota ;0 ;0 
Barillas ;2 ;1,57 
Basaburua ;2 ;0,41 
Baztan ;8 ;0,21 
Beintza-Labaien ;0 ;0 
Beire ;0 ;0 
Belascoáin ;0 ;0 
Bera ;2 ;0,11 
Berbinzana ;1 ;0,30 
Beriáin ;6 ;0,29 
Berrioplano/Berriobeiti ;14 ;0,43 
Berriozar ;8 ;0,17 
Bertizarana ;0 ;0 
Betelu ;1 ;0,53 
Bidaurreta ;0 ;0 
Biurrun-Olcoz ;1 ;0,74 
Buñuel ;4 ;0,31 
Burgui/Burgi ;0 ;0 
Burlada/Burlata ;23 ;0,22 
Cabanillas ;1 ;0,12 
Cabredo ;0 ;0 
Cadreita ;1 ;0,09 
Caparroso ;3 ;0,24 
Cárcar ;0 ;0 
Carcastillo ;0 ;0 
Cascante ;3 ;0,14 
Cáseda ;1 ;0,17 
Castejón ;3 ;0,16 
Castillonuevo ;0 ;0 
Cendea de Olza/Oltza Zendea ;0 ;0 
Cintruénigo ;3 ;0,08 
Cirauqui/Zirauki ;1 ;0,35 
Ciriza/Ziritza ;0 ;0 
Cizur ;2 ;0,09 
Corella ;2 ;0,05 
Cortes ;1 ;0,05 
Desojo ;0 ;0 
Dicastillo ;0 ;0 
Donamaria ;0 ;0 
Doneztebe/Santesteban ;1 ;0,12 
Echarri/Etxarri ;1 ;2,43 
El Busto ;0 ;0 
Elgorriaga ;0 ;0 
Enériz/Eneritz ;0 ;0 
Eratsun ;0 ;0 
Ergoiena ;0 ;0 
Erro ;0 ;0 
Eslava ;0 ;0 
Esparza de Salazar/Espartza Zaraitzu ;0 ;0 
Espronceda ;0 ;0 
Estella-Lizarra ;11 ;0,15 
Esteribar ;4 ;0,25 
Etayo ;0 ;0 
Etxalar ;0 ;0 
Etxarri Aranatz ;4 ;0,31 
Etxauri ;2 ;0,56 
Eulate ;0 ;0 
Ezcabarte ;2 ;0,19 
Ezcároz/Ezkaroze ;0 ;0 
Ezkurra ;0 ;0 
Ezprogui ;0 ;0 
Falces ;4 ;0,34 
Fitero ;1 ;0,09 
Fontellas ;0 ;0 
Funes ;1 ;0,08 
Fustiñana ;1 ;0,07 
Galar ;2 ;0,16 
Gallipienzo/Galipentzu ;0 ;0 
Gallués/Galoze ;0 ;0 
Garaioa ;0 ;0 
Garde ;0 ;0 
Garínoain ;2 ;0,74 
Garralda ;0 ;0 
Genevilla ;0 ;0 
Goizueta ;0 ;0 
Goñi ;0 ;0 
Güesa/Gorza ;0 ;0 
Guesálaz/Gesalatz ;1 ;0,43 
Guirguillano ;0 ;0 
Hiriberri/Villanueva de Aezkoa ;0 ;0 
Huarte/Uharte ;7 ;0,18 
Ibargoiti ;1 ;0,61 
Igantzi ;0 ;0 
Igúzquiza ;1 ;0,56 
Imotz ;0 ;0 
Irañeta ;0 ;0 
Irurtzun ;6 ;0,61 
Isaba/Izaba ;0 ;0 
Ituren ;1 ;0,38 
