Municipio; Número de votos; Porcentaje
A Arnoia ;0 ;0 
A Bola ;0 ;0 
A Gudiña ;0 ;0 
A Merca ;0 ;0 
A Mezquita ;0 ;0 
A Peroxa ;2 ;0,16 
A Pobra de Trives ;0 ;0 
A Rúa de Valdeorras ;0 ;0 
A Teixeira ;1 ;0,43 
A Veiga ;0 ;0 
Allariz ;5 ;0,13 
Amoeiro ;0 ;0 
Avión ;0 ;0 
Baltar ;0 ;0 
Bande ;1 ;0,09 
Baños de Molgas ;1 ;0,10 
Barbadás ;5 ;0,08 
Beade ;0 ;0 
Beariz ;0 ;0 
Boborás ;3 ;0,21 
Calvos de Randín ;1 ;0,20 
Carballeda de Avia ;1 ;0,11 
Carballeda de Valdeorras ;0 ;0 
Cartelle ;0 ;0 
Castrelo de Miño ;1 ;0,10 
Castrelo do Val ;0 ;0 
Castro Caldelas ;0 ;0 
Celanova ;4 ;0,11 
Cenlle ;0 ;0 
Chandrexa de Queixa ;0 ;0 
Coles ;2 ;0,10 
Cortegada ;0 ;0 
Cualedro ;0 ;0 
Entrimo ;1 ;0,14 
Esgos ;0 ;0 
Gomesende ;0 ;0 
Larouco ;0 ;0 
Laza ;0 ;0 
Leiro ;0 ;0 
Lobeira ;0 ;0 
Lobios ;1 ;0,09 
Maceda ;5 ;0,28 
Manzaneda ;0 ;0 
Maside ;1 ;0,05 
Melón ;0 ;0 
Montederramo ;2 ;0,44 
Monterrei ;0 ;0 
Muíños ;1 ;0,09 
Nogueira de Ramuín ;0 ;0 
O Barco de Valdeorras ;10 ;0,14 
O Bolo ;1 ;0,20 
O Carballiño ;3 ;0,03 
O Irixo ;0 ;0 
O Pereiro de Aguiar ;4 ;0,09 
Oímbra ;1 ;0,09 
Os Blancos ;0 ;0 
Ourense ;82 ;0,14 
Paderne de Allariz ;3 ;0,35 
Padrenda ;1 ;0,09 
Parada de Sil ;0 ;0 
Petín ;1 ;0,18 
Piñor ;0 ;0 
Pontedeva ;0 ;0 
Porqueira ;0 ;0 
Punxín ;0 ;0 
Quintela de Leirado ;0 ;0 
Rairiz de Veiga ;0 ;0 
Ramirás ;0 ;0 
Ribadavia ;2 ;0,06 
Riós ;0 ;0 
Rubiá ;0 ;0 
San Amaro ;0 ;0 
San Cibrao das Viñas ;1 ;0,02 
San Cristovo de Cea ;1 ;0,07 
San Xoán de Río ;1 ;0,31 
Sandiás ;0 ;0 
Sarreaus ;0 ;0 
Taboadela ;2 ;0,20 
Toén ;2 ;0,12 
Trasmiras ;0 ;0 
Verea ;0 ;0 
Verín ;3 ;0,04 
Viana do Bolo ;3 ;0,19 
Vilamarín ;1 ;0,08 
Vilamartín de Valdeorras ;3 ;0,28 
Vilar de Barrio ;0 ;0 
Vilar de Santos ;0 ;0 
Vilardevós ;2 ;0,16 
Vilariño de Conso ;0 ;0 
Xinzo de Limia ;5 ;0,09 
Xunqueira de Ambía ;0 ;0 
Xunqueira de Espadanedo ;0 ;0 
