Municipio; Número de votos; Porcentaje
Abarca de Campos ;0 ;0 
Abia de las Torres ;0 ;0 
Aguilar de Campoo ;6 ;0,15 
Alar del Rey ;1 ;0,17 
Alba de Cerrato ;0 ;0 
Amayuelas de Arriba ;0 ;0 
Ampudia ;0 ;0 
Amusco ;0 ;0 
Antigüedad ;0 ;0 
Arconada ;0 ;0 
Astudillo ;0 ;0 
Autilla del Pino ;0 ;0 
Autillo de Campos ;0 ;0 
Ayuela ;0 ;0 
Baltanás ;1 ;0,12 
Baquerín de Campos ;0 ;0 
Bárcena de Campos ;0 ;0 
Barruelo de Santullán ;3 ;0,41 
Báscones de Ojeda ;0 ;0 
Becerril de Campos ;0 ;0 
Belmonte de Campos ;0 ;0 
Berzosilla ;0 ;0 
Boada de Campos ;0 ;0 
Boadilla de Rioseco ;0 ;0 
Boadilla del Camino ;0 ;0 
Brañosera ;1 ;0,60 
Buenavista de Valdavia ;0 ;0 
Bustillo de la Vega ;0 ;0 
Bustillo del Páramo de Carrión ;0 ;0 
Calahorra de Boedo ;0 ;0 
Calzada de los Molinos ;0 ;0 
Capillas ;17 ;27,86 
Cardeñosa de Volpejera ;0 ;0 
Carrión de los Condes ;1 ;0,07 
Castil de Vela ;0 ;0 
Castrejón de la Peña ;0 ;0 
Castrillo de Don Juan ;0 ;0 
Castrillo de Onielo ;0 ;0 
Castrillo de Villavega ;1 ;0,75 
Castromocho ;0 ;0 
Cervatos de la Cueza ;0 ;0 
Cervera de Pisuerga ;6 ;0,42 
Cevico de la Torre ;0 ;0 
Cevico Navero ;0 ;0 
Cisneros ;0 ;0 
Cobos de Cerrato ;1 ;1 
Collazos de Boedo ;1 ;1,38 
Congosto de Valdavia ;0 ;0 
Cordovilla la Real ;0 ;0 
Cubillas de Cerrato ;0 ;0 
Dehesa de Montejo ;0 ;0 
Dehesa de Romanos ;0 ;0 
Dueñas ;1 ;0,06 
Espinosa de Cerrato ;0 ;0 
Espinosa de Villagonzalo ;0 ;0 
Frechilla ;0 ;0 
Fresno del Río ;0 ;0 
Frómista ;1 ;0,20 
Fuentes de Nava ;0 ;0 
Fuentes de Valdepero ;0 ;0 
Grijota ;142 ;9,45 
Guardo ;2 ;0,05 
Guaza de Campos ;0 ;0 
Hérmedes de Cerrato ;0 ;0 
Herrera de Pisuerga ;2 ;0,17 
Herrera de Valdecañas ;0 ;0 
Hontoria de Cerrato ;0 ;0 
Hornillos de Cerrato ;0 ;0 
Husillos ;1 ;0,41 
Itero de la Vega ;0 ;0 
La Pernía ;0 ;0 
La Puebla de Valdavia ;0 ;0 
La Serna ;0 ;0 
La Vid de Ojeda ;0 ;0 
Lagartos ;1 ;1,20 
Lantadilla ;0 ;0 
Ledigos ;0 ;0 
Loma de Ucieza ;0 ;0 
Lomas ;11 ;31,42 
Magaz de Pisuerga ;1 ;0,17 
Manquillos ;0 ;0 
Mantinos ;0 ;0 
Marcilla de Campos ;0 ;0 
Mazariegos ;0 ;0 
Mazuecos de Valdeginate ;0 ;0 
Melgar de Yuso ;0 ;0 
Meneses de Campos ;0 ;0 
Micieces de Ojeda ;0 ;0 
Monzón de Campos ;0 ;0 
Moratinos ;0 ;0 
Mudá ;0 ;0 
Nogal de las Huertas ;0 ;0 
Olea de Boedo ;1 ;3,03 
Olmos de Ojeda ;0 ;0 
Osornillo ;0 ;0 
Osorno la Mayor ;1 ;0,13 
Palencia ;57 ;0,12 
Palenzuela ;0 ;0 
Páramo de Boedo ;0 ;0 
Paredes de Nava ;2 ;0,15 
Payo de Ojeda ;0 ;0 
Pedraza de Campos ;1 ;1,72 
Pedrosa de la Vega ;0 ;0 
Perales ;0 ;0 
Piña de Campos ;0 ;0 
Pino del Río ;0 ;0 
Población de Arroyo ;0 ;0 
Población de Campos ;0 ;0 
Población de Cerrato ;0 ;0 
Polentinos ;0 ;0 
Pomar de Valdivia ;0 ;0 
Poza de la Vega ;0 ;0 
Pozo de Urama ;0 ;0 
Prádanos de Ojeda ;0 ;0 
Quintana del Puente ;0 ;0 
Quintanilla de Onsoña ;1 ;0,78 
Reinoso de Cerrato ;0 ;0 
Renedo de la Vega ;0 ;0 
Requena de Campos ;1 ;4,16 
Respenda de la Peña ;0 ;0 
Revenga de Campos ;0 ;0 
Revilla de Collazos ;0 ;0 
Ribas de Campos ;0 ;0 
Riberos de la Cueza ;0 ;0 
Saldaña ;0 ;0 
Salinas de Pisuerga ;2 ;1,02 
San Cebrián de Campos ;0 ;0 
San Cebrián de Mudá ;0 ;0 
San Cristóbal de Boedo ;0 ;0 
San Mamés de Campos ;0 ;0 
San Román de la Cuba ;0 ;0 
Santa Cecilia del Alcor ;0 ;0 
Santa Cruz de Boedo ;0 ;0 
Santervás de la Vega ;0 ;0 
Santibáñez de Ecla ;0 ;0 
Santibáñez de la Peña ;0 ;0 
Santoyo ;0 ;0 
Soto de Cerrato ;0 ;0 
Sotobañado y Priorato ;0 ;0 
Tabanera de Cerrato ;1 ;1,08 
Tabanera de Valdavia ;0 ;0 
Támara de Campos ;0 ;0 
Tariego de Cerrato ;4 ;1,30 
Torquemada ;1 ;0,17 
Torremormojón ;0 ;0 
Triollo ;0 ;0 
Valbuena de Pisuerga ;0 ;0 
Valde-Ucieza ;0 ;0 
Valdeolmillos ;0 ;0 
Valderrábano ;0 ;0 
Valle de Cerrato ;0 ;0 
Valle del Retortillo ;1 ;0,98 
Velilla del Río Carrión ;0 ;0 
Venta de Baños ;14 ;0,39 
Vertavillo ;0 ;0 
Villabasta de Valdavia ;0 ;0 
Villacidaler ;0 ;0 
Villaconancio ;0 ;0 
Villada ;0 ;0 
Villaeles de Valdavia ;0 ;0 
Villahán ;0 ;0 
Villaherreros ;1 ;0,64 
Villalaco ;0 ;0 
Villalba de Guardo ;0 ;0 
Villalcázar de Sirga ;0 ;0 
Villalcón ;0 ;0 
Villalobón ;2 ;0,18 
Villaluenga de la Vega ;0 ;0 
Villamartín de Campos ;0 ;0 
Villamediana ;0 ;0 
Villameriel ;0 ;0 
Villamoronta ;0 ;0 
Villamuera de la Cueza ;1 ;3,70 
Villamuriel de Cerrato ;12 ;0,32 
Villanueva del Rebollar ;0 ;0 
Villanuño de Valdavia ;0 ;0 
Villaprovedo ;0 ;0 
Villarmentero de Campos ;0 ;0 
Villarrabé ;0 ;0 
Villarramiel ;1 ;0,18 
Villasarracino ;0 ;0 
Villasila de Valdavia ;0 ;0 
Villaturde ;0 ;0 
Villaumbrales ;0 ;0 
Villaviudas ;0 ;0 
Villerías de Campos ;0 ;0 
Villodre ;0 ;0 
Villodrigo ;0 ;0 
Villoldo ;0 ;0 
Villota del Páramo ;0 ;0 
Villovieco ;0 ;0 
