Municipio; Número de votos; Porcentaje
A Cañiza ;2 ;0,06 
A Estrada ;5 ;0,03 
A Guarda ;4 ;0,06 
A Illa de Arousa ;3 ;0,09 
A Lama ;2 ;0,13 
Agolada ;0 ;0 
Arbo ;1 ;0,05 
As Neves ;3 ;0,12 
Baiona ;3 ;0,03 
Barro ;1 ;0,04 
Bueu ;9 ;0,12 
Caldas de Reis ;7 ;0,12 
Cambados ;7 ;0,08 
Campo Lameiro ;0 ;0 
Cangas ;27 ;0,16 
Catoira ;4 ;0,18 
Cerdedo-Cotobade ;6 ;0,16 
Covelo ;4 ;0,28 
Crecente ;2 ;0,14 
Cuntis ;2 ;0,06 
Dozón ;0 ;0 
Forcarei ;1 ;0,04 
Fornelos de Montes ;0 ;0 
Gondomar ;14 ;0,15 
Lalín ;12 ;0,09 
Marín ;25 ;0,18 
Meaño ;4 ;0,12 
Meis ;3 ;0,09 
Moaña ;11 ;0,09 
Mondariz ;6 ;0,21 
Mondariz-Balneario ;1 ;0,21 
Moraña ;6 ;0,22 
Mos ;9 ;0,09 
Nigrán ;23 ;0,20 
O Grove ;9 ;0,14 
O Porriño ;15 ;0,12 
O Rosal ;11 ;0,27 
Oia ;1 ;0,05 
Pazos de Borbén ;1 ;0,05 
Poio ;10 ;0,09 
Ponte Caldelas ;5 ;0,14 
Ponteareas ;38 ;0,28 
Pontecesures ;3 ;0,16 
Pontevedra ;82 ;0,16 
Portas ;0 ;0 
Redondela ;20 ;0,11 
Ribadumia ;1 ;0,03 
Rodeiro ;0 ;0 
Salceda de Caselas ;11 ;0,20 
Salvaterra de Miño ;8 ;0,13 
Sanxenxo ;22 ;0,20 
Silleda ;7 ;0,13 
Soutomaior ;6 ;0,13 
Tomiño ;6 ;0,07 
Tui ;9 ;0,08 
Valga ;6 ;0,16 
Vigo ;406 ;0,23 
Vila de Cruces ;2 ;0,06 
Vilaboa ;3 ;0,08 
Vilagarcía de Arousa ;53 ;0,24 
Vilanova de Arousa ;2 ;0,03 
