Municipio; Número de votos; Porcentaje
Abusejo ;0 ;0 
Agallas ;0 ;0 
Ahigal de los Aceiteros ;0 ;0 
Ahigal de Villarino ;0 ;0 
Alaraz ;0 ;0 
Alba de Tormes ;2 ;0,06 
Alba de Yeltes ;0 ;0 
Alconada ;0 ;0 
Aldea del Obispo ;0 ;0 
Aldeacipreste ;0 ;0 
Aldeadávila de la Ribera ;0 ;0 
Aldealengua ;1 ;0,24 
Aldeanueva de Figueroa ;0 ;0 
Aldeanueva de la Sierra ;0 ;0 
Aldearrodrigo ;0 ;0 
Aldearrubia ;0 ;0 
Aldeaseca de Alba ;0 ;0 
Aldeaseca de la Frontera ;0 ;0 
Aldeatejada ;4 ;0,28 
Aldeavieja de Tormes ;0 ;0 
Aldehuela de la Bóveda ;0 ;0 
Aldehuela de Yeltes ;0 ;0 
Almenara de Tormes ;0 ;0 
Almendra ;0 ;0 
Anaya de Alba ;0 ;0 
Añover de Tormes ;0 ;0 
Arabayona de Mógica ;0 ;0 
Arapiles ;1 ;0,22 
Arcediano ;0 ;0 
Armenteros ;0 ;0 
Babilafuente ;0 ;0 
Bañobárez ;0 ;0 
Barbadillo ;0 ;0 
Barbalos ;0 ;0 
Barceo ;0 ;0 
Barruecopardo ;0 ;0 
Béjar ;11 ;0,15 
Beleña ;1 ;0,91 
Bermellar ;0 ;0 
Berrocal de Huebra ;0 ;0 
Berrocal de Salvatierra ;0 ;0 
Boada ;0 ;0 
Bogajo ;0 ;0 
Bóveda del Río Almar ;0 ;0 
Brincones ;0 ;0 
Buenamadre ;0 ;0 
Buenavista ;0 ;0 
Cabeza del Caballo ;0 ;0 
Cabezabellosa de la Calzada ;0 ;0 
Cabrerizos ;4 ;0,15 
Cabrillas ;0 ;0 
Calvarrasa de Abajo ;0 ;0 
Calvarrasa de Arriba ;0 ;0 
Calzada de Don Diego ;0 ;0 
Calzada de Valdunciel ;1 ;0,23 
Campillo de Azaba ;0 ;0 
Candelario ;1 ;0,16 
Canillas de Abajo ;0 ;0 
Cantagallo ;0 ;0 
Cantalapiedra ;1 ;0,15 
Cantalpino ;1 ;0,20 
Cantaracillo ;1 ;0,69 
Carbajosa de la Sagrada ;8 ;0,19 
Carpio de Azaba ;0 ;0 
Carrascal de Barregas ;0 ;0 
Carrascal del Obispo ;1 ;0,72 
Casafranca ;0 ;0 
Casillas de Flores ;0 ;0 
Castellanos de Moriscos ;3 ;0,19 
Castellanos de Villiquera ;0 ;0 
Castillejo de Martín Viejo ;0 ;0 
