Municipio; Número de votos; Porcentaje
Adeje ;44 ;0,38 
Agulo ;0 ;0 
Alajeró ;2 ;0,20 
Arafo ;19 ;0,63 
Arico ;9 ;0,23 
Arona ;87 ;0,39 
Barlovento ;5 ;0,43 
Breña Alta ;6 ;0,14 
Breña Baja ;9 ;0,28 
Buenavista del Norte ;3 ;0,11 
Candelaria ;42 ;0,29 
El Paso ;10 ;0,25 
El Pinar de El Hierro ;8 ;0,78 
El Rosario ;27 ;0,28 
El Sauzal ;7 ;0,14 
El Tanque ;1 ;0,07 
Fasnia ;6 ;0,36 
Frontera ;6 ;0,28 
Fuencaliente de la Palma ;1 ;0,10 
Garachico ;5 ;0,18 
Garafía ;3 ;0,42 
Granadilla de Abona ;89 ;0,49 
Guía de Isora ;23 ;0,27 
Güímar ;35 ;0,32 
Hermigua ;3 ;0,30 
Icod de los Vinos ;30 ;0,24 
La Guancha ;5 ;0,16 
La Matanza de Acentejo ;16 ;0,33 
La Orotava ;71 ;0,28 
La Victoria de Acentejo ;15 ;0,28 
Los Llanos de Aridane ;19 ;0,20 
Los Realejos ;59 ;0,27 
Los Silos ;9 ;0,36 
Puerto de la Cruz ;35 ;0,23 
Puntagorda ;0 ;0 
Puntallana ;3 ;0,20 
San Andrés y Sauces ;8 ;0,32 
San Cristóbal de La Laguna ;307 ;0,37 
San Juan de la Rambla ;10 ;0,36 
San Miguel de Abona ;23 ;0,34 
San Sebastián de la Gomera ;17 ;0,36 
Santa Cruz de la Palma ;23 ;0,28 
Santa Cruz de Tenerife ;359 ;0,34 
Santa Úrsula ;25 ;0,31 
Santiago del Teide ;14 ;0,40 
Tacoronte ;55 ;0,42 
Tazacorte ;2 ;0,09 
Tegueste ;12 ;0,17 
Tijarafe ;2 ;0,16 
Valle Gran Rey ;10 ;0,64 
Vallehermoso ;7 ;0,50 
Valverde ;5 ;0,18 
Vilaﬂor de Chasna ;1 ;0,10 
Villa de Mazo ;5 ;0,19 
