Municipio; Número de votos; Porcentaje
Abades ;1 ;0,17 
Adrada de Pirón ;1 ;3,03 
Adrados ;0 ;0 
Aguilafuente ;1 ;0,30 
Alconada de Maderuelo ;0 ;0 
Aldea Real ;0 ;0 
Aldealcorvo ;0 ;0 
Aldealengua de Pedraza ;0 ;0 
Aldealengua de Santa María ;0 ;0 
Aldeanueva de la Serrezuela ;0 ;0 
Aldeanueva del Codonal ;0 ;0 
Aldeasoña ;0 ;0 
Aldehorno ;0 ;0 
Aldehuela del Codonal ;0 ;0 
Aldeonte ;0 ;0 
Anaya ;0 ;0 
Añe ;0 ;0 
Arahuetes ;0 ;0 
Arcones ;1 ;0,81 
Arevalillo de Cega ;0 ;0 
Armuña ;0 ;0 
Ayllón ;0 ;0 
Barbolla ;0 ;0 
Basardilla ;0 ;0 
Bercial ;0 ;0 
Bercimuel ;0 ;0 
Bernardos ;0 ;0 
Bernuy de Porreros ;0 ;0 
Boceguillas ;0 ;0 
Brieva ;0 ;0 
Caballar ;1 ;1,72 
Cabañas de Polendos ;0 ;0 
Cabezuela ;1 ;0,25 
Calabazas de Fuentidueña ;0 ;0 
Campo de San Pedro ;0 ;0 
Cantalejo ;0 ;0 
Cantimpalos ;1 ;0,13 
Carabias ;0 ;0 
Carbonero el Mayor ;3 ;0,21 
Carrascal del Río ;0 ;0 
Casla ;0 ;0 
Castillejo de Mesleón ;0 ;0 
Castro de Fuentidueña ;0 ;0 
Castrojimeno ;0 ;0 
Castroserna de Abajo ;0 ;0 
Castroserracín ;0 ;0 
Cedillo de la Torre ;0 ;0 
Cerezo de Abajo ;2 ;2,73 
Cerezo de Arriba ;0 ;0 
Chañe ;0 ;0 
Cilleruelo de San Mamés ;0 ;0 
Cobos de Fuentidueña ;0 ;0 
Coca ;2 ;0,18 
Codorniz ;0 ;0 
Collado Hermoso ;1 ;1,04 
Condado de Castilnovo ;0 ;0 
Corral de Ayllón ;0 ;0 
Cozuelos de Fuentidueña ;0 ;0 
Cubillo ;0 ;0 
Cuéllar ;8 ;0,16 
Cuevas de Provanco ;0 ;0 
Domingo García ;0 ;0 
Donhierro ;1 ;1,69 
Duruelo ;1 ;0,96 
El Espinar ;20 ;0,38 
Encinas ;0 ;0 
Encinillas ;1 ;0,51 
Escalona del Prado ;0 ;0 
Escarabajosa de Cabezas ;0 ;0 
Escobar de Polendos ;0 ;0 
Espirdo ;0 ;0 
Fresneda de Cuéllar ;0 ;0 
Fresno de Cantespino ;0 ;0 
Fresno de la Fuente ;0 ;0 
Frumales ;0 ;0 
Fuente de Santa Cruz ;0 ;0 
Fuente el Olmo de Fuentidueña ;0 ;0 
Fuente el Olmo de Íscar ;0 ;0 
Fuentepelayo ;0 ;0 
Fuentepiñel ;0 ;0 
Fuenterrebollo ;0 ;0 
Fuentesaúco de Fuentidueña ;1 ;0,67 
Fuentesoto ;0 ;0 
Fuentidueña ;0 ;0 
Gallegos ;1 ;1,56 
Garcillán ;1 ;0,34 
Gomezserracín ;0 ;0 
Grajera ;0 ;0 
Honrubia de la Cuesta ;0 ;0 
Hontalbilla ;0 ;0 
Hontanares de Eresma ;1 ;0,14 
Ituero y Lama ;0 ;0 
Juarros de Riomoros ;0 ;0 
Juarros de Voltoya ;1 ;0,69 
La Lastrilla ;2 ;0,08 
La Losa ;1 ;0,30 
La Matilla ;1 ;1,88 
Labajos ;0 ;0 
Laguna de Contreras ;0 ;0 
Languilla ;0 ;0 
Lastras de Cuéllar ;0 ;0 
Lastras del Pozo ;0 ;0 
Los Huertos ;0 ;0 
Maderuelo ;0 ;0 
Marazoleja ;0 ;0 
Marazuela ;0 ;0 
Martín Miguel ;1 ;0,66 
Martín Muñoz de la Dehesa ;0 ;0 
Martín Muñoz de las Posadas ;0 ;0 
Marugán ;0 ;0 
Mata de Cuéllar ;0 ;0 
Matabuena ;0 ;0 
Melque de Cercos ;1 ;1,92 
Membibre de la Hoz ;0 ;0 
Migueláñez ;1 ;1,01 
Montejo de Arévalo ;1 ;0,81 
Montejo de la Vega de la Serrezuela ;0 ;0 
Monterrubio ;0 ;0 
Moral de Hornuez ;0 ;0 
Mozoncillo ;1 ;0,20 
Muñopedro ;0 ;0 
Muñoveros ;0 ;0 
Nava de la Asunción ;2 ;0,12 
Navafría ;0 ;0 
Navalilla ;0 ;0 
Navalmanzano ;2 ;0,33 
Navares de Ayuso ;0 ;0 
Navares de Enmedio ;1 ;1,58 
Navares de las Cuevas ;0 ;0 
Navas de Oro ;1 ;0,12 
Navas de Riofrío ;0 ;0 
Navas de San Antonio ;0 ;0 
Nieva ;0 ;0 
Olombrada ;0 ;0 
Orejana ;0 ;0 
Ortigosa de Pestaño ;0 ;0 
Ortigosa del Monte ;0 ;0 
Otero de Herreros ;4 ;0,65 
Pajarejos ;0 ;0 
Palazuelos de Eresma ;10 ;0,31 
Pedraza ;4 ;1,87 
Pelayos del Arroyo ;0 ;0 
Perosillo ;0 ;0 
Pinarejos ;0 ;0 
