Municipio; Número de votos; Porcentaje
Aguadulce ;1 ;0,08 
Alanís ;0 ;0 
Albaida del Aljarafe ;2 ;0,11 
Alcalá de Guadaíra ;90 ;0,23 
Alcalá del Río ;6 ;0,09 
Alcolea del Río ;4 ;0,24 
Algámitas ;0 ;0 
Almadén de la Plata ;3 ;0,39 
Almensilla ;5 ;0,14 
Arahal ;23 ;0,22 
Aznalcázar ;2 ;0,08 
Aznalcóllar ;4 ;0,12 
Badolatosa ;3 ;0,17 
Benacazón ;7 ;0,19 
Bollullos de la Mitación ;10 ;0,17 
Bormujos ;13 ;0,10 
Brenes ;7 ;0,11 
Burguillos ;2 ;0,05 
Camas ;27 ;0,18 
Cañada Rosal ;2 ;0,09 
Cantillana ;6 ;0,11 
Carmona ;122 ;0,80 
Carrión de los Céspedes ;1 ;0,07 
Casariche ;152 ;4,77 
Castilblanco de los Arroyos ;3 ;0,11 
Castilleja de Guzmán ;3 ;0,17 
Castilleja de la Cuesta ;12 ;0,12 
Castilleja del Campo ;1 ;0,27 
Cazalla de la Sierra ;8 ;0,28 
Constantina ;3 ;0,08 
Coria del Río ;28 ;0,18 
Coripe ;1 ;0,13 
Dos Hermanas ;165 ;0,22 
Écija ;21 ;0,09 
El Castillo de las Guardas ;2 ;0,24 
El Coronil ;4 ;0,15 
El Cuervo de Sevilla ;6 ;0,12 
El Garrobo ;1 ;0,22 
El Madroño ;0 ;0 
El Palmar de Troya ;3 ;0,28 
El Pedroso ;1 ;0,08 
El Real de la Jara ;1 ;0,11 
El Ronquillo ;0 ;0 
El Rubio ;2 ;0,10 
El Saucejo ;5 ;0,20 
El Viso del Alcor ;20 ;0,19 
Espartinas ;9 ;0,10 
Estepa ;15 ;0,20 
Fuentes de Andalucía ;4 ;0,09 
Gelves ;7 ;0,11 
Gerena ;7 ;0,17 
Gilena ;2 ;0,08 
Gines ;8 ;0,10 
Guadalcanal ;1 ;0,06 
Guillena ;4 ;0,05 
Herrera ;5 ;0,12 
Huévar del Aljarafe ;1 ;0,06 
Isla Mayor ;3 ;0,10 
La Algaba ;17 ;0,20 
La Campana ;7 ;0,25 
La Luisiana ;4 ;0,14 
La Puebla de Cazalla ;9 ;0,15 
La Puebla de los Infantes ;2 ;0,11 
La Puebla del Río ;15 ;0,23 
La Rinconada ;30 ;0,14 
La Roda de Andalucía ;4 ;0,15 
Lantejuela ;2 ;0,09 
Las Cabezas de San Juan ;4 ;0,04 
Las Navas de la Concepción ;0 ;0 
Lebrija ;29 ;0,18 
Lora de Estepa ;1 ;0,17 
Lora del Río ;6 ;0,06 
Los Corrales ;5 ;0,21 
Los Molares ;2 ;0,10 
Los Palacios y Villafranca ;32 ;0,15 
Mairena del Alcor ;20 ;0,15 
Mairena del Aljarafe ;53 ;0,19 
Marchena ;139 ;1,36 
Marinaleda ;3 ;0,18 
Martín de la Jara ;2 ;0,11 
Montellano ;2 ;0,05 
Morón de la Frontera ;20 ;0,14 
Olivares ;5 ;0,09 
Osuna ;8 ;0,08 
Palomares del Río ;4 ;0,08 
Paradas ;8 ;0,22 
Pedrera ;4 ;0,13 
Peñaﬂor ;0 ;0 
Pilas ;10 ;0,14 
Pruna ;3 ;0,24 
Salteras ;2 ;0,06 
San Juan de Aznalfarache ;19 ;0,18 
San Nicolás del Puerto ;0 ;0 
Sanlúcar la Mayor ;15 ;0,20 
Santiponce ;8 ;0,17 
Sevilla ;620 ;0,16 
Tocina ;5 ;0,09 
Tomares ;18 ;0,11 
Umbrete ;5 ;0,10 
Utrera ;42 ;0,15 
Valencina de la Concepción ;6 ;0,12 
Villamanrique de la Condesa ;1 ;0,04 
Villanueva de San Juan ;3 ;0,49 
Villanueva del Ariscal ;3 ;0,07 
Villanueva del Río y Minas ;7 ;0,28 
Villaverde del Río ;6 ;0,14 
