Municipio; Número de votos; Porcentaje
Abejar ;0 ;0 
Adradas ;0 ;0 
Ágreda ;0 ;0 
Alconaba ;1 ;0,75 
Alcubilla de Avellaneda ;0 ;0 
Alcubilla de las Peñas ;0 ;0 
Aldealafuente ;0 ;0 
Aldealices ;0 ;0 
Aldealpozo ;0 ;0 
Aldealseñor ;0 ;0 
Aldehuela de Periáñez ;0 ;0 
Alentisque ;0 ;0 
Aliud ;0 ;0 
Almajano ;0 ;0 
Almaluez ;0 ;0 
Almarza ;1 ;0,25 
Almazán ;2 ;0,07 
Almazul ;0 ;0 
Almenar de Soria ;0 ;0 
Alpanseque ;0 ;0 
Arancón ;0 ;0 
Arcos de Jalón ;0 ;0 
Arenillas ;0 ;0 
Arévalo de la Sierra ;0 ;0 
Ausejo de la Sierra ;0 ;0 
Baraona ;0 ;0 
Barca ;0 ;0 
Barcones ;0 ;0 
Bayubas de Abajo ;1 ;0,89 
Bayubas de Arriba ;0 ;0 
Beratón ;0 ;0 
Berlanga de Duero ;1 ;0,19 
Blacos ;0 ;0 
Bliecos ;0 ;0 
Borjabad ;0 ;0 
Borobia ;0 ;0 
Buberos ;0 ;0 
Buitrago ;0 ;0 
Burgo de Osma-Ciudad de Osma ;4 ;0,14 
Cabrejas del Campo ;0 ;0 
Cabrejas del Pinar ;0 ;0 
Calatañazor ;0 ;0 
Caltojar ;0 ;0 
Cañamaque ;0 ;0 
Candilichera ;0 ;0 
Carabantes ;0 ;0 
Caracena ;0 ;0 
Carrascosa de Abajo ;0 ;0 
Carrascosa de la Sierra ;0 ;0 
Casarejos ;0 ;0 
Castilfrío de la Sierra ;0 ;0 
Castillejo de Robledo ;0 ;0 
Castilruiz ;1 ;1,17 
Centenera de Andaluz ;0 ;0 
Cerbón ;0 ;0 
Cidones ;0 ;0 
Cigudosa ;0 ;0 
Cihuela ;0 ;0 
Ciria ;0 ;0 
Cirujales del Río ;0 ;0 
Coscurita ;0 ;0 
Covaleda ;1 ;0,09 
Cubilla ;0 ;0 
Cubo de la Solana ;0 ;0 
Cueva de Ágreda ;0 ;0 
Dévanos ;0 ;0 
Deza ;2 ;1,50 
Duruelo de la Sierra ;1 ;0,13 
El Royo ;0 ;0 
Escobosa de Almazán ;0 ;0 
Espeja de San Marcelino ;0 ;0 
Espejón ;0 ;0 
Estepa de San Juan ;0 ;0 
Frechilla de Almazán ;0 ;0 
Fresno de Caracena ;0 ;0 
Fuentearmegil ;0 ;0 
Fuentecambrón ;0 ;0 
Fuentecantos ;1 ;2,08 
Fuentelmonge ;0 ;0 
Fuentelsaz de Soria ;0 ;0 
Fuentepinilla ;0 ;0 
Fuentes de Magaña ;0 ;0 
Fuentestrún ;0 ;0 
Garray ;1 ;0,20 
Golmayo ;2 ;0,12 
Gómara ;0 ;0 
Gormaz ;0 ;0 
Herrera de Soria ;0 ;0 
Hinojosa del Campo ;0 ;0 
La Losilla ;0 ;0 
La Póveda de Soria ;0 ;0 
La Riba de Escalote ;0 ;0 
Langa de Duero ;0 ;0 
Las Aldehuelas ;0 ;0 
Liceras ;0 ;0 
Los Rábanos ;0 ;0 
Los Villares de Soria ;0 ;0 
Magaña ;0 ;0 
Maján ;0 ;0 
Matalebreras ;0 ;0 
Matamala de Almazán ;0 ;0 
Medinaceli ;0 ;0 
Miño de Medinaceli ;0 ;0 
Miño de San Esteban ;0 ;0 
Molinos de Duero ;0 ;0 
Momblona ;0 ;0 
Monteagudo de las Vicarías ;1 ;1,17 
Montejo de Tiermes ;0 ;0 
Montenegro de Cameros ;0 ;0 
Morón de Almazán ;0 ;0 
