Municipio; Número de votos; Porcentaje
Aiguamúrcia ;0 ;0 
Albinyana ;12 ;0,91 
Alcanar ;3 ;0,07 
Alcover ;3 ;0,12 
Aldover ;1 ;0,23 
Alfara de Carles ;0 ;0 
Alforja ;2 ;0,19 
Alió ;0 ;0 
Almoster ;3 ;0,40 
Altafulla ;0 ;0 
Amposta ;7 ;0,08 
Arbolí ;0 ;0 
Arnes ;0 ;0 
Ascó ;1 ;0,11 
Banyeres del Penedès ;4 ;0,24 
Barberà de la Conca ;0 ;0 
Batea ;1 ;0,10 
Bellmunt del Priorat ;1 ;0,65 
Bellvei ;2 ;0,19 
Benifallet ;0 ;0 
Benissanet ;2 ;0,39 
Blancafort ;2 ;0,88 
Bonastre ;1 ;0,28 
Bot ;0 ;0 
Botarell ;1 ;0,17 
Bràﬁm ;3 ;0,91 
Cabacés ;1 ;0,59 
Cabra del Camp ;2 ;0,36 
Calafell ;16 ;0,13 
Camarles ;0 ;0 
Cambrils ;18 ;0,12 
Capafonts ;0 ;0 
Capçanes ;0 ;0 
Caseres ;0 ;0 
Castellvell del Camp ;7 ;0,40 
Colldejou ;0 ;0 
Conesa ;0 ;0 
Constantí ;12 ;0,49 
Corbera d'Ebre ;0 ;0 
Cornudella de Montsant ;0 ;0 
Creixell ;3 ;0,16 
Cunit ;5 ;0,07 
Deltebre ;4 ;0,08 
Duesaigües ;2 ;1,65 
El Catllar ;6 ;0,23 
El Lloar ;0 ;0 
El Masroig ;1 ;0,40 
El Milà ;2 ;1,81 
El Molar ;2 ;1,09 
El Montmell ;4 ;0,56 
El Morell ;11 ;0,61 
El Perelló ;0 ;0 
El Pinell de Brai ;0 ;0 
El Pla de Santa Maria ;2 ;0,17 
El Pont d'Armentera ;0 ;0 
El Rourell ;0 ;0 
El Vendrell ;19 ;0,11 
Els Garidells ;0 ;0 
Els Guiamets ;1 ;0,57 
Els Pallaresos ;12 ;0,46 
Falset ;2 ;0,14 
Figuerola del Camp ;0 ;0 
Flix ;3 ;0,16 
Forès ;0 ;0 
Freginals ;0 ;0 
Gandesa ;0 ;0 
Garcia ;0 ;0 
Ginestar ;0 ;0 
Godall ;0 ;0 
Gratallops ;1 ;0,73 
Horta de Sant Joan ;0 ;0 
L'Albiol ;0 ;0 
L'Aldea ;4 ;0,22 
L'Aleixar ;1 ;0,20 
L'Ametlla de Mar ;4 ;0,13 
L'Ampolla ;2 ;0,13 
L'Arboç ;4 ;0,17 
L'Argentera ;0 ;0 
L'Espluga de Francolí ;3 ;0,16 
La Bisbal de Falset ;0 ;0 
La Bisbal del Penedès ;6 ;0,31 
La Canonja ;11 ;0,37 
La Fatarella ;0 ;0 
La Febró ;0 ;0 
La Figuera ;0 ;0 
La Galera ;0 ;0 
La Masó ;0 ;0 
La Morera de Montsant ;0 ;0 
La Nou de Gaià ;1 ;0,33 
La Palma d'Ebre ;0 ;0 
La Pobla de Mafumet ;5 ;0,28 
La Pobla de Massaluca ;3 ;1,81 
La Pobla de Montornès ;4 ;0,26 
La Ràpita ;6 ;0,09 
La Riba ;0 ;0 
La Riera de Gaià ;1 ;0,11 
La Secuita ;1 ;0,11 
La Selva del Camp ;1 ;0,03 
La Sénia ;4 ;0,15 
La Torre de Fontaubella ;0 ;0 
La Torre de l'Espanyol ;0 ;0 
La Vilella Alta ;0 ;0 
La Vilella Baixa ;0 ;0 
Les Borges del Camp ;3 ;0,28 
Les Piles ;0 ;0 
Llorac ;0 ;0 
Llorenç del Penedès ;2 ;0,15 
Marçà ;1 ;0,32 
Margalef ;0 ;0 
Mas de Barberans ;0 ;0 
Masdenverge ;0 ;0 
Masllorenç ;0 ;0 
Maspujols ;2 ;0,40 
Miravet ;0 ;0 
Mont-ral ;0 ;0 
Mont-roig del Camp ;15 ;0,30 
Montblanc ;3 ;0,08 
Montbrió del Camp ;1 ;0,07 
Montferri ;1 ;0,49 
Móra d'Ebre ;5 ;0,21 
Móra la Nova ;1 ;0,07 
Nulles ;0 ;0 
Passanant i Belltall ;0 ;0 
Paüls ;0 ;0 
Perafort ;1 ;0,14 
Pira ;0 ;0 
Poboleda ;0 ;0 
Pontils ;0 ;0 
Porrera ;0 ;0 
Pradell de la Teixeta ;0 ;0 
Prades ;0 ;0 
Prat de Comte ;0 ;0 
Pratdip ;0 ;0 
Puigpelat ;0 ;0 
Querol ;0 ;0 
Rasquera ;0 ;0 
Renau ;0 ;0 
Reus ;79 ;0,17 
Riba-roja d'Ebre ;11 ;1,83 
Riudecanyes ;1 ;0,15 
Riudecols ;0 ;0 
Riudoms ;5 ;0,15 
Rocafort de Queralt ;0 ;0 
Roda de Berà ;5 ;0,14 
Rodonyà ;0 ;0 
Roquetes ;8 ;0,23 
Salomó ;0 ;0 
Salou ;8 ;0,08 
Sant Jaume d'Enveja ;0 ;0 
Sant Jaume dels Domenys ;5 ;0,37 
Santa Bàrbara ;1 ;0,06 
Santa Coloma de Queralt ;2 ;0,16 
Santa Oliva ;2 ;0,11 
Sarral ;0 ;0 
Savallà del Comtat ;0 ;0 
Senan ;0 ;0 
Solivella ;2 ;0,55 
Tarragona ;149 ;0,24 
Tivenys ;1 ;0,21 
Tivissa ;2 ;0,23 
Torredembarra ;12 ;0,15 
Torroja del Priorat ;0 ;0 
Tortosa ;26 ;0,18 
Ulldecona ;1 ;0,03 
Ulldemolins ;0 ;0 
Vallclara ;0 ;0 
Vallfogona de Riucorb ;0 ;0 
Vallmoll ;1 ;0,10 
Valls ;18 ;0,16 
Vandellòs i l'Hospitalet de l'Infant ;6 ;0,19 
Vespella de Gaià ;1 ;0,41 
Vila-rodona ;0 ;0 
Vila-seca ;20 ;0,20 
Vilabella ;0 ;0 
Vilalba dels Arcs ;4 ;1,12 
Vilallonga del Camp ;0 ;0 
Vilanova d'Escornalbou ;0 ;0 
Vilanova de Prades ;0 ;0 
Vilaplana ;0 ;0 
Vilaverd ;0 ;0 
Vimbodí i Poblet ;0 ;0 
Vinebre ;0 ;0 
Vinyols i els Arcs ;3 ;0,27 
Xerta ;0 ;0 
