Municipio; Número de votos; Porcentaje
Ababuj ;0 ;0 
Abejuela ;0 ;0 
Aguatón ;0 ;0 
Aguaviva ;0 ;0 
Aguilar del Alfambra ;0 ;0 
Alacón ;0 ;0 
Alba ;0 ;0 
Albalate del Arzobispo ;1 ;0,09 
Albarracín ;1 ;0,17 
Albentosa ;0 ;0 
Alcaine ;0 ;0 
Alcalá de la Selva ;0 ;0 
Alcañiz ;5 ;0,06 
Alcorisa ;4 ;0,21 
Alfambra ;1 ;0,30 
Aliaga ;0 ;0 
Allepuz ;0 ;0 
Alloza ;3 ;0,93 
Allueva ;0 ;0 
Almohaja ;0 ;0 
Alobras ;0 ;0 
Alpeñés ;0 ;0 
Anadón ;0 ;0 
Andorra ;8 ;0,20 
Arcos de las Salinas ;0 ;0 
Arens de Lledó ;0 ;0 
Argente ;0 ;0 
Ariño ;0 ;0 
Azaila ;0 ;0 
Bádenas ;0 ;0 
Báguena ;0 ;0 
Bañón ;0 ;0 
Barrachina ;0 ;0 
Bea ;0 ;0 
Beceite ;0 ;0 
Bello ;0 ;0 
Belmonte de San José ;0 ;0 
Berge ;0 ;0 
Bezas ;0 ;0 
Blancas ;0 ;0 
Blesa ;0 ;0 
Bordón ;0 ;0 
Bronchales ;0 ;0 
Bueña ;0 ;0 
Burbáguena ;0 ;0 
Cabra de Mora ;0 ;0 
Calaceite ;0 ;0 
Calamocha ;2 ;0,08 
Calanda ;3 ;0,15 
Calomarde ;0 ;0 
Camañas ;0 ;0 
Camarena de la Sierra ;1 ;1,03 
Camarillas ;0 ;0 
Caminreal ;0 ;0 
Cañada de Benatanduz ;0 ;0 
Cañada Vellida ;0 ;0 
Cañizar del Olivar ;0 ;0 
Cantavieja ;0 ;0 
Cascante del Río ;0 ;0 
Castejón de Tornos ;0 ;0 
Castel de Cabra ;0 ;0 
Castellote ;2 ;0,48 
Castelnou ;0 ;0 
Castelserás ;0 ;0 
Cedrillas ;1 ;0,29 
Celadas ;0 ;0 
Cella ;1 ;0,06 
Corbalán ;0 ;0 
Cortes de Aragón ;0 ;0 
Cosa ;0 ;0 
Cretas ;0 ;0 
Crivillén ;0 ;0 
Cubla ;0 ;0 
Cucalón ;0 ;0 
Cuevas de Almudén ;0 ;0 
Cuevas Labradas ;0 ;0 
Ejulve ;0 ;0 
El Castellar ;0 ;0 
El Cuervo ;1 ;1,36 
El Pobo ;0 ;0 
El Vallecillo ;0 ;0 
Escorihuela ;0 ;0 
Escucha ;0 ;0 
Estercuel ;0 ;0 
Ferreruela de Huerva ;0 ;0 
Fonfría ;0 ;0 
Formiche Alto ;1 ;0,86 
Fórnoles ;0 ;0 
Fortanete ;0 ;0 
Foz-Calanda ;1 ;0,64 
Frías de Albarracín ;0 ;0 
Fuenferrada ;0 ;0 
Fuentes Calientes ;0 ;0 
Fuentes Claras ;0 ;0 
Fuentes de Rubielos ;0 ;0 
Fuentespalda ;0 ;0 
Galve ;0 ;0 
Gargallo ;0 ;0 
Gea de Albarracín ;1 ;0,33 
Griegos ;0 ;0 
Guadalaviar ;0 ;0 
Gúdar ;0 ;0 
Híjar ;1 ;0,10 
Hinojosa de Jarque ;0 ;0 
Huesa del Común ;0 ;0 
Jabaloyas ;0 ;0 
Jarque de la Val ;0 ;0 
Jatiel ;0 ;0 
Jorcas ;0 ;0 
Josa ;0 ;0 
La Cañada de Verich ;0 ;0 
La Cerollera ;1 ;1,85 
La Codoñera ;0 ;0 
La Cuba ;0 ;0 
La Fresneda ;0 ;0 
La Ginebrosa ;0 ;0 
La Hoz de la Vieja ;0 ;0 
La Iglesuela del Cid ;1 ;0,44 
La Mata de los Olmos ;0 ;0 
La Portellada ;1 ;0,64 
La Puebla de Híjar ;0 ;0 
La Puebla de Valverde ;0 ;0 
La Zoma ;1 ;3,70 
Lagueruela ;0 ;0 
Lanzuela ;0 ;0 
Las Parras de Castellote ;0 ;0 
Libros ;0 ;0 
Lidón ;0 ;0 
Linares de Mora ;0 ;0 
Lledó ;0 ;0 
Los Olmos ;0 ;0 
Loscos ;0 ;0 
Maicas ;0 ;0 
Manzanera ;0 ;0 
Martín del Río ;0 ;0 
