Municipio; Número de votos; Porcentaje
Ajofrín ;3 ;0,22 
Alameda de la Sagra ;1 ;0,05 
Albarreal de Tajo ;2 ;0,46 
Alcabón ;0 ;0 
Alcañizo ;0 ;0 
Alcaudete de la Jara ;0 ;0 
Alcolea de Tajo ;1 ;0,18 
Aldea en Cabo ;1 ;0,78 
Aldeanueva de Barbarroya ;1 ;0,35 
Aldeanueva de San Bartolomé ;0 ;0 
Almendral de la Cañada ;1 ;0,41 
Almonacid de Toledo ;0 ;0 
Almorox ;2 ;0,14 
Añover de Tajo ;5 ;0,18 
Arcicóllar ;0 ;0 
Argés ;8 ;0,20 
Azután ;0 ;0 
Barcience ;1 ;0,23 
Bargas ;18 ;0,30 
Belvís de la Jara ;1 ;0,10 
Borox ;1 ;0,04 
Buenaventura ;0 ;0 
Burguillos de Toledo ;3 ;0,15 
Burujón ;5 ;0,62 
Cabañas de la Sagra ;5 ;0,53 
Cabañas de Yepes ;0 ;0 
Cabezamesada ;0 ;0 
Calera y Chozas ;5 ;0,17 
Caleruela ;0 ;0 
Calzada de Oropesa ;1 ;0,27 
Camarena ;6 ;0,28 
Camarenilla ;0 ;0 
Camuñas ;0 ;0 
Cardiel de los Montes ;0 ;0 
Carmena ;0 ;0 
Carranque ;9 ;0,32 
Carriches ;0 ;0 
Casarrubios del Monte ;11 ;0,35 
Casasbuenas ;1 ;0,76 
Castillo de Bayuela ;1 ;0,16 
Cazalegas ;1 ;0,09 
Cebolla ;1 ;0,05 
Cedillo del Condado ;4 ;0,20 
Cervera de los Montes ;0 ;0 
Chozas de Canales ;2 ;0,12 
Chueca ;2 ;1,25 
Ciruelos ;1 ;0,25 
Cobeja ;2 ;0,15 
Cobisa ;11 ;0,39 
Consuegra ;5 ;0,08 
Corral de Almaguer ;0 ;0 
Cuerva ;0 ;0 
Domingo Pérez ;0 ;0 
Dosbarrios ;2 ;0,15 
El Campillo de la Jara ;0 ;0 
El Carpio de Tajo ;1 ;0,09 
El Casar de Escalona ;0 ;0 
El Puente del Arzobispo ;0 ;0 
El Real de San Vicente ;0 ;0 
El Romeral ;0 ;0 
El Toboso ;1 ;0,09 
El Viso de San Juan ;17 ;0,67 
Erustes ;0 ;0 
Escalona ;5 ;0,25 
Escalonilla ;1 ;0,12 
Espinoso del Rey ;0 ;0 
Esquivias ;4 ;0,12 
Fuensalida ;16 ;0,27 
Gálvez ;3 ;0,16 
Garciotum ;0 ;0 
Gerindote ;4 ;0,26 
Guadamur ;3 ;0,26 
Herreruela de Oropesa ;0 ;0 
Hinojosa de San Vicente ;0 ;0 
Hontanar ;0 ;0 
Hormigos ;0 ;0 
Huecas ;0 ;0 
Huerta de Valdecarábanos ;1 ;0,08 
Illán de Vacas ;0 ;0 
Illescas ;40 ;0,27 
La Estrella ;0 ;0 
La Guardia ;2 ;0,15 
La Iglesuela del Tietar ;0 ;0 
La Mata ;2 ;0,40 
La Nava de Ricomalillo ;0 ;0 
La Puebla de Almoradiel ;8 ;0,25 
La Puebla de Montalbán ;6 ;0,15 
La Pueblanueva ;1 ;0,09 
La Torre de Esteban Hambrán ;0 ;0 
La Villa de Don Fadrique ;6 ;0,27 
Lagartera ;0 ;0 
Las Herencias ;1 ;0,20 
Las Ventas con Peña Aguilera ;2 ;0,25 
Las Ventas de Retamosa ;13 ;0,70 
Las Ventas de San Julián ;0 ;0 
Layos ;1 ;0,20 
Lillo ;1 ;0,06 
Lominchar ;2 ;0,20 
Los Cerralbos ;0 ;0 
Los Navalmorales ;1 ;0,08 
Los Navalucillos ;2 ;0,16 
Los Yébenes ;4 ;0,11 
Lucillos ;0 ;0 
Madridejos ;4 ;0,06 
Magán ;9 ;0,51 
Malpica de Tajo ;2 ;0,18 
Manzaneque ;0 ;0 
Maqueda ;0 ;0 
Marjaliza ;0 ;0 
Marrupe ;0 ;0 
Mascaraque ;0 ;0 
Mazarambroz ;1 ;0,12 
Mejorada ;0 ;0 
Menasalbas ;0 ;0 
Méntrida ;12 ;0,41 
Mesegar de Tajo ;0 ;0 
Miguel Esteban ;3 ;0,10 
Mocejón ;5 ;0,18 
Mohedas de la Jara ;0 ;0 
Montearagón ;0 ;0 
Montesclaros ;0 ;0 
Mora ;14 ;0,25 
Nambroca ;1 ;0,03 
Navahermosa ;0 ;0 
Navalcán ;0 ;0 
Navalmoralejo ;0 ;0 
Navamorcuende ;1 ;0,24 
Noblejas ;5 ;0,23 
Noez ;0 ;0 
Nombela ;4 ;0,70 
Novés ;7 ;0,43 
Numancia de la Sagra ;6 ;0,25 
Nuño Gómez ;1 ;0,87 
Ocaña ;15 ;0,28 
Olías del Rey ;11 ;0,22 
Ontígola ;9 ;0,36 
Orgaz ;5 ;0,28 
Oropesa ;2 ;0,11 
Otero ;0 ;0 
Palomeque ;6 ;1,04 
Pantoja ;3 ;0,17 
Paredes de Escalona ;0 ;0 
Parrillas ;0 ;0 
Pelahustán ;0 ;0 
Pepino ;4 ;0,20 
Polán ;2 ;0,09 
Portillo de Toledo ;1 ;0,08 
Puerto de San Vicente ;0 ;0 
Pulgar ;1 ;0,12 
Quero ;0 ;0 
Quintanar de la Orden ;8 ;0,13 
Quismondo ;5 ;0,52 
Recas ;8 ;0,42 
Retamoso de la Jara ;0 ;0 
Rielves ;2 ;0,42 
Robledo del Mazo ;0 ;0 
San Bartolomé de las Abiertas ;2 ;0,53 
San Martín de Montalbán ;0 ;0 
San Martín de Pusa ;0 ;0 
San Pablo de los Montes ;0 ;0 
San Román de los Montes ;1 ;0,08 
Santa Ana de Pusa ;0 ;0 
Santa Cruz de la Zarza ;4 ;0,15 
Santa Cruz del Retamar ;2 ;0,11 
Santa Olalla ;2 ;0,10 
Santo Domingo-Caudilla ;3 ;0,51 
Sartajada ;0 ;0 
Segurilla ;2 ;0,21 
Seseña ;32 ;0,29 
Sevilleja de la Jara ;1 ;0,21 
Sonseca ;18 ;0,29 
Sotillo de las Palomas ;0 ;0 
Talavera de la Reina ;297 ;0,67 
Tembleque ;0 ;0 
Toledo ;91 ;0,18 
Torralba de Oropesa ;0 ;0 
Torrecilla de la Jara ;0 ;0 
Torrico ;1 ;0,21 
Torrijos ;14 ;0,19 
Totanés ;0 ;0 
Turleque ;0 ;0 
Ugena ;13 ;0,44 
Urda ;3 ;0,19 
Valdeverdeja ;1 ;0,27 
Valmojado ;7 ;0,31 
Velada ;1 ;0,05 
Villacañas ;8 ;0,14 
Villafranca de los Caballeros ;3 ;0,09 
Villaluenga de la Sagra ;9 ;0,43 
Villamiel de Toledo ;0 ;0 
Villaminaya ;0 ;0 
Villamuelas ;2 ;0,45 
Villanueva de Alcardete ;1 ;0,05 
Villanueva de Bogas ;0 ;0 
Villarejo de Montalbán ;0 ;0 
Villarrubia de Santiago ;6 ;0,40 
Villaseca de la Sagra ;0 ;0 
Villasequilla ;2 ;0,13 
Villatobas ;0 ;0 
Yeles ;3 ;0,12 
Yepes ;4 ;0,13 
Yuncler ;3 ;0,13 
Yunclillos ;1 ;0,20 
Yuncos ;12 ;0,22 
