Municipio; Número de votos; Porcentaje
Adalia ;0 ;0 
Aguasal ;0 ;0 
Aguilar de Campos ;0 ;0 
Alaejos ;1 ;0,11 
Alcazarén ;0 ;0 
Aldea de San Miguel ;0 ;0 
Aldeamayor de San Martín ;9 ;0,27 
Almenara de Adaja ;0 ;0 
Amusquillo ;0 ;0 
Arroyo de la Encomienda ;31 ;0,25 
Ataquines ;0 ;0 
Bahabón ;0 ;0 
Barcial de la Loma ;0 ;0 
Barruelo del Valle ;0 ;0 
Becilla de Valderaduey ;1 ;0,80 
Benafarces ;0 ;0 
Bercero ;0 ;0 
Berceruelo ;0 ;0 
Berrueces ;0 ;0 
Bobadilla del Campo ;1 ;0,49 
Bocigas ;0 ;0 
Bocos de Duero ;0 ;0 
Boecillo ;1 ;0,03 
Bolaños de Campos ;0 ;0 
Brahojos de Medina ;0 ;0 
Bustillo de Chaves ;0 ;0 
Cabezón de Pisuerga ;5 ;0,23 
Cabezón de Valderaduey ;0 ;0 
Cabreros del Monte ;0 ;0 
Campaspero ;1 ;0,14 
Camporredondo ;0 ;0 
Canalejas de Peñaﬁel ;0 ;0 
Canillas de Esgueva ;0 ;0 
Carpio ;0 ;0 
Casasola de Arión ;0 ;0 
Castrejón de Trabancos ;0 ;0 
Castrillo de Duero ;0 ;0 
Castrillo-Tejeriego ;0 ;0 
Castrobol ;0 ;0 
Castrodeza ;1 ;0,93 
Castromembibre ;0 ;0 
Castromonte ;1 ;0,41 
Castronuevo de Esgueva ;4 ;1,43 
Castronuño ;0 ;0 
Castroponce ;1 ;1,06 
Castroverde de Cerrato ;1 ;0,71 
Ceinos de Campos ;0 ;0 
Cervillego de la Cruz ;0 ;0 
Cigales ;8 ;0,28 
Ciguñuela ;3 ;1,19 
Cistérniga ;11 ;0,21 
Cogeces de Íscar ;0 ;0 
Cogeces del Monte ;2 ;0,45 
Corcos ;0 ;0 
Corrales de Duero ;0 ;0 
Cubillas de Santa Marta ;0 ;0 
Cuenca de Campos ;0 ;0 
