Municipio; Número de votos; Porcentaje
Abezames ;0 ;0 
Alcañices ;1 ;0,15 
Alcubilla de Nogales ;1 ;1,29 
Alfaraz de Sayago ;0 ;0 
Algodre ;0 ;0 
Almaraz de Duero ;0 ;0 
Almeida de Sayago ;0 ;0 
Andavías ;0 ;0 
Arcenillas ;0 ;0 
Arcos de la Polvorosa ;0 ;0 
Argañín ;1 ;2,38 
Argujillo ;0 ;0 
Arquillinos ;0 ;0 
Arrabalde ;0 ;0 
Aspariegos ;1 ;0,62 
Asturianos ;0 ;0 
Ayoó de Vidriales ;1 ;0,47 
Barcial del Barco ;0 ;0 
Belver de los Montes ;0 ;0 
Benavente ;14 ;0,14 
Benegiles ;1 ;0,48 
Bermillo de Sayago ;0 ;0 
Bretó ;1 ;0,75 
Bretocino ;0 ;0 
Brime de Sog ;0 ;0 
Brime de Urz ;0 ;0 
Burganes de Valverde ;0 ;0 
Bustillo del Oro ;0 ;0 
Cabañas de Sayago ;0 ;0 
Calzadilla de Tera ;0 ;0 
Camarzana de Tera ;0 ;0 
Cañizal ;1 ;0,31 
Cañizo ;0 ;0 
Carbajales de Alba ;0 ;0 
Carbellino ;0 ;0 
Casaseca de Campeán ;0 ;0 
Casaseca de las Chanas ;1 ;0,44 
Castrillo de la Guareña ;0 ;0 
Castrogonzalo ;0 ;0 
Castronuevo ;0 ;0 
Castroverde de Campos ;0 ;0 
Cazurra ;1 ;1,58 
Cerecinos de Campos ;0 ;0 
Cerecinos del Carrizal ;0 ;0 
Cernadilla ;0 ;0 
Cobreros ;0 ;0 
Coomonte ;0 ;0 
Coreses ;0 ;0 
Corrales del Vino ;2 ;0,32 
Cotanes del Monte ;0 ;0 
Cubillos ;0 ;0 
Cubo de Benavente ;0 ;0 
Cuelgamures ;0 ;0 
El Cubo de Tierra del Vino ;0 ;0 
El Maderal ;1 ;0,84 
El Pego ;0 ;0 
El Perdigón ;1 ;0,22 
El Piñero ;0 ;0 
Entrala ;0 ;0 
Espadañedo ;0 ;0 
Faramontanos de Tábara ;1 ;0,45 
Fariza ;1 ;0,32 
Fermoselle ;0 ;0 
Ferreras de Abajo ;1 ;0,35 
Ferreras de Arriba ;0 ;0 
Ferreruela ;1 ;0,34 
Figueruela de Arriba ;0 ;0 
Fonfría ;0 ;0 
Fresno de la Polvorosa ;0 ;0 
Fresno de la Ribera ;0 ;0 
Fresno de Sayago ;1 ;1,16 
Friera de Valverde ;0 ;0 
Fuente Encalada ;0 ;0 
Fuentelapeña ;1 ;0,22 
Fuentes de Ropel ;0 ;0 
Fuentesaúco ;0 ;0 
Fuentesecas ;0 ;0 
Fuentespreadas ;0 ;0 
Galende ;0 ;0 
Gallegos del Pan ;1 ;1,17 
Gallegos del Río ;0 ;0 
Gamones ;0 ;0 
Gema ;0 ;0 
Granja de Moreruela ;0 ;0 
Granucillo ;0 ;0 
Guarrate ;0 ;0 
Hermisende ;0 ;0 
Jambrina ;0 ;0 
Justel ;2 ;3,38 
La Bóveda de Toro ;0 ;0 
La Hiniesta ;0 ;0 
La Torre del Valle ;0 ;0 
Losacino ;0 ;0 
Losacio ;0 ;0 
Lubián ;0 ;0 
Luelmo ;0 ;0 
Madridanos ;0 ;0 
Mahide ;1 ;0,39 
Maire de Castroponce ;0 ;0 
Malva ;0 ;0 
Manganeses de la Lampreana ;0 ;0 
Manganeses de la Polvorosa ;0 ;0 
Manzanal de Arriba ;0 ;0 
Manzanal de los Infantes ;0 ;0 
Manzanal del Barco ;0 ;0 
Matilla de Arzón ;0 ;0 
Matilla la Seca ;0 ;0 
Mayalde ;0 ;0 
Melgar de Tera ;0 ;0 
Micereces de Tera ;0 ;0 
Milles de la Polvorosa ;0 ;0 
Molacillos ;0 ;0 
Molezuelas de la Carballeda ;0 ;0 
Mombuey ;0 ;0 
Monfarracinos ;0 ;0 
Montamarta ;0 ;0 
Moral de Sayago ;1 ;0,58 
Moraleja de Sayago ;0 ;0 
Moraleja del Vino ;0 ;0 
Morales de Rey ;1 ;0,29 
Morales de Toro ;0 ;0 
Morales de Valverde ;0 ;0 
Morales del Vino ;2 ;0,11 
Moralina ;0 ;0 
Moreruela de los Infanzones ;0 ;0 
Moreruela de Tábara ;0 ;0 
Muelas de los Caballeros ;0 ;0 
Muelas del Pan ;1 ;0,25 
Muga de Sayago ;0 ;0 
Navianos de Valverde ;1 ;0,77 
Olmillos de Castro ;1 ;0,75 
Otero de Bodas ;0 ;0 
Pajares de la Lampreana ;0 ;0 
Palacios de Sanabria ;1 ;0,67 
Palacios del Pan ;0 ;0 
Pedralba de la Pradería ;0 ;0 
Peleagonzalo ;0 ;0 
Peleas de Abajo ;0 ;0 
Peñausende ;0 ;0 
Peque ;0 ;0 
Pereruela ;0 ;0 
Perilla de Castro ;0 ;0 
Pías ;0 ;0 
Piedrahita de Castro ;0 ;0 
Pinilla de Toro ;0 ;0 
Pino del Oro ;0 ;0 
Pobladura de Valderaduey ;0 ;0 
Pobladura del Valle ;0 ;0 
Porto ;3 ;2,23 
Pozoantiguo ;1 ;0,72 
Pozuelo de Tábara ;0 ;0 
Prado ;0 ;0 
Puebla de Sanabria ;2 ;0,22 
Pueblica de Valverde ;0 ;0 
Quintanilla de Urz ;0 ;0 
Quintanilla del Monte ;0 ;0 
Quintanilla del Olmo ;0 ;0 
Quiruelas de Vidriales ;0 ;0 
Rabanales ;0 ;0 
Rábano de Aliste ;0 ;0 
Requejo ;0 ;0 
Revellinos ;0 ;0 
Riofrío de Aliste ;0 ;0 
Rionegro del Puente ;0 ;0 
Roales ;1 ;0,18 
Robleda-Cervantes ;1 ;0,41 
Roelos de Sayago ;0 ;0 
Rosinos de la Requejada ;0 ;0 
Salce ;0 ;0 
Samir de los Caños ;0 ;0 
San Agustín del Pozo ;0 ;0 
San Cebrián de Castro ;0 ;0 
San Cristóbal de Entreviñas ;1 ;0,11 
San Esteban del Molar ;0 ;0 
San Justo ;0 ;0 
San Martín de Valderaduey ;1 ;2,85 
San Miguel de la Ribera ;0 ;0 
San Miguel del Valle ;0 ;0 
San Pedro de Ceque ;2 ;0,70 
San Pedro de la Nave-Almendra ;0 ;0 
San Vicente de la Cabeza ;1 ;0,43 
San Vitero ;0 ;0 
Santa Clara de Avedillo ;1 ;0,95 
Santa Colomba de las Monjas ;0 ;0 
Santa Cristina de la Polvorosa ;1 ;0,14 
Santa Croya de Tera ;0 ;0 
Santa Eufemia del Barco ;0 ;0 
Santa María de la Vega ;0 ;0 
Santa María de Valverde ;0 ;0 
Santibáñez de Tera ;0 ;0 
Santibáñez de Vidriales ;0 ;0 
Santovenia ;0 ;0 
Sanzoles ;1 ;0,29 
Tábara ;2 ;0,37 
Tapioles ;0 ;0 
Toro ;5 ;0,10 
Torregamones ;0 ;0 
Torres del Carrizal ;0 ;0 
Trabazos ;0 ;0 
Trefacio ;1 ;0,84 
