Municipio; Número de votos; Porcentaje
Abanto ;0 ;0 
Acered ;0 ;0 
Agón ;0 ;0 
Aguarón ;0 ;0 
Aguilón ;0 ;0 
Ainzón ;0 ;0 
Aladrén ;0 ;0 
Alagón ;8 ;0,22 
Alarba ;1 ;1,47 
Alberite de San Juan ;0 ;0 
Albeta ;0 ;0 
Alborge ;0 ;0 
Alcalá de Ebro ;0 ;0 
Alcalá de Moncayo ;0 ;0 
Alconchel de Ariza ;0 ;0 
Aldehuela de Liestos ;0 ;0 
Alfajarín ;10 ;0,72 
Alfamén ;0 ;0 
Alforque ;0 ;0 
Alhama de Aragón ;0 ;0 
Almochuel ;0 ;0 
Almonacid de la Cuba ;0 ;0 
Almonacid de la Sierra ;0 ;0 
Alpartir ;1 ;0,34 
Ambel ;0 ;0 
Anento ;0 ;0 
Aniñón ;0 ;0 
Añón de Moncayo ;0 ;0 
Aranda de Moncayo ;0 ;0 
Arándiga ;0 ;0 
Ardisa ;0 ;0 
Ariza ;1 ;0,18 
Artieda ;0 ;0 
Asín ;0 ;0 
Atea ;0 ;0 
Ateca ;0 ;0 
Azuara ;1 ;0,27 
Badules ;0 ;0 
Bagüés ;0 ;0 
Balconchán ;0 ;0 
Bárboles ;0 ;0 
Bardallur ;0 ;0 
Belchite ;1 ;0,10 
Belmonte de Gracián ;0 ;0 
Berdejo ;0 ;0 
Berrueco ;0 ;0 
Biel ;0 ;0 
Bijuesca ;0 ;0 
Biota ;0 ;0 
Bisimbre ;0 ;0 
Boquiñeni ;1 ;0,22 
Bordalba ;0 ;0 
Borja ;6 ;0,23 
Botorrita ;1 ;0,29 
Brea de Aragón ;3 ;0,32 
Bubierca ;0 ;0 
Bujaraloz ;1 ;0,17 
Bulbuente ;0 ;0 
Bureta ;0 ;0 
Cabañas de Ebro ;0 ;0 
Cabolafuente ;0 ;0 
Cadrete ;5 ;0,22 
Calatayud ;7 ;0,07 
Calatorao ;4 ;0,30 
Calcena ;0 ;0 
Calmarza ;0 ;0 
Campillo de Aragón ;0 ;0 
Carenas ;0 ;0 
Cariñena ;1 ;0,06 
Caspe ;8 ;0,19 
Castejón de Alarba ;0 ;0 
Castejón de las Armas ;0 ;0 
Castejón de Valdejasa ;0 ;0 
Castiliscar ;0 ;0 
Cervera de la Cañada ;1 ;0,60 
Cerveruela ;0 ;0 
Cetina ;0 ;0 
Chiprana ;0 ;0 
Chodes ;0 ;0 
Cimballa ;0 ;0 
Cinco Olivas ;0 ;0 
Clarés de Ribota ;0 ;0 
Codo ;0 ;0 
Codos ;1 ;0,97 
Contamina ;0 ;0 
Cosuenda ;0 ;0 
Cuarte de Huerva ;7 ;0,09 
Cubel ;0 ;0 
Daroca ;3 ;0,28 
Ejea de los Caballeros ;12 ;0,14 
El Burgo de Ebro ;1 ;0,06 
El Buste ;0 ;0 
El Frago ;0 ;0 
El Frasno ;1 ;0,40 
Embid de Ariza ;0 ;0 
Encinacorba ;0 ;0 
Épila ;2 ;0,09 
Erla ;0 ;0 
Escatrón ;1 ;0,16 
Fabara ;2 ;0,34 
Farlete ;1 ;0,33 
Fayón ;0 ;0 
Figueruelas ;2 ;0,25 
Fombuena ;0 ;0 
Fréscano ;0 ;0 
Fuendejalón ;1 ;0,21 
Fuendetodos ;0 ;0 
Fuentes de Ebro ;3 ;0,13 
Fuentes de Jiloca ;0 ;0 
Gallocanta ;0 ;0 
Gallur ;1 ;0,06 
Gelsa ;1 ;0,16 
Godojos ;0 ;0 
Gotor ;1 ;0,50 
Grisel ;0 ;0 
Grisén ;0 ;0 
Herrera de los Navarros ;0 ;0 
Ibdes ;1 ;0,40 
Illueca ;3 ;0,19 
Isuerre ;0 ;0 
Jaraba ;0 ;0 
Jarque de Moncayo ;1 ;0,42 
Jaulín ;0 ;0 
La Almolda ;0 ;0 
La Almunia de Doña Godina ;5 ;0,15 
La Joyosa ;1 ;0,16 
La Muela ;4 ;0,14 
La Puebla de Alﬁndén ;14 ;0,44 
La Vilueña ;0 ;0 
La Zaida ;1 ;0,35 
Lagata ;0 ;0 
Langa del Castillo ;0 ;0 
Las Cuerlas ;0 ;0 
Las Pedrosas ;0 ;0 
Layana ;1 ;1,61 
Lécera ;0 ;0 
Lechón ;0 ;0 
Leciñena ;0 ;0 
Letux ;0 ;0 
Litago ;0 ;0 
Lituénigo ;0 ;0 
Lobera de Onsella ;0 ;0 
Longares ;0 ;0 
Longás ;0 ;0 
Los Fayos ;0 ;0 
Los Pintanos ;0 ;0 
Lucena de Jalón ;0 ;0 
Luceni ;0 ;0 
Luesia ;3 ;1,27 
Luesma ;0 ;0 
Lumpiaque ;1 ;0,23 
Luna ;1 ;0,20 
Maella ;0 ;0 
Magallón ;0 ;0 
Mainar ;0 ;0 
Malanquilla ;0 ;0 
Maleján ;1 ;0,60 
Mallén ;3 ;0,20 
Malón ;0 ;0 
Maluenda ;0 ;0 
Manchones ;0 ;0 
Mara ;0 ;0 
María de Huerva ;9 ;0,28 
Marracos ;0 ;0 
Mediana de Aragón ;1 ;0,40 
Mequinenza ;2 ;0,16 
Mesones de Isuela ;0 ;0 
Mezalocha ;0 ;0 
Mianos ;0 ;0 
Miedes de Aragón ;0 ;0 
Monegrillo ;0 ;0 
Moneva ;0 ;0 
Monreal de Ariza ;0 ;0 
Monterde ;0 ;0 
Montón ;0 ;0 
Morata de Jalón ;2 ;0,32 
Morata de Jiloca ;0 ;0 
Morés ;0 ;0 
Moros ;3 ;1,71 
Moyuela ;0 ;0 
Mozota ;0 ;0 
Muel ;0 ;0 
Munébrega ;1 ;0,41 
Murero ;0 ;0 
Murillo de Gállego ;0 ;0 
Navardún ;0 ;0 
Nigüella ;0 ;0 
Nombrevilla ;0 ;0 
Nonaspe ;1 ;0,19 
Novallas ;0 ;0 
Novillas ;2 ;0,65 
Nuévalos ;0 ;0 
Nuez de Ebro ;4 ;0,75 
Olvés ;0 ;0 
Orcajo ;0 ;0 
Orera ;0 ;0 
Orés ;0 ;0 
Oseja ;0 ;0 
Osera de Ebro ;1 ;0,46 
Paniza ;1 ;0,24 
Paracuellos de Jiloca ;0 ;0 
Paracuellos de la Ribera ;0 ;0 
Pastriz ;3 ;0,36 
Pedrola ;4 ;0,23 
Perdiguera ;2 ;0,55 
Piedratajada ;0 ;0 
Pina de Ebro ;4 ;0,31 
Pinseque ;7 ;0,33 
Plasencia de Jalón ;0 ;0 
Pleitas ;0 ;0 
Plenas ;0 ;0 
Pomer ;0 ;0 
Pozuel de Ariza ;0 ;0 
Pozuelo de Aragón ;0 ;0 
Pradilla de Ebro ;0 ;0 
Puebla de Albortón ;0 ;0 
Puendeluna ;0 ;0 
Purujosa ;0 ;0 
Quinto ;0 ;0 
Remolinos ;3 ;0,43 
Retascón ;0 ;0 
Ricla ;4 ;0,40 
Romanos ;0 ;0 
Rueda de Jalón ;0 ;0 
Ruesca ;0 ;0 
Sabiñán ;0 ;0 
Sádaba ;0 ;0 
Salillas de Jalón ;0 ;0 
Salvatierra de Esca ;0 ;0 
Samper del Salz ;0 ;0 
San Martín de la Virgen de Moncayo ;0 ;0 
San Mateo de Gállego ;6 ;0,31 
Santa Cruz de Grío ;0 ;0 
Santa Cruz de Moncayo ;0 ;0 
Santa Eulalia de Gállego ;0 ;0 
Santed ;0 ;0 
Sástago ;2 ;0,30 
Sediles ;1 ;1,33 
Sestrica ;0 ;0 
Sierra de Luna ;0 ;0 
Sigüés ;0 ;0 
Sisamón ;0 ;0 
Sobradiel ;2 ;0,30 
Sos del Rey Católico ;0 ;0 
Tabuenca ;0 ;0 
Talamantes ;1 ;1,61 
Tarazona ;21 ;0,36 
Tauste ;10 ;0,29 
Terrer ;0 ;0 
Tierga ;0 ;0 
Tobed ;0 ;0 
