Municipio; Número de votos; Porcentaje
Adanero ;1 ;0,70 
Albornos ;0 ;0 
Aldeanueva de Santa Cruz ;0 ;0 
Aldeaseca ;0 ;0 
Amavida ;0 ;0 
Arenas de San Pedro ;6 ;0,15 
Arevalillo ;0 ;0 
Arévalo ;7 ;0,15 
Aveinte ;0 ;0 
Avellaneda ;0 ;0 
Ávila ;37 ;0,11 
Barromán ;0 ;0 
Becedas ;0 ;0 
Becedillas ;0 ;0 
Bercial de Zapardiel ;0 ;0 
Bernuy-Zapardiel ;0 ;0 
Berrocalejo de Aragona ;0 ;0 
Blascomillán ;1 ;0,72 
Blasconuño de Matacabras ;0 ;0 
Blascosancho ;0 ;0 
Bohoyo ;0 ;0 
Bonilla de la Sierra ;0 ;0 
Brabos ;0 ;0 
Bularros ;0 ;0 
Burgohondo ;0 ;0 
Cabezas de Alambre ;0 ;0 
Cabezas del Pozo ;0 ;0 
Cabezas del Villar ;0 ;0 
Cabizuela ;0 ;0 
Canales ;0 ;0 
Candeleda ;0 ;0 
Cantiveros ;0 ;0 
Cardeñosa ;0 ;0 
Casas del Puerto ;0 ;0 
Casasola ;0 ;0 
Casavieja ;1 ;0,11 
Casillas ;0 ;0 
Castellanos de Zapardiel ;0 ;0 
Cebreros ;0 ;0 
Cepeda la Mora ;0 ;0 
Chamartín ;0 ;0 
Cillán ;0 ;0 
Cisla ;0 ;0 
Collado de Contreras ;0 ;0 
Collado del Mirón ;0 ;0 
Constanzana ;0 ;0 
Crespos ;0 ;0 
Cuevas del Valle ;0 ;0 
Diego del Carpio ;0 ;0 
Donjimeno ;0 ;0 
Donvidas ;0 ;0 
El Arenal ;0 ;0 
El Barco de Ávila ;1 ;0,07 
El Barraco ;0 ;0 
El Bohodón ;0 ;0 
El Fresno ;0 ;0 
El Hornillo ;0 ;0 
El Hoyo de Pinares ;2 ;0,16 
El Losar del Barco ;0 ;0 
El Mirón ;0 ;0 
El Oso ;0 ;0 
El Parral ;1 ;1,96 
El Tiemblo ;3 ;0,13 
Espinosa de los Caballeros ;0 ;0 
Flores de Ávila ;0 ;0 
Fontiveros ;1 ;0,19 
Fresnedilla ;0 ;0 
Fuente el Saúz ;0 ;0 
Fuentes de Año ;0 ;0 
Gallegos de Altamiros ;0 ;0 
Gallegos de Sobrinos ;0 ;0 
Garganta del Villar ;0 ;0 
Gavilanes ;0 ;0 
Gemuño ;0 ;0 
Gil García ;0 ;0 
Gilbuena ;0 ;0 
Gimialcón ;0 ;0 
Gotarrendura ;0 ;0 
Grandes y San Martín ;0 ;0 
Guisando ;0 ;0 
Gutierre-Muñoz ;0 ;0 
Hernansancho ;0 ;0 
Herradón de Pinares ;0 ;0 
Herreros de Suso ;0 ;0 
Higuera de las Dueñas ;0 ;0 
Horcajo de las Torres ;0 ;0 
Hoyocasero ;0 ;0 
Hoyorredondo ;0 ;0 
Hoyos de Miguel Muñoz ;0 ;0 
Hoyos del Collado ;0 ;0 
Hoyos del Espino ;0 ;0 
Hurtumpascual ;0 ;0 
Junciana ;0 ;0 
La Adrada ;3 ;0,20 
La Aldehuela ;0 ;0 
La Carrera ;0 ;0 
La Colilla ;1 ;0,43 
La Hija de Dios ;0 ;0 
La Horcajada ;0 ;0 
La Serrada ;0 ;0 
La Torre ;1 ;0,62 
Langa ;0 ;0 
Lanzahíta ;0 ;0 
Las Berlanas ;0 ;0 
Las Navas del Marqués ;3 ;0,11 
Los Llanos de Tormes ;1 ;2,32 
Madrigal de las Altas Torres ;2 ;0,20 
Maello ;0 ;0 
Malpartida de Corneja ;0 ;0 
Mamblas ;0 ;0 
Mancera de Arriba ;0 ;0 
Manjabálago y Ortigosa de Rioalmar ;0 ;0 
Marlín ;0 ;0 
Martiherrero ;0 ;0 
Martínez ;0 ;0 
Mediana de Voltoya ;0 ;0 
Medinilla ;0 ;0 
Mengamuñoz ;0 ;0 
Mesegar de Corneja ;0 ;0 
Mijares ;2 ;0,40 
Mingorría ;1 ;0,39 
Mironcillo ;0 ;0 
Mirueña de los Infanzones ;0 ;0 
Mombeltrán ;0 ;0 
Monsalupe ;0 ;0 
Moraleja de Matacabras ;0 ;0 
Muñana ;1 ;0,32 
Muñico ;0 ;0 
Muñogalindo ;1 ;0,50 
Muñogrande ;0 ;0 
Muñomer del Peco ;0 ;0 
Muñopepe ;0 ;0 
Muñosancho ;0 ;0 
Muñotello ;0 ;0 
Narrillos del Álamo ;0 ;0 
Narrillos del Rebollar ;0 ;0 
Narros de Saldueña ;0 ;0 
Narros del Castillo ;0 ;0 
Narros del Puerto ;0 ;0 
Nava de Arévalo ;0 ;0 
Nava del Barco ;0 ;0 
Navacepedilla de Corneja ;0 ;0 
Navadijos ;0 ;0 
Navaescurial ;0 ;0 
Navahondilla ;1 ;0,48 
Navalacruz ;0 ;0 
Navalmoral ;0 ;0 
Navalonguilla ;0 ;0 
Navalosa ;1 ;0,41 
Navalperal de Pinares ;0 ;0 
Navalperal de Tormes ;0 ;0 
Navaluenga ;0 ;0 
Navaquesera ;0 ;0 
Navarredonda de Gredos ;0 ;0 
Navarredondilla ;0 ;0 
Navarrevisca ;0 ;0 
Navatalgordo ;0 ;0 
Navatejares ;0 ;0 
Neila de San Miguel ;0 ;0 
Niharra ;0 ;0 
Ojos-Albos ;0 ;0 
Orbita ;0 ;0 
Padiernos ;0 ;0 
Pajares de Adaja ;0 ;0 
Palacios de Goda ;0 ;0 
Papatrigo ;1 ;0,58 
Pascualcobo ;0 ;0 
Pedro Bernardo ;0 ;0 
Pedro-Rodríguez ;0 ;0 
Peguerinos ;0 ;0 
Peñalba de Ávila ;0 ;0 
Piedrahíta ;0 ;0 
Piedralaves ;1 ;0,07 
Poveda ;0 ;0 
Poyales del Hoyo ;0 ;0 
Pozanco ;0 ;0 
Pradosegar ;0 ;0 
Puerto Castilla ;0 ;0 
Rasueros ;0 ;0 
Riocabado ;0 ;0 
Riofrío ;0 ;0 
Rivilla de Barajas ;0 ;0 
Salobral ;0 ;0 
Salvadiós ;0 ;0 
San Bartolomé de Béjar ;0 ;0 
San Bartolomé de Corneja ;0 ;0 
San Bartolomé de Pinares ;0 ;0 
San Esteban de los Patos ;0 ;0 
San Esteban de Zapardiel ;0 ;0 
San Esteban del Valle ;2 ;0,37 
San García de Ingelmos ;0 ;0 
San Juan de Gredos ;0 ;0 
San Juan de la Encinilla ;0 ;0 
San Juan de la Nava ;0 ;0 
San Juan del Molinillo ;0 ;0 
San Juan del Olmo ;0 ;0 
San Lorenzo de Tormes ;0 ;0 
San Martín de la Vega del Alberche ;0 ;0 
San Martín del Pimpollar ;0 ;0 
San Miguel de Corneja ;0 ;0 
San Miguel de Serrezuela ;0 ;0 
San Pascual ;0 ;0 
San Pedro del Arroyo ;0 ;0 
San Vicente de Arévalo ;0 ;0 
Sanchidrián ;0 ;0 
Sanchorreja ;0 ;0 
Santa Cruz de Pinares ;0 ;0 
Santa Cruz del Valle ;0 ;0 
Santa María de los Caballeros ;0 ;0 
Santa María del Arroyo ;1 ;1,20 
Santa María del Berrocal ;0 ;0 
Santa María del Cubillo ;0 ;0 
Santa María del Tiétar ;1 ;0,34 
Santiago del Collado ;0 ;0 
Santiago del Tormes ;0 ;0 
Santo Domingo de las Posadas ;0 ;0 
Santo Tomé de Zabarcos ;0 ;0 
Serranillos ;0 ;0 
Sigeres ;1 ;2,50 
Sinlabajos ;0 ;0 
Solana de Ávila ;0 ;0 
Solana de Rioalmar ;1 ;0,84 
Solosancho ;1 ;0,18 
Sotalbo ;0 ;0 
Sotillo de la Adrada ;1 ;0,04 
Tiñosillos ;1 ;0,17 
Tolbaños ;0 ;0 
Tormellas ;0 ;0 
Tornadizos de Ávila ;1 ;0,33 
Tórtoles ;0 ;0 
Umbrías ;0 ;0 
Vadillo de la Sierra ;0 ;0 
Valdecasa ;0 ;0 
Vega de Santa María ;0 ;0 
Velayos ;0 ;0 
Villaﬂor ;0 ;0 
Villafranca de la Sierra ;0 ;0 
Villanueva de Ávila ;0 ;0 
Villanueva de Gómez ;0 ;0 
Villanueva del Aceral ;0 ;0 
Villanueva del Campillo ;0 ;0 
Villar de Corneja ;0 ;0 
Villarejo del Valle ;0 ;0 
Villatoro ;0 ;0 
Viñegra de Moraña ;0 ;0 
Vita ;0 ;0 
Zapardiel de la Cañada ;1 ;1,38 
Zapardiel de la Ribera ;0 ;0 
