0001;0001;IZQESP                                                 ;IZQUIERDA ESPAÑOLA                                                                                                                                                                                      ;
0002;0002;CEUS                                                   ;COALICIÓN POR UNA EUROPA SOLIDARIA                                                                                                                                                                      ;
0003;0002;EL PI                                                  ;EL PI-PROPOSTA PER LES ILLES BALEARS-COALICIÓN POR UNA EUROPA SOLIDARIA                                                                                                                                 ;
0004;0002;CCa                                                    ;COALICIÓN CANARIA-COALICIÓN POR UNA EUROPA SOLIDARIA                                                                                                                                                    ;
0005;0002;CEUS                                                   ;COALICIÓ PER UNA EUROPA SOLIDÀRIA-COALICIÓN POR UNA EUROPA SOLIDARIA                                                                                                                                    ;
0006;0002;CEUS                                                   ;COALICIÓN POR UNHA EUROPA SOLIDARIA-COALICIÓN POR UNA EUROPA SOLIDARIA                                                                                                                                  ;
0007;0002;GBAI                                                   ;GEROA BAI-EUROPA SOLIDARIOAREN ALDEKO KOALIZIOA-COALICIÓN POR UNA EUROPA SOLIDARIA                                                                                                                      ;
0008;0002;EAJ-PNV                                                ;EUZKO ALDERDI JELTZALEA-PARTIDO NACIONALISTA VASCO-EUROPA SOLIDARIOAREN ALDEKO KOALIZIOA-COALICIÓN POR UNA EUROPA SOLIDARIA                                                                             ;
0009;0009;FO                                                     ;FRENTE OBRERO                                                                                                                                                                                           ;
0010;0010;AHORA REPÚBLICAS (ERC-EH BILDU-BNG-ARA MÉS)            ;AHORA REPÚBLICAS (ERC-EH BILDU-BNG-ARA MÉS)                                                                                                                                                             ;
0011;0010;ARA MÉS-ARA REPÚBLIQUES                                ;ARA MÉS-ARA REPÚBLIQUES                                                                                                                                                                                 ;
0012;0010;ERC-ARA REPÚBLIQUES                                    ;ESQUERRA REPUBLICANA DE CATALUNYA-ARA REPÚBLIQUES                                                                                                                                                       ;
0013;0010;BNG-AGORA REPÚBLICAS                                   ;BLOQUE NACIONALISTA GALEGO-AGORA REPÚBLICAS                                                                                                                                                             ;
0014;0010;EH BILDU-ORAIN ERREPUBLIKAK                            ;EUSKAL HERRIA BILDU-ORAIN ERREPUBLIKAK                                                                                                                                                                  ;
0015;0010;ERPV-ARA REPÚBLIQUES                                   ;ESQUERRA REPUBLICANA DEL PAÍS VALENCIÀ-ARA REPÚBLIQUES                                                                                                                                                  ;
0017;0017;PSOE                                                   ;PARTIDO SOCIALISTA OBRERO ESPAÑOL                                                                                                                                                                       ;
0061;0017;PSC                                                    ;PARTIT DELS SOCIALISTES DE CATALUNYA (PSC-PSOE)                                                                                                                                                         ;
0019;0019;ANDALUCISTAS                                           ;AHORA ANDALUCÍA                                                                                                                                                                                         ;
0020;0020;IE                                                     ;IUSTITIA EUROPA                                                                                                                                                                                         ;
0021;0021;VOX                                                    ;VOX                                                                                                                                                                                                     ;
0022;0022;PP                                                     ;PARTIDO POPULAR                                                                                                                                                                                         ;
